ch,keV,net,fit,model,continuum_raw,Ba-133,continuum
0,-4.839,0.000,0.000,0.000,0.000,0.000,0.000
1,-2.048,0.000,0.000,0.154,0.154,0.154,0.000
2,0.743,0.000,0.000,0.309,0.309,0.309,0.000
3,3.535,0.000,0.000,0.463,0.463,0.463,0.000
4,6.328,0.000,0.000,0.618,0.618,0.618,0.000
5,9.122,28.700,28.700,1.266,0.772,1.266,0.000
6,11.916,280.100,280.100,56.860,0.927,56.860,0.000
7,14.711,1545.433,1545.433,1050.907,1.081,1050.907,0.000
8,17.507,5169.532,5169.532,4734.340,0.927,4734.340,0.000
9,20.304,21031.931,21031.931,14484.760,0.772,14484.760,0.000
10,23.101,120085.363,120085.363,81348.381,0.618,81348.381,0.000
11,25.899,280169.929,280169.929,324900.242,0.463,324900.242,0.000
12,28.697,474929.028,474929.028,536418.846,0.309,536418.846,0.000
13,31.497,403100.229,403100.229,369938.694,0.154,369938.694,0.000
14,34.297,199209.728,199209.728,182975.133,0.000,182975.133,0.000
15,37.098,65957.329,65957.329,81348.173,662.838,81348.173,0.000
16,39.899,20709.461,20709.461,25248.713,1325.676,25248.713,0.000
17,42.701,12158.694,12158.694,14185.606,1988.515,14185.606,0.000
18,45.504,15631.561,15631.561,18444.188,2651.353,18444.188,0.000
19,48.308,22442.228,22442.228,25251.222,3314.191,25251.222,0.000
20,51.112,29015.094,29015.094,29741.578,3977.029,29741.578,0.000
21,53.917,29572.194,29572.194,28642.548,4639.868,28642.548,0.000
22,56.723,23985.961,23985.961,22619.879,5302.706,22619.879,0.000
23,59.529,19153.260,19153.260,16847.708,5965.544,16847.708,0.000
24,62.337,19927.627,19927.627,13884.823,5629.727,13884.823,0.000
25,65.144,22717.693,22717.693,14846.100,5293.910,14846.100,0.000
26,67.953,23589.526,23589.526,21774.380,4958.093,21774.380,0.000
27,70.762,25627.259,25627.259,41990.945,4622.275,41990.945,0.000
28,73.572,38623.025,38623.025,82598.741,4286.458,82598.741,0.000
29,76.383,74577.258,74577.258,134418.124,3950.641,134418.124,0.000
30,79.194,135295.057,135295.057,166083.455,3614.824,166083.455,0.000
31,82.006,191162.591,191162.591,151994.909,3279.007,151994.909,0.000
32,84.819,187575.525,187575.525,103161.076,2943.190,103161.076,0.000
33,87.632,122706.358,122706.358,53296.968,2607.372,53296.968,0.000
34,90.446,50891.025,50891.025,22923.041,2271.555,22923.041,0.000
35,93.261,16602.492,16602.492,10442.380,1935.738,10442.380,0.000
36,96.077,8954.159,8954.159,6719.326,1599.921,6719.326,0.000
37,98.893,7924.826,7924.826,6915.432,2384.912,6915.432,0.000
38,101.709,8336.660,8336.660,7848.532,3169.903,7848.532,0.000
39,104.527,8857.727,8857.727,9138.318,3954.894,9138.318,0.000
40,107.345,9401.460,9401.460,10723.160,4739.885,10723.160,0.000
41,110.164,10042.860,10042.860,12381.045,5524.876,12381.045,0.000
42,112.983,11687.993,11687.993,13724.083,6309.866,13724.083,0.000
43,115.804,12968.427,12968.427,14465.768,7094.857,14465.768,0.000
44,118.624,13745.526,13745.526,14655.542,7879.848,14655.542,0.000
45,121.446,13505.026,13505.026,14619.919,8664.839,14619.919,0.000
46,124.268,12645.226,12645.226,14695.232,9449.830,14695.232,0.000
47,127.091,12408.293,12408.293,15035.748,10234.821,15035.748,0.000
48,129.915,12221.492,12221.492,15619.141,11019.812,15619.141,0.000
49,132.739,13126.593,13126.593,16354.047,11804.803,16354.047,0.000
50,135.564,14477.859,14477.859,17167.406,12589.794,17167.406,0.000
51,138.389,15671.293,15671.293,18033.300,13374.785,18033.300,0.000
