ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th,Backscatter,SE-1588,DE-1631,SE-1631,Xray-NaI
57,11.459,23.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,11.796,50.412,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,12.133,84.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,12.470,132.234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,12.807,160.759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,13.144,207.691,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,13.481,240.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,13.818,297.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,14.155,288.630,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,14.492,317.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,14.830,363.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,15.167,315.749,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,15.504,384.897,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,15.841,329.122,314.679,313.775,78.350,45.843,70.639,7.182,5.365,0.991,0.094,0.064,54.399,23.455,17.856,3.040,3.281,0.747,3.369
71,16.178,363.898,321.870,320.807,80.106,46.871,72.222,7.343,5.486,1.014,0.096,0.065,55.618,23.981,18.256,3.108,3.355,0.764,3.584
72,16.516,378.716,329.089,327.839,81.861,47.898,73.806,7.504,5.606,1.036,0.098,0.067,56.837,24.507,18.656,3.176,3.428,0.781,3.827
73,16.853,372.714,336.341,334.871,83.615,48.926,75.389,7.665,5.726,1.058,0.100,0.068,58.056,25.032,19.057,3.244,3.502,0.797,4.103
74,17.190,376.682,343.633,341.903,85.370,49.953,76.972,7.826,5.846,1.080,0.102,0.070,59.275,25.558,19.457,3.312,3.576,0.814,4.420
75,17.528,360.754,350.972,348.934,87.124,50.981,78.555,7.987,5.967,1.103,0.105,0.071,60.494,26.084,19.857,3.380,3.649,0.831,4.783
76,17.865,394.052,358.366,355.966,88.879,52.008,80.138,8.148,6.087,1.125,0.107,0.073,61.714,26.610,20.258,3.449,3.723,0.848,5.201
77,18.202,395.830,365.826,362.998,90.633,53.036,81.722,8.309,6.207,1.147,0.109,0.074,62.933,27.135,20.658,3.517,3.796,0.864,5.684
78,18.540,387.831,373.362,370.030,92.388,54.063,83.305,8.470,6.327,1.169,0.111,0.075,64.152,27.661,21.058,3.585,3.870,0.881,6.244
79,18.877,402.016,380.990,377.061,94.143,55.091,84.889,8.631,6.448,1.191,0.113,0.077,65.372,28.187,21.459,3.653,3.943,0.898,6.894
80,19.215,378.093,388.726,384.093,95.898,56.118,86.472,8.793,6.568,1.214,0.115,0.078,66.591,28.713,21.860,3.721,4.017,0.915,7.651
81,19.552,376.460,396.587,391.125,97.654,57.146,88.056,8.954,6.688,1.236,0.117,0.080,67.811,29.239,22.260,3.789,4.090,0.931,8.534
82,19.890,374.761,404.599,398.157,99.410,58.174,89.640,9.115,6.808,1.258,0.119,0.081,69.031,29.764,22.661,3.857,4.164,0.948,9.565
83,20.227,405.317,412.786,405.189,101.166,59.202,91.224,9.277,6.929,1.280,0.121,0.083,70.250,30.290,23.062,3.926,4.238,0.965,10.772
84,20.565,406.136,421.181,412.220,102.923,60.230,92.808,9.438,7.049,1.303,0.124,0.084,71.470,30.816,23.464,3.994,4.311,0.982,12.185
85,20.902,360.432,429.821,419.252,104.680,61.258,94.392,9.599,7.169,1.325,0.126,0.085,72.690,31.342,23.865,4.062,4.385,0.998,13.842
86,21.240,414.732,438.749,426.284,106.437,62.287,95.977,9.761,7.290,1.347,0.128,0.087,73.911,31.869,24.267,4.130,4.458,1.015,15.786
87,21.578,409.253,448.019,433.316,108.194,63.315,97.562,9.923,7.410,1.369,0.130,0.088,75.131,32.395,24.668,4.198,4.532,1.032,18.069
88,21.915,429.401,457.690,440.348,109.952,64.344,99.147,10.084,7.531,1.392,0.132,0.090,76.352,32.921,25.071,4.266,4.606,1.049,20.753
89,22.253,433.553,467.836,447.379,111.711,65.373,100.733,10.246,7.651,1.414,0.134,0.091,77.573,33.448,25.473,4.335,4.679,1.065,23.908
90,22.590,408.403,478.540,454.411,113.470,66.403,102.319,10.408,7.771,1.436,0.136,0.093,78.795,33.974,25.876,4.403,4.753,1.082,27.620
91,22.928,490.184,489.905,461.443,115.230,67.432,103.906,10.571,7.892,1.458,0.138,0.094,80.017,34.501,26.279,4.471,4.827,1.099,31.988
92,23.266,433.816,502.048,468.475,116.990,68.463,105.493,10.733,8.013,1.481,0.140,0.095,81.239,35.029,26.683,4.540,4.900,1.116,37.131
93,23.604,455.223,515.109,475.506,118.752,69.494,107.082,10.896,8.133,1.503,0.143,0.097,82.463,35.556,27.088,4.608,4.974,1.133,43.187
94,23.941,534.964,529.253,482.538,120.515,70.525,108.671,11.059,8.254,1.525,0.145,0.098,83.687,36.084,27.493,4.676,5.048,1.149,50.322
95,24.279,524.113,544.676,489.570,122.279,71.558,110.262,11.222,8.375,1.548,0.147,0.100,84.912,36.612,27.899,4.745,5.122,1.166,58.728
96,24.617,555.780,561.606,496.602,124.045,72.591,111.855,11.386,8.496,1.570,0.149,0.101,86.138,37.141,28.306,4.813,5.196,1.183,68.634
97,24.955,605.222,580.315,503.634,125.813,73.626,113.449,11.550,8.617,1.592,0.151,0.103,87.366,37.670,28.715,4.882,5.270,1.200,80.310
98,25.293,592.334,601.123,510.665,127.584,74.662,115.045,11.715,8.738,1.615,0.153,0.104,88.595,38.200,29.125,4.951,5.344,1.217,94.073
99,25.630,638.259,624.242,517.697,129.357,75.700,116.644,11.880,8.860,1.637,0.155,0.106,89.827,38.731,29.537,5.019,5.418,1.234,110.135
100,25.968,583.187,648.925,524.729,131.134,76.739,118.247,12.046,8.981,1.660,0.157,0.107,91.060,39.263,29.951,5.088,5.493,1.251,127.746
101,26.306,725.704,674.001,531.761,132.915,77.781,119.852,12.213,9.103,1.682,0.160,0.108,92.297,39.796,30.367,5.157,5.567,1.268,145.732
102,26.644,727.591,698.848,538.793,134.699,78.826,121.462,12.381,9.225,1.705,0.162,0.110,93.536,40.331,30.786,5.227,5.642,1.285,163.471
103,26.982,721.219,722.799,545.824,136.488,79.873,123.075,12.549,9.348,1.727,0.164,0.111,94.778,40.866,31.207,5.296,5.717,1.302,180.295
104,27.320,780.442,745.192,552.856,138.281,80.922,124.691,12.719,9.471,1.750,0.166,0.113,96.023,41.403,31.632,5.366,5.792,1.319,195.542
105,27.658,729.442,765.417,559.888,140.078,81.973,126.312,12.890,9.594,1.773,0.168,0.114,97.271,41.941,32.059,5.435,5.867,1.336,208.602
106,27.996,828.959,782.978,566.920,141.879,83.027,127.935,13.063,9.717,1.796,0.170,0.116,98.522,42.480,32.491,5.505,5.943,1.353,218.979
107,28.334,808.257,797.542,573.952,143.683,84.083,129.562,13.236,9.841,1.819,0.173,0.117,99.774,43.020,32.927,5.575,6.018,1.370,226.342
108,28.672,771.439,808.980,580.983,145.489,85.140,131.190,13.411,9.964,1.841,0.175,0.119,101.028,43.561,33.367,5.645,6.094,1.388,230.564
109,29.010,808.996,817.387,588.015,147.297,86.198,132.821,13.588,10.088,1.864,0.177,0.120,102.284,44.103,33.813,5.716,6.170,1.405,231.741
110,29.348,815.809,823.087,595.047,149.107,87.257,134.453,13.766,10.212,1.887,0.179,0.122,103.541,44.644,34.263,5.786,6.246,1.422,230.198
111,29.686,811.810,826.523,602.079,150.918,88.317,136.086,13.947,10.336,1.910,0.181,0.123,104.798,45.187,34.721,5.856,6.322,1.439,226.379
112,30.024,853.698,827.690,609.110,152.730,89.377,137.719,14.129,10.460,1.933,0.183,0.125,106.056,45.729,35.185,5.926,6.397,1.457,220.281
113,30.363,849.737,826.949,616.142,154.541,90.436,139.352,14.314,10.584,1.956,0.186,0.126,107.314,46.271,35.657,5.997,6.473,1.474,212.265
114,30.701,847.663,824.770,623.174,156.351,91.496,140.985,14.502,10.708,1.979,0.188,0.128,108.571,46.813,36.139,6.067,6.549,1.491,202.801
115,31.039,839.886,821.602,630.206,158.161,92.555,142.616,14.693,10.832,2.002,0.190,0.129,109.827,47.355,36.632,6.137,6.625,1.508,192.337
116,31.377,800.513,817.839,637.238,159.969,93.613,144.247,14.888,10.956,2.025,0.192,0.131,111.083,47.896,37.136,6.207,6.701,1.526,181.268
117,31.715,867.737,813.794,644.269,161.776,94.670,145.876,15.086,11.080,2.048,0.194,0.132,112.338,48.437,37.651,6.277,6.776,1.543,169.908
118,32.054,777.624,809.698,651.301,163.581,95.726,147.504,15.289,11.203,2.070,0.196,0.134,113.591,48.978,38.174,6.347,6.852,1.560,158.489
119,32.392,811.661,805.698,658.333,165.385,96.782,149.130,15.498,11.327,2.093,0.199,0.135,114.843,49.518,38.704,6.417,6.927,1.577,147.161
120,32.730,802.552,801.871,665.365,167.187,97.836,150.754,15.713,11.450,2.116,0.201,0.137,116.094,50.057,39.234,6.487,7.003,1.594,136.006
121,33.069,839.033,798.250,672.397,168.987,98.889,152.377,15.935,11.573,2.139,0.203,0.138,117.344,50.596,39.760,6.557,7.078,1.612,125.060
122,33.407,762.069,794.843,679.428,170.785,99.941,153.998,16.166,11.697,2.162,0.205,0.140,118.592,51.134,40.278,6.627,7.154,1.629,114.335
123,33.745,783.293,791.652,686.460,172.581,100.992,155.617,16.406,11.820,2.184,0.207,0.141,119.839,51.672,40.783,6.697,7.229,1.646,103.835
124,34.084,847.735,788.690,693.492,174.375,102.042,157.235,16.657,11.942,2.207,0.209,0.143,121.085,52.209,41.273,6.766,7.304,1.663,93.577
125,34.422,739.550,785.991,700.524,176.168,103.090,158.851,16.920,12.065,2.230,0.212,0.145,122.329,52.746,41.744,6.836,7.379,1.680,83.595
126,34.760,743.735,783.613,707.556,177.958,104.138,160.465,17.198,12.188,2.252,0.214,0.146,123.572,53.281,42.194,6.905,7.454,1.697,73.948
127,35.099,753.773,776.945,709.839,178.552,104.486,161.000,17.384,12.228,2.260,0.214,0.147,124.027,53.459,42.349,6.928,7.479,1.703,64.727
128,35.437,759.995,770.761,712.122,179.144,104.832,161.533,17.588,12.269,2.267,0.215,0.147,124.442,53.636,42.481,6.951,7.504,1.708,56.041
129,35.776,733.442,765.148,714.405,179.734,105.177,162.064,17.815,12.309,2.275,0.216,0.148,124.855,53.813,42.589,6.974,7.528,1.714,47.934
130,36.114,742.480,760.164,716.688,180.322,105.521,162.594,18.067,12.350,2.282,0.216,0.148,125.268,53.989,42.676,6.997,7.553,1.720,40.458
131,36.453,789.666,755.952,718.971,180.909,105.864,163.131,18.346,12.390,2.290,0.217,0.149,125.754,54.164,42.745,7.019,7.577,1.725,33.669
132,36.791,764.591,752.386,721.254,181.494,106.206,163.658,18.637,12.430,2.297,0.218,0.150,126.173,54.339,42.797,7.042,7.602,1.731,27.609
133,37.130,753.666,749.555,723.537,182.078,106.547,164.184,18.929,12.470,2.304,0.219,0.150,126.593,54.513,42.838,7.065,7.626,1.736,22.300
134,37.468,752.595,747.454,725.820,182.660,106.888,164.710,19.217,12.509,2.312,0.219,0.151,127.013,54.687,42.870,7.087,7.651,1.742,17.735
135,37.807,718.222,746.064,728.103,183.242,107.228,165.248,19.493,12.549,2.319,0.220,0.152,127.434,54.861,42.899,7.110,7.675,1.747,13.884
136,38.146,763.149,745.305,730.387,183.823,107.567,165.773,19.750,12.589,2.326,0.221,0.153,127.856,55.034,42.928,7.132,7.699,1.753,10.699
137,38.484,759.708,745.125,732.670,184.403,107.906,166.298,19.981,12.628,2.334,0.221,0.153,128.279,55.208,42.960,7.155,7.723,1.758,8.113
138,38.823,719.117,745.445,734.953,184.983,108.244,166.822,20.180,12.668,2.341,0.222,0.154,128.704,55.381,42.999,7.177,7.748,1.764,6.055
139,39.162,808.226,746.189,737.236,185.563,108.582,167.346,20.342,12.707,2.348,0.223,0.155,129.132,55.553,43.048,7.200,7.772,1.769,4.446
140,39.500,773.747,747.279,739.519,186.142,108.920,167.870,20.461,12.747,2.356,0.223,0.156,129.561,55.726,43.108,7.222,7.796,1.775,3.212
141,39.839,810.562,748.661,741.802,186.722,109.258,168.395,20.535,12.786,2.363,0.224,0.157,129.994,55.899,43.181,7.244,7.820,1.781,2.299
142,40.178,722.193,750.273,744.085,187.302,109.596,168.919,20.564,12.826,2.370,0.225,0.158,130.429,56.071,43.267,7.267,7.844,1.786,1.645
143,40.517,718.861,752.044,746.368,187.882,109.934,169.444,20.548,12.866,2.378,0.226,0.159,130.868,56.244,43.368,7.289,7.868,1.791,1.178
144,40.855,841.936,753.924,748.651,188.462,110.272,169.969,20.489,12.905,2.385,0.226,0.160,131.311,56.416,43.483,7.311,7.893,1.797,0.843
145,41.194,808.159,755.880,750.935,189.042,110.609,170.495,20.393,12.944,2.392,0.227,0.161,131.758,56.589,43.612,7.334,7.917,1.802,0.603
146,41.533,759.197,757.892,753.218,189.623,110.947,171.021,20.264,12.984,2.399,0.228,0.162,132.209,56.761,43.754,7.356,7.941,1.808,0.432
147,41.872,791.678,759.945,755.501,190.205,111.285,171.547,20.109,13.023,2.407,0.228,0.163,132.666,56.934,43.909,7.378,7.965,1.813,0.309
148,42.211,828.312,762.034,757.784,190.787,111.623,172.075,19.935,13.063,2.414,0.229,0.165,133.128,57.106,44.078,7.401,7.989,1.819,0.221
149,42.549,817.608,764.157,760.067,191.370,111.961,172.603,19.749,13.103,2.421,0.230,0.166,133.596,57.279,44.258,7.423,8.013,1.824,0.158
150,42.888,854.573,766.315,762.350,191.953,112.299,173.132,19.558,13.142,2.430,0.230,0.168,134.072,57.451,44.452,7.445,8.037,1.830,0.113
151,43.227,856.724,768.509,764.633,192.538,112.637,173.662,19.369,13.181,2.437,0.231,0.169,134.554,57.623,44.658,7.468,8.061,1.835,0.081
152,43.566,893.689,770.743,766.916,193.123,112.976,174.193,19.187,13.221,2.445,0.232,0.171,135.046,57.796,44.876,7.490,8.086,1.841,0.058
153,43.905,879.428,773.063,769.199,193.710,113.314,174.725,19.018,13.260,2.452,0.232,0.173,135.589,57.968,45.108,7.513,8.110,1.846,0.042
154,44.244,874.244,775.390,771.483,194.298,113.652,175.259,18.865,13.300,2.459,0.233,0.175,136.103,58.141,45.352,7.535,8.134,1.852,0.030
155,44.583,927.208,777.768,773.766,194.887,113.991,175.794,18.730,13.339,2.467,0.234,0.178,136.629,58.313,45.610,7.557,8.158,1.857,0.021
156,44.922,859.656,780.204,776.049,195.479,114.330,176.337,18.615,13.379,2.474,0.235,0.180,137.167,58.485,45.881,7.580,8.182,1.863,0.015
157,45.261,798.472,782.688,778.332,196.071,114.669,176.876,18.521,13.418,2.482,0.235,0.183,137.719,58.658,46.165,7.602,8.206,1.868,0.011
158,45.600,870.955,785.228,780.615,196.666,115.009,177.417,18.447,13.458,2.489,0.236,0.186,138.287,58.830,46.464,7.624,8.230,1.874,0.008
159,45.939,836.326,787.826,782.898,197.264,115.348,177.960,18.392,13.498,2.497,0.237,0.189,138.871,59.003,46.779,7.647,8.254,1.879,0.006
160,46.278,770.441,790.481,785.181,197.864,115.688,178.505,18.355,13.537,2.504,0.237,0.193,139.474,59.175,47.108,7.669,8.278,1.885,0.004
161,46.617,804.665,793.217,787.464,198.469,116.028,179.055,18.335,13.577,2.512,0.238,0.197,140.098,59.363,47.455,7.691,8.303,1.890,0.003
162,46.957,748.297,795.996,789.747,199.075,116.369,179.607,18.328,13.616,2.520,0.239,0.201,140.743,59.537,47.820,7.714,8.327,1.896,0.002
163,47.296,764.740,798.841,792.031,199.685,116.710,180.161,18.334,13.656,2.527,0.239,0.206,141.414,59.711,48.205,7.736,8.351,1.901,0.001
164,47.635,771.336,801.754,794.314,200.299,117.052,180.719,18.350,13.695,2.535,0.240,0.211,142.111,59.885,48.611,7.758,8.375,1.907,0.001
165,47.974,711.412,804.740,796.597,200.918,117.394,181.281,18.375,13.735,2.543,0.241,0.217,142.839,60.059,49.042,7.781,8.399,1.912,0.001
166,48.313,789.080,807.803,798.880,201.542,117.737,181.847,18.407,13.775,2.550,0.241,0.223,143.599,60.234,49.499,7.803,8.423,1.918,0.001
167,48.652,709.564,810.951,801.163,202.171,118.080,182.418,18.445,13.815,2.558,0.242,0.230,144.396,60.409,49.986,7.826,8.448,1.923,0.000
168,48.992,766.009,814.219,803.446,202.811,118.424,182.994,18.487,13.854,2.566,0.243,0.238,145.232,60.611,50.506,7.848,8.472,1.929,0.000
169,49.331,709.825,817.558,805.729,203.455,118.769,183.576,18.532,13.894,2.574,0.244,0.247,146.112,60.788,51.064,7.870,8.496,1.934,0.000
170,49.670,668.827,821.007,808.012,204.106,119.115,184.164,18.579,13.934,2.582,0.244,0.256,147.040,60.967,51.664,7.893,8.520,1.940,0.000
171,50.010,701.683,824.577,810.295,204.766,119.462,184.759,18.627,13.974,2.590,0.245,0.267,148.021,61.145,52.312,7.915,8.544,1.945,0.000
172,50.349,717.722,828.280,812.579,205.436,119.809,185.362,18.677,14.014,2.598,0.246,0.278,149.060,61.325,53.014,7.938,8.569,1.951,0.000
173,50.688,726.982,832.131,814.862,206.118,120.158,185.973,18.728,14.054,2.606,0.246,0.291,150.164,61.505,53.776,7.960,8.593,1.956,0.000
174,51.028,722.429,836.147,817.145,206.812,120.508,186.593,18.780,14.094,2.614,0.247,0.305,151.338,61.686,54.606,7.983,8.617,1.962,0.000
175,51.367,752.801,840.346,819.428,207.520,120.860,187.223,18.832,14.134,2.623,0.248,0.320,152.589,61.867,55.513,8.005,8.642,1.968,0.000
