всего строк T/S: 220, открытых: 141

=== серия T, открытых 106, первые 25 по номеру ===
T1    строка 658  | открыто
T5    строка 671  | открыто
T6    строка 672  | открыто
T18   строка 673  | открыто
T20   строка 674  | открыто
T21   строка 675  | открыто, **«СДЕЛАНО 24.08.2026» СНЯТО 25.08.2026 ВСТРЕЧНОЙ ПРОВЕРКОЙ**
T63   строка 676  | открыто, **ТРИ ЩЕЛИ ЗАКРЫТЫ 26.08.2026; ВСТРЕЧНАЯ ПРОВЕРКА НАШЛА ЕЩЁ ТРИ**
T64   строка 677  | открыто, **пункты 1–3 СДЕЛАНЫ 05.09.2026 (Opus Extra, О5); пункт 4 — `T212`**
T66   строка 678  | открыто, **ДВЕ ЩЕЛИ ЗАКРЫТЫ 26.08.2026; ОСТАТОК ПРЕЖНИЙ**
T67   строка 679  | открыто, **ПОПОЛНЕНА 26.08.2026: третий такой код — `S96`**
T68   строка 680  | открыто, **(1) СДЕЛАНО 05.09.2026 (полоса F3); (2) ждёт освобождения `CorpusFsaProbe.cs`**
T76   строка 682  | открыто, **ПРОДВИНУТА 05.09.2026 (C7): сторож охвата спектров проверен плохим входом (код 3), немая потеря линий в `gate
T77   строка 683  | открыто, ⛔ **ЗАКРЫТИЕ СНЯТО ВСТРЕЧНОЙ ПРОВЕРКОЙ 27.08.2026**
T78   строка 684  | открыто, **питоновая половина СДЕЛАНА 05.09.2026 (полоса F2); остаток в приложении — `A218`; ⚠ КОПИЙ ШЕСТЬ, НЕ ПЯТЬ**
T79   строка 685  | открыто, **СВЕРКА РАСШИРЕНА 27.08.2026; ВСТРЕЧНАЯ ПРОВЕРКА СНЯЛА «ОХВАТ»**
T80   строка 686  | открыто, **ТРИ ОСТАТКА ЗАКРЫТЫ 27.08.2026; ВСТРЕЧНАЯ ПРОВЕРКА НАШЛА ЧЕТЫРЕ НОВЫХ**
T81   строка 687  | открыто, **ЧАСТИЧНО СДЕЛАНО 05.09.2026 (Opus Extra, О4): четыре места из пяти; `AGENTS.md` — за Amber; ⚠ мест не шесть, 
T82   строка 688  | открыто, ⛔ **СТОРОЖ НАПИСАН 27.08.2026 И СЛЕП К ГЛАВНОМУ — измерено**
T85   строка 690  | открыто, ⛔ **ПРИЧИНА НАЗВАНА НЕВЕРНО — встречная проверка сняла и её, и контроль**
T101  строка 701  | открыто
T102  строка 702  | открыто, **сторож СДЕЛАН 05.09.2026 (полоса F6); правки `DONE.md` — за Amber (замены текстом в журнале F6 §3)**
T113  строка 705  | открыто
T115  строка 706  | открыто
T116  строка 707  | открыто
T117  строка 708  | открыто

=== серия S, открытых 35, первые 25 по номеру ===
S3    строка 463  | открыто
S4    строка 464  | открыто
S7    строка 465  | открыто
S8    строка 466  | открыто
S19   строка 467  | открыто
S30   строка 468  | открыто
S42   строка 470  | открыто
S43   строка 471  | открыто
S44   строка 472  | открыто
S50   строка 474  | открыто
S52   строка 475  | открыто
S55   строка 462  | открыто
S58   строка 469  | открыто
S61   строка 165  | открыто, **ПЕРЕСЧИТАНА НА `out_v9` 01.09.2026; ЗАГРУЗКА ОТДЕЛЕНА; ТРИ КАНДИДАТА ПРОВЕРЕНЫ; ⛔ МАТРИЦА БЛИЗКОЙ СЦЕНЫ ЗАМЕШ
S65   строка 459  | открыто, **РЕШЕНИЕ Amber 25.08.2026 ЕСТЬ**
S66   строка 456  | открыто
S75   строка 455  | открыто
S91   строка 461  | открыто, **ПОСЛЕДНИЙ КАНДИДАТ СНЯТ ИЗМЕРЕНИЕМ 24.08.2026**
S95   строка 460  | открыто, **ИЗМЕРЕНО 24.08.2026**
S97   строка 659  | открыто
S105  строка 476  | открыто
S106  строка 477  | открыто
S107  строка 478  | открыто
S112  строка 481  | открыто
S113  строка 482  | открыто

