# П92 фаза 2 — абляции RC103 (сцена П55), 1461 и 662, 20 млн (ref/def/killesc при 1461 — из фазы 1, 40 млн)
ours;RC103_point0_p55;1460.82;20000000;detour0;--detour=0
g4;RC103_point0_p55;1460.82;20000000;killcarry;killcarry
ours;RC103_point0_p55;1460.82;20000000;ecomp0;--ecomp=0
ours;RC103_point0_p55;1460.82;20000000;bpath0;--bpath=0
ours;RC103_point0_p55;1460.82;20000000;nobrem;--no-brem
ours;RC103_point0_p55;1460.82;20000000;detour1;--detour=1
ours;RC103_point0_p55_bare;1460.82;20000000;ref;
g4;RC103_point0_p55_bare;1460.82;20000000;def;
ours;RC103_point0_p55_noback;1460.82;20000000;ref;
g4;RC103_point0_p55_noback;1460.82;20000000;def;
ours;RC103_point0_p55_nofront;1460.82;20000000;ref;
g4;RC103_point0_p55_nofront;1460.82;20000000;def;
ours;RC103_point0_p55_noside;1460.82;20000000;ref;
g4;RC103_point0_p55_noside;1460.82;20000000;def;
ours;RC103_point0_p55;661.657;20000000;ref;
g4;RC103_point0_p55;661.657;20000000;def;
g4;RC103_point0_p55;661.657;20000000;killesc;killesc
ours;RC103_point0_p55;661.657;20000000;detour0;--detour=0
g4;RC103_point0_p55;661.657;20000000;killcarry;killcarry
ours;RC103_point0_p55;661.657;20000000;ecomp0;--ecomp=0
ours;RC103_point0_p55;661.657;20000000;bpath0;--bpath=0
ours;RC103_point0_p55;661.657;20000000;nobrem;--no-brem
ours;RC103_point0_p55_bare;661.657;20000000;ref;
g4;RC103_point0_p55_bare;661.657;20000000;def;
ours;RC103_point0_p55_noback;661.657;20000000;ref;
g4;RC103_point0_p55_noback;661.657;20000000;def;
ours;RC103_point0_p55_nofront;661.657;20000000;ref;
g4;RC103_point0_p55_nofront;661.657;20000000;def;
ours;RC103_point0_p55_noside;661.657;20000000;ref;
g4;RC103_point0_p55_noside;661.657;20000000;def;
