ch,keV,net,fit,model,continuum_raw,Cs-137,continuum
0,-5.005,0.000,-1280.782,0.000,0.000,0.000,0.000
1,-4.622,0.000,-1285.521,0.000,0.000,0.000,0.000
2,-4.238,0.000,-1317.530,0.000,0.000,0.000,0.000
3,-3.855,0.000,-1332.290,0.000,0.000,0.000,0.000
4,-3.472,0.000,-1357.242,0.000,0.000,0.000,0.000
5,-3.088,0.000,-1386.138,0.000,0.000,0.000,0.000
6,-2.705,0.000,-1403.312,0.000,0.000,0.000,0.000
7,-2.322,0.000,-1419.008,0.000,0.000,0.000,0.000
8,-1.939,0.000,-1444.820,0.000,0.000,0.000,0.000
9,-1.556,0.000,-1467.545,0.000,0.000,0.000,0.000
10,-1.173,0.000,-1484.306,0.000,0.000,0.000,0.000
11,-0.790,0.000,-1507.600,0.000,0.000,0.000,0.000
12,-0.407,0.000,-1531.261,0.000,0.000,0.000,0.000
13,-0.024,0.000,-1561.575,0.000,0.000,0.000,0.000
14,0.359,0.000,-1582.107,0.000,0.000,0.000,0.000
15,0.742,0.000,-1606.057,0.000,0.000,0.000,0.000
16,1.124,0.000,-1623.416,0.000,0.000,0.000,0.000
17,1.507,0.000,-1658.756,0.000,0.000,0.000,0.000
18,1.890,0.000,-1674.188,0.000,0.000,0.000,0.000
19,2.272,0.000,-1700.253,0.000,0.000,0.000,0.000
20,2.655,0.000,-1711.432,0.000,0.000,0.000,0.000
21,3.037,0.000,-1748.063,0.000,0.000,0.000,0.000
22,3.420,0.000,-1763.553,0.000,0.000,0.000,0.000
23,3.802,0.000,-1783.387,0.000,0.000,0.000,0.000
24,4.185,0.000,-1816.825,0.000,0.000,0.000,0.000
25,4.567,0.000,-1833.306,0.000,0.000,0.000,0.000
26,4.949,0.000,-1860.325,0.000,0.000,0.000,0.000
27,5.332,0.000,-1902.240,0.000,0.000,0.000,0.000
28,5.714,0.000,-1921.933,0.000,0.000,0.000,0.000
29,6.096,0.000,-1925.312,0.000,0.000,0.000,0.000
30,6.478,0.000,-1950.346,0.000,0.000,0.000,0.000
31,6.860,0.000,-1972.561,0.000,0.000,0.000,0.000
32,7.242,0.000,-1979.287,0.000,0.000,0.000,0.000
33,7.624,0.000,-2013.926,0.000,0.000,0.000,0.000
34,8.006,0.000,-2030.516,0.000,0.000,0.000,0.000
35,8.388,0.000,-2046.881,0.000,0.000,0.000,0.000
36,8.770,0.000,-2064.812,0.000,0.000,0.000,0.000
37,9.152,0.000,-2083.200,0.000,0.000,0.000,0.000
38,9.534,0.000,-2109.338,0.000,0.000,0.000,0.000
39,9.916,0.000,-2134.400,0.000,0.000,0.000,0.000
40,10.297,0.000,-2156.135,0.000,0.000,0.000,0.000
41,10.679,0.000,-2161.316,0.000,0.000,0.000,0.000
42,11.060,0.000,-2182.710,0.000,0.000,0.000,0.000
43,11.442,0.000,-2207.219,0.000,0.000,0.000,0.000
44,11.824,0.000,-2232.921,0.000,0.000,0.000,0.000
45,12.205,0.000,-2255.222,0.001,0.000,0.001,0.000
46,12.587,0.000,-2276.696,0.003,0.000,0.003,0.000
47,12.968,0.000,-2297.164,0.014,0.000,0.014,0.000
48,13.349,0.000,-2316.479,0.053,0.000,0.053,0.000
49,13.731,0.000,-2341.389,0.184,0.000,0.184,0.000
50,14.112,0.000,-2365.602,0.591,0.000,0.591,0.000
51,14.493,0.000,-2385.335,1.748,0.000,1.748,0.000
52,14.874,0.000,-2393.503,4.759,0.000,4.759,0.000
53,15.255,0.000,-2373.737,11.931,0.000,11.931,0.000
54,15.637,0.000,-2293.753,27.561,0.000,27.561,0.000
55,16.018,0.000,-2163.883,58.678,0.000,58.678,0.000
56,16.399,0.000,-1907.918,115.207,0.000,115.207,0.000
57,16.780,0.000,-1526.824,208.765,0.000,208.765,0.000
58,17.161,0.000,-1152.492,349.559,0.000,349.559,0.000
59,17.541,0.000,-833.626,541.746,0.000,541.746,0.000
60,17.922,0.000,-454.724,779.005,0.000,779.005,0.000
61,18.303,0.000,-134.026,1042.980,0.000,1042.980,0.000
62,18.684,0.000,-17.622,1306.648,0.000,1306.648,0.000
63,19.065,313.717,313.717,1542.255,0.000,1542.255,0.000
64,19.445,333.752,333.752,1730.535,0.000,1730.535,0.000
65,19.826,465.848,465.848,1866.613,0.000,1866.613,0.000
66,20.206,512.337,512.337,1959.719,0.000,1959.719,0.000
67,20.587,430.514,430.514,2027.616,0.000,2027.616,0.000
68,20.968,463.197,463.197,2089.722,0.000,2089.722,0.000
69,21.348,534.816,534.816,2163.144,0.000,2163.144,0.000
70,21.728,538.849,538.849,2263.402,0.000,2263.402,0.000
71,22.109,624.164,624.164,2408.754,0.000,2408.754,0.000
72,22.489,706.130,706.130,2625.680,0.000,2625.680,0.000
73,22.869,679.228,679.228,2953.474,0.000,2953.474,0.000
74,23.250,731.746,731.746,3446.505,0.000,3446.505,0.000
75,23.630,837.135,837.135,4172.633,0.000,4172.633,0.000
76,24.010,870.895,870.895,5205.709,0.000,5205.709,0.000
77,24.390,1000.350,1000.350,6610.554,0.000,6610.554,0.000
78,24.770,1133.517,1133.517,8421.195,0.000,8421.195,0.000
79,25.150,1273.416,1273.416,10616.889,0.000,10616.889,0.000
80,25.530,1465.151,1465.151,13103.886,0.000,13103.886,0.000
81,25.910,1701.727,1701.727,15711.751,0.000,15711.751,0.000
82,26.290,1905.163,1905.163,18210.234,0.000,18210.234,0.000
83,26.670,2313.397,2313.397,20346.375,0.000,20346.375,0.000
84,27.050,2630.167,2630.167,21893.880,0.000,21893.880,0.000
85,27.430,3079.033,3079.033,22700.958,0.000,22700.958,0.000
86,27.810,3553.307,3553.307,22721.790,0.000,22721.790,0.000
87,28.189,4174.689,4174.689,22021.706,0.000,22021.706,0.000
88,28.569,4765.870,4765.870,20755.097,0.000,20755.097,0.000
89,28.949,5427.743,5427.743,19124.475,0.000,19124.475,0.000
90,29.328,5888.804,5888.804,17334.552,0.000,17334.552,0.000
91,29.708,6163.316,6163.316,15554.922,0.000,15554.922,0.000
92,30.087,6711.584,6711.584,13899.673,0.000,13899.673,0.000
93,30.467,7007.001,7007.001,12425.067,0.000,12425.067,0.000
94,30.846,7017.352,7017.352,11140.637,0.000,11140.637,0.000
95,31.226,7139.292,7139.292,10026.489,0.000,10026.489,0.000
96,31.605,6621.757,6621.757,9050.286,0.000,9050.286,0.000
97,31.984,6440.523,6440.523,8179.873,0.000,8179.873,0.000
98,32.364,5747.347,5747.347,7390.306,0.000,7390.306,0.000
99,32.743,5528.651,5528.651,6666.010,0.000,6666.010,0.000
100,33.122,4890.532,4890.532,5999.690,0.000,5999.690,0.000
101,33.501,4601.435,4601.435,5389.723,0.000,5389.723,0.000
102,33.880,4140.861,4140.861,4837.304,0.000,4837.304,0.000
103,34.259,3871.399,3871.399,4344.150,0.000,4344.150,0.000
104,34.639,3483.432,3483.432,3911.028,0.000,3911.028,0.000
105,35.018,3179.099,3179.099,3537.064,0.000,3537.064,0.000
106,35.396,2938.264,2938.264,3219.636,0.000,3219.636,0.000
107,35.775,2663.165,2663.165,2954.575,0.000,2954.575,0.000
108,36.154,2493.618,2493.618,2736.516,0.000,2736.516,0.000
109,36.533,2280.975,2280.975,2559.259,0.000,2559.259,0.000
110,36.912,2247.766,2247.766,2416.117,0.000,2416.117,0.000
111,37.291,1881.009,1881.009,2300.222,0.000,2300.222,0.000
112,37.669,1668.158,1668.158,2204.788,0.000,2204.788,0.000
113,38.048,1575.319,1575.319,2123.319,0.000,2123.319,0.000
114,38.427,1498.141,1498.141,2049.785,0.000,2049.785,0.000
115,38.805,1296.196,1296.196,1978.755,0.000,1978.755,0.000
116,39.184,1165.887,1165.887,1905.517,0.000,1905.517,0.000
117,39.562,1059.081,1059.081,1826.193,0.000,1826.193,0.000
118,39.941,983.356,983.356,1737.869,0.000,1737.869,0.000
119,40.319,904.719,904.719,1638.705,0.000,1638.705,0.000
120,40.698,910.652,910.652,1528.032,0.000,1528.032,0.000
121,41.076,838.548,838.548,1406.390,0.000,1406.390,0.000
122,41.454,814.706,814.706,1275.481,0.000,1275.481,0.000
123,41.833,828.255,828.255,1138.017,0.000,1138.017,0.000
124,42.211,814.808,814.808,997.470,0.000,997.470,0.000
125,42.589,764.937,764.937,857.736,0.000,857.736,0.000
126,42.967,875.206,875.206,722.752,0.000,722.752,0.000
127,43.345,800.240,800.240,649.096,52.970,649.096,0.000
128,43.724,777.274,777.274,586.755,105.940,586.755,0.000
129,44.102,969.607,969.607,537.816,158.910,537.816,0.000
130,44.480,985.457,985.457,503.396,211.881,503.396,0.000
131,44.858,860.594,860.594,483.663,264.851,483.663,0.000
132,45.236,959.800,959.800,477.959,317.821,477.959,0.000
133,45.613,871.320,871.320,485.000,370.791,485.000,0.000
134,45.991,986.186,986.186,503.100,423.761,503.100,0.000
135,46.369,964.225,964.225,530.393,476.731,530.393,0.000
136,46.747,1014.907,1014.907,565.027,529.701,565.027,0.000
137,47.125,1018.729,1018.729,605.298,582.671,605.298,0.000
138,47.502,1062.572,1062.572,649.739,635.642,649.739,0.000
139,47.880,1075.729,1075.729,697.154,688.612,697.154,0.000
140,48.258,1068.621,1068.621,746.614,741.582,746.614,0.000
141,48.635,1240.735,1240.735,797.434,794.552,797.434,0.000
142,49.013,1204.617,1204.617,849.127,847.522,849.127,0.000
143,49.390,1269.344,1269.344,901.360,900.492,901.360,0.000
144,49.768,1216.530,1216.530,953.919,953.462,953.919,0.000
145,50.145,1309.350,1309.350,1006.666,1006.433,1006.666,0.000
146,50.523,1256.908,1256.908,1059.518,1059.403,1059.518,0.000
147,50.900,1300.334,1300.334,1112.429,1112.373,1112.429,0.000
148,51.277,1279.929,1279.929,1165.369,1165.343,1165.369,0.000
149,51.654,1358.056,1358.056,1218.325,1218.313,1218.325,0.000
150,52.032,1284.635,1284.635,1271.289,1271.283,1271.289,0.000
151,52.409,1376.716,1376.716,1324.256,1324.253,1324.256,0.000
152,52.786,1499.018,1499.018,1377.224,1377.224,1377.224,0.000
153,53.163,1408.021,1408.021,1430.194,1430.194,1430.194,0.000
154,53.540,1443.593,1443.593,1483.164,1483.164,1483.164,0.000
155,53.917,1433.664,1433.664,1536.134,1536.134,1536.134,0.000
156,54.294,1523.116,1523.116,1589.104,1589.104,1589.104,0.000
157,54.671,1695.601,1695.601,1642.074,1642.074,1642.074,0.000
158,55.048,1611.925,1611.925,1695.044,1695.044,1695.044,0.000
159,55.425,1820.389,1820.389,1748.014,1748.014,1748.014,0.000
160,55.802,1798.112,1798.112,1800.985,1800.985,1800.985,0.000
161,56.179,1837.128,1837.128,1853.955,1853.955,1853.955,0.000
162,56.556,1923.350,1923.350,1906.925,1906.925,1906.925,0.000
163,56.932,1894.148,1894.148,1959.895,1959.895,1959.895,0.000
164,57.309,1991.903,1991.903,2012.865,2012.865,2012.865,0.000
165,57.686,1866.373,1866.373,2065.835,2065.835,2065.835,0.000
