arm;line_kev;delta_kev;peak_bin;centroid_kev;offset_kev;window_centroid_kev;window_offset_kev;area;in_peak_share;dipole_share;image_width_kev;sigma_growth_percent
pad0;661.6570;-0.3430;331;661.657000;0.000000;661.657000;0.000000;6.134978E-002;100.0000;0.0734;0.7539;0.0734
pad1;661.6570;-0.3430;331;661.657000;0.000000;661.657000;0.000000;6.134978E-002;100.0000;0.0734;0.7539;0.0734
node;5.0000;1.0000;2;;;;;;;;;-20.000000
node;5.2355;-0.7645;3;;;;;;;;;14.602620
node;5.4821;-0.5179;3;;;;;;;;;9.448004
node;5.7402;-0.2598;3;;;;;;;;;4.525234
node;6.0106;0.0106;3;;;;;;;;;-0.176120
node;6.2937;0.2937;3;;;;;;;;;-4.666015
node;6.5901;0.5901;3;;;;;;;;;-8.953963
node;6.9004;0.9004;3;;;;;;;;;-13.049047
node;7.2254;-0.7746;4;;;;;;;;;10.720079
node;7.5657;-0.4343;4;;;;;;;;;5.740092
node;7.9220;-0.0780;4;;;;;;;;;0.984097
node;8.2951;0.2951;4;;;;;;;;;-3.557983
node;8.6858;0.6858;4;;;;;;;;;-7.895768
node;9.0949;-0.9051;5;;;;;;;;;9.951941
node;9.5232;-0.4768;5;;;;;;;;;5.006504
node;9.9717;-0.0283;5;;;;;;;;;0.283504
node;10.4414;0.4414;5;;;;;;;;;-4.227064
node;10.9331;0.9331;5;;;;;;;;;-8.534755
node;11.4480;-0.5520;6;;;;;;;;;4.821567
node;11.9872;-0.0128;6;;;;;;;;;0.106885
node;12.5517;0.5517;6;;;;;;;;;-4.395739
node;13.1429;-0.8571;7;;;;;;;;;6.521516
node;13.7619;-0.2381;7;;;;;;;;;1.730374
node;14.4100;0.4100;7;;;;;;;;;-2.845272
node;15.0887;-0.9113;8;;;;;;;;;6.039870
node;15.7993;-0.2007;8;;;;;;;;;1.270391
node;16.5434;0.5434;8;;;;;;;;;-3.284565
node;17.3225;-0.6775;9;;;;;;;;;3.911021
node;18.1383;0.1383;9;;;;;;;;;-0.762707
node;18.9926;0.9926;9;;;;;;;;;-5.226218
node;19.8871;-0.1129;10;;;;;;;;;0.567812
node;20.8237;0.8237;10;;;;;;;;;-3.955544
node;21.8044;-0.1956;11;;;;;;;;;0.897008
node;22.8313;0.8313;11;;;;;;;;;-3.641154
node;23.9066;-0.0934;12;;;;;;;;;0.390692
node;25.0325;-0.9675;13;;;;;;;;;3.864912
node;26.2115;0.2115;13;;;;;;;;;-0.806742
node;27.4459;-0.5541;14;;;;;;;;;2.018783
node;28.7385;0.7385;14;;;;;;;;;-2.569834
node;30.0920;0.0920;15;;;;;;;;;-0.305784
node;31.5092;-0.4908;16;;;;;;;;;1.557497
node;32.9932;0.9932;16;;;;;;;;;-3.010373
node;34.5471;0.5471;17;;;;;;;;;-1.583588
node;36.1741;0.1741;18;;;;;;;;;-0.481365
node;37.8778;-0.1222;19;;;;;;;;;0.322607
node;39.6617;-0.3383;20;;;;;;;;;0.852926
node;41.5296;-0.4704;21;;;;;;;;;1.132584
node;43.4855;-0.5145;22;;;;;;;;;1.183055
node;45.5336;-0.4664;23;;;;;;;;;1.024392
node;47.6780;-0.3220;24;;;;;;;;;0.675304
node;49.9235;-0.0765;25;;;;;;;;;0.153243
node;52.2747;0.2747;26;;;;;;;;;-0.525525
node;54.7367;0.7367;27;;;;;;;;;-1.345847
node;57.3146;-0.6854;29;;;;;;;;;1.195898
node;60.0139;0.0139;30;;;;;;;;;-0.023146
node;62.8403;0.8403;31;;;;;;;;;-1.337253
node;65.7999;-0.2001;33;;;;;;;;;0.304115
node;68.8988;0.8988;34;;;;;;;;;-1.304573
node;72.1437;0.1437;36;;;;;;;;;-0.199225
node;75.5414;-0.4586;38;;;;;;;;;0.607025
node;79.0992;-0.9008;40;;;;;;;;;1.138848
node;82.8245;0.8245;41;;;;;;;;;-0.995446
node;86.7252;0.7252;43;;;;;;;;;-0.836221
node;90.8097;0.8097;45;;;;;;;;;-0.891609
node;95.0865;-0.9135;48;;;;;;;;;0.960723
node;99.5647;-0.4353;50;;;;;;;;;0.437182
node;104.2539;0.2539;52;;;;;;;;;-0.243510
node;109.1639;-0.8361;55;;;;;;;;;0.765950
node;114.3051;0.3051;57;;;;;;;;;-0.266911
node;119.6885;-0.3115;60;;;;;;;;;0.260292
node;125.3254;-0.6746;63;;;;;;;;;0.538307
node;131.2277;-0.7723;66;;;;;;;;;0.588482
node;137.4081;-0.5919;69;;;;;;;;;0.430750
node;143.8796;-0.1204;72;;;;;;;;;0.083714
node;150.6558;0.6558;75;;;;;;;;;-0.435279
node;157.7511;-0.2489;79;;;;;;;;;0.157761
node;165.1807;-0.8193;83;;;;;;;;;0.496031
node;172.9601;0.9601;86;;;;;;;;;-0.555087
node;181.1059;-0.8941;91;;;;;;;;;0.493694
node;189.6353;-0.3647;95;;;;;;;;;0.192295
node;198.5665;0.5665;99;;;;;;;;;-0.285294
node;207.9183;-0.0817;104;;;;;;;;;0.039304
node;217.7105;-0.2895;109;;;;;;;;;0.132975
node;227.9639;-0.0361;114;;;;;;;;;0.015837
node;238.7002;0.7002;119;;;;;;;;;-0.293337
node;249.9421;-0.0579;125;;;;;;;;;0.023152
node;261.7135;-0.2865;131;;;;;;;;;0.109460
node;274.0393;0.0393;137;;;;;;;;;-0.014346
node;286.9456;0.9456;143;;;;;;;;;-0.329541
node;300.4597;0.4597;150;;;;;;;;;-0.153009
node;314.6103;0.6103;157;;;;;;;;;-0.193994
node;329.4274;-0.5726;165;;;;;;;;;0.173828
node;344.9422;0.9422;172;;;;;;;;;-0.273157
node;361.1878;-0.8122;181;;;;;;;;;0.224869
node;378.1985;0.1985;189;;;;;;;;;-0.052478
node;396.0103;0.0103;198;;;;;;;;;-0.002598
