section,name,kind,detected,count_rate,z,decision_threshold_rate,detection_limit_rate,peak_counts,share_pct,chain_root,decay_chain_root,total_yield_pct,limit_peak_counts,degenerate,collinearity,tied_to
meta,live_time,,,52742.322903428576,,,,,,,,,,,,
meta,chi2ndf,,,12.68809860528612,,,,,,,,,,,,
meta,chi2ndf_pois,,,82.433142167943444,,,,,,,,,,,,
meta,model_residual,,,0.18678345027764487,,,,,,,,,,,,
meta,gain,,,1.0298475054244443,,,,,,,,,,,,
meta,offset_channels,,,-3.717523783075074,,,,,,,,,,,,
meta,cascade_summing,,,1,,,,,,,,,,,,
meta,response_matrix,,,1,,,,,,,,,,,,
component,Ac-228,Single,1,673.80624573970283,108.38890461035695,6.8119697695511361,13.682499305539485,4019676.8625113326,34.181932790353827,,Th-232,,,,,
component,Po-216,Single,1,673.80624573970283,108.38890461035695,6.8119697695511361,13.682499305539485,32.671208950648385,0.00064487136666136185,,Th-232,,,,,Ac-228
component,Th-232,Single,1,673.80624573970283,108.38890461035695,6.8119697695511361,13.682499305539485,1671.9300148441203,0.0081379609496075866,,Th-232,,,,,Ac-228
component,Rn-220,Single,1,673.80624573970283,108.38890461035695,6.8119697695511361,13.682499305539485,2404.8854564798789,0.037338993208877944,,Th-232,,,,,Ac-228
component,Th-228,Single,1,673.80624573970283,108.38890461035695,6.8119697695511361,13.682499305539485,29565.475775163246,0.16611833586666855,,Th-232,,,,,Ac-228
component,Bi-212,Single,1,673.80624573970283,108.38890461035695,6.8119697695511361,13.682499305539485,388503.64362435869,4.13078386602985,,Th-232,,,,,Ac-228
component,Pb-212,Single,1,1076.9494053728436,170.95387902925032,5.94398270787382,11.917522922337369,3380950.8974881954,23.992632854259437,,Th-232,,,,,
component,Ra-224,Single,1,1076.9494053728436,170.95387902925032,5.94398270787382,11.917522922337369,252947.66735158363,1.9301049945377946,,Th-232,,,,,Pb-212
component,Tl-208,Single,1,863.111047580005,125.62468583086387,6.3537412658777894,12.771816235528,2330020.4575571767,35.552305333427284,,Th-232,,,,,
limit,Ac-228,Single,1,673.80624573970283,,6.8119697695511361,13.682499305539485,,,,Th-232,145.35600000000002,92647.884618955679,0,0.77634220189463876,
limit,Pb-212,Single,1,1076.9494053728436,,5.94398270787382,11.917522922337369,,,,Th-232,95.4808434613717,40296.936707535089,0,0.45825307643733282,
limit,Tl-208,Single,1,863.111047580005,,6.3537412658777894,12.771816235528,,,,Th-232,237.97700000000003,34478.29012544619,0,0.71262455452448181,
limit,Po-216,Single,1,673.80624573970283,,6.8119697695511361,13.682499305539485,,,,Th-232,0.001920532684989,0.66290612591321552,0,0.77634220189463876,Ac-228
limit,Th-232,Single,1,673.80624573970283,,6.8119697695511361,13.682499305539485,,,,Th-232,7.423185247404,33.557594964660339,0,0.77634220189463876,Ac-228
limit,Rn-220,Single,1,673.80624573970283,,6.8119697695511361,13.682499305539485,,,,Th-232,0.114,48.834073795930081,0,0.77634220189463876,Ac-228
limit,Th-228,Single,1,673.80624573970283,,6.8119697695511361,13.682499305539485,,,,Th-232,10.105904793021921,597.03393020978831,0,0.77634220189463876,Ac-228
limit,Bi-212,Single,1,673.80624573970283,,6.8119697695511361,13.682499305539485,,,,Th-232,19.710290382119197,6717.0528943224681,0,0.77634220189463876,Ac-228
limit,Ra-224,Single,1,1076.9494053728436,,5.94398270787382,11.917522922337369,,,,Th-232,4.9110716456426715,2799.0739670885569,0,0.45825307643733282,Pb-212
