spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,live,key
contact52k,contact,2.8,ring10,asis,766.907,255.392,57.3043,19.5693,12.13,87.5655,0.192569,-0.0264561,-0.0412933,-0.103582,-0.14898,-0.0547549,33.5836,1.0298,-1.65448,52742.3,contact52k__AS80_p67_contact_r28__asis
contact52k,contact,2.8,ring10,eq,852.939,426.598,137.433,91.1401,5.29389,43.5136,0.141665,0.00513345,-0.00679075,-0.0233175,-0.0165229,-0.0323728,18.8353,1.00555,-9.81525,52742.3,contact52k__AS80_p67_contact_r28__eq
contact52k,contact,2.8,ring10,kf2,832.337,366.045,115.506,70.2565,4.61585,41.6707,0.138462,0.0078149,-0.00190524,0.00189057,-0.0385427,-0.0663882,22.0691,1.0063,-7.77428,52742.3,contact52k__AS80_p67_contact_r28__kf2
contact52k,contact,3.3,ring10,asis,783.663,236.661,59.0876,19.1558,12.8868,97.9477,0.203802,-0.0313041,-0.0403703,-0.0965259,-0.144493,-0.0567033,32.7452,1.02976,-0.545694,52742.3,contact52k__AS80_p67_contact_r33__asis
contact52k,contact,3.3,ring10,eq,863.245,383.717,140.421,84.3643,6.19556,57.0093,0.162617,-0.00823141,-0.00768333,-0.0195969,-0.0127703,-0.0411506,18.2975,1.0056,-8.00787,52742.3,contact52k__AS80_p67_contact_r33__eq
contact52k,contact,3.3,ring10,kf2,840.023,335.229,127.464,72.2108,5.08303,49.0173,0.150461,0.00298052,-0.00231669,0.00311517,-0.0316004,-0.0735976,21.3654,1.0054,-6.54029,52742.3,contact52k__AS80_p67_contact_r33__kf2
contact52k,contact,3.8,ring10,asis,804.659,213.871,55.4639,17.5873,13.2398,102.217,0.208243,-0.0322303,-0.0397854,-0.0946148,-0.135517,-0.0417812,31.9135,1.03056,-9.05217,52742.3,contact52k__AS80_p67_contact_r38__asis
contact52k,contact,3.8,ring10,eq,881.572,383.689,133.938,77.7247,6.55101,65.389,0.174354,-0.00474167,-0.00985203,-0.0234125,-0.00298669,-0.0240666,17.819,1.00607,-19.2066,52742.3,contact52k__AS80_p67_contact_r38__eq
contact52k,contact,3.8,ring10,kf2,866.464,349.002,110.9,62.1708,5.25376,54.5999,0.158957,-0.00403046,-0.000411444,0.000360359,-0.0186516,-0.0477728,20.4976,1.00475,-16.6287,52742.3,contact52k__AS80_p67_contact_r38__kf2
contact52k,contact,4.2,ring10,asis,816.55,203.868,55.1084,17.1028,13.43,104.532,0.210614,-0.0360871,-0.0408329,-0.0939539,-0.135246,-0.0374531,31.5152,1.03054,-8.94794,52742.3,contact52k__AS80_p67_contact_r42__asis
contact52k,contact,4.2,ring10,eq,893.833,382.963,136.223,76.933,6.74618,69.4013,0.179704,-0.0103759,-0.0105616,-0.0233288,-0.00192934,-0.0206709,17.2491,1.00609,-19.1927,52742.3,contact52k__AS80_p67_contact_r42__eq
contact52k,contact,4.2,ring10,kf2,880.529,348.911,113.707,62.3835,5.32081,55.844,0.160791,-0.00706038,-0.000388777,0.00026403,-0.0159186,-0.0412142,19.7783,1.0047,-16.6398,52742.3,contact52k__AS80_p67_contact_r42__kf2
contact52k,contact,4.345,ring10,asis,841.69,190.093,55.3897,16.6842,13.7263,103.728,0.2098,-0.0479188,-0.0413831,-0.0893243,-0.122316,-0.00981872,31.6245,1.03038,-8.7824,52742.3,contact52k__AS80_p67_contact_p13__asis
contact52k,contact,4.345,ring10,eq,915.352,420.652,140.466,77.3341,6.85428,73.1378,0.184559,-0.0232765,-0.0121238,-0.020269,0.00873711,-0.000237151,17.6975,1.00579,-16.0205,52742.3,contact52k__AS80_p67_contact_p13__eq
contact52k,contact,4.345,ring10,kf2,909.278,357.244,116.617,62.0815,5.36621,57.3332,0.162955,-0.0127839,2.58161e-05,-0.00019732,-0.00695286,-0.0117952,19.7287,1.00464,-16.6405,52742.3,contact52k__AS80_p67_contact_p13__kf2
contact_cal0809,contact,2.8,ring10,asis,897.112,226.209,130.976,33.9858,2.5334,3.98378,0.144106,0.000208202,-0.00548305,-0.0220028,-0.0510383,-0.0304228,14.3524,1.00303,0,3546.9,contact_cal0809__AS80_p67_contact_r28__asis
contact_cal0809,contact,2.8,ring10,eq,904.477,213.045,129.82,32.1268,3.06256,11.1121,0.261088,0.00428837,-0.013322,-0.0348657,-0.052492,-0.0106293,11.0949,1.00284,0,3546.9,contact_cal0809__AS80_p67_contact_r28__eq
contact_cal0809,contact,2.8,ring10,kf2,860.773,180.641,144.064,25.1427,2.47974,9.57587,0.240223,-0.0416491,-0.0171818,-0.0394672,0.00108338,-0.038432,13.4288,1.00469,-5.06906,3546.9,contact_cal0809__AS80_p67_contact_r28__kf2
contact_cal0809,contact,3.3,ring10,asis,912.786,202.737,138.287,33.1331,2.81703,5.44583,0.175895,-0.0118969,-0.000722831,-0.0144716,-0.0451733,-0.0327911,13.384,1.00425,-3.22694,3546.9,contact_cal0809__AS80_p67_contact_r33__asis
contact_cal0809,contact,3.3,ring10,eq,924.166,188.315,137.131,31.527,3.37651,12.7778,0.281758,-0.00711898,-0.00766023,-0.0260446,-0.0447264,-0.00900857,9.82463,1.00417,-3.4206,3546.9,contact_cal0809__AS80_p67_contact_r33__eq
contact_cal0809,contact,3.3,ring10,kf2,891.255,196.486,108.614,18.2539,2.53599,9.79193,0.243245,-0.0241891,-0.0129036,-0.0398566,0.010272,-0.0293499,14.0326,1.00463,-13.8249,3546.9,contact_cal0809__AS80_p67_contact_r33__kf2
contact_cal0809,contact,3.8,ring10,asis,928.87,193.721,131.206,30.0949,3.0095,6.65807,0.198434,-0.016573,-0.00224647,-0.0184727,-0.0379736,-0.0160031,13.1124,1.00234,11.6322,3546.9,contact_cal0809__AS80_p67_contact_r38__asis
contact_cal0809,contact,3.8,ring10,eq,938.587,180,127.939,28.3252,3.58178,14.0871,0.297011,-0.0125142,-0.0104256,-0.0315135,-0.0385984,0.00629469,9.78771,1.00236,10.3202,3546.9,contact_cal0809__AS80_p67_contact_r38__eq
contact_cal0809,contact,3.8,ring10,kf2,900.616,189.583,108.813,17.8242,2.58443,9.89455,0.24466,-0.0318076,-0.014218,-0.041524,0.0140864,-0.0194036,13.8263,1.00464,-13.9335,3546.9,contact_cal0809__AS80_p67_contact_r38__kf2
contact_cal0809,contact,4.2,ring10,asis,935.899,183.305,122.576,26.9347,3.2109,7.38514,0.210811,-0.0186917,-0.00943795,-0.0245802,-0.0438719,-0.0165176,13.5737,1.0068,-16.8291,3546.9,contact_cal0809__AS80_p67_contact_r42__asis
contact_cal0809,contact,4.2,ring10,eq,948.634,172.656,129.424,27.6646,3.74858,14.7114,0.304012,-0.0144517,-0.0127147,-0.0317114,-0.0383971,0.00861916,9.48614,1.00541,-16.8041,3546.9,contact_cal0809__AS80_p67_contact_r42__eq
contact_cal0809,contact,4.2,ring10,kf2,911.853,183.617,109.903,17.4421,2.67569,10.0619,0.246952,-0.0375097,-0.0149969,-0.0417299,0.0160891,-0.0139176,13.4204,1.0047,-14.1595,3546.9,contact_cal0809__AS80_p67_contact_r42__kf2
contact_cal0809,contact,4.345,ring10,asis,955.841,181.986,122.242,26.1981,3.24674,7.66975,0.21547,-0.0441448,-0.00850511,-0.0232125,-0.0336169,0.00932939,14.1711,1.00675,-16.9594,3546.9,contact_cal0809__AS80_p67_contact_p13__asis
contact_cal0809,contact,4.345,ring10,eq,963.416,172.767,126.75,26.5528,3.77714,15.053,0.307758,-0.044126,-0.0134229,-0.0332908,-0.0308048,0.0297465,10.5966,1.00537,-16.979,3546.9,contact_cal0809__AS80_p67_contact_p13__eq
contact_cal0809,contact,4.345,ring10,kf2,917.35,179.765,106.833,16.5039,2.69909,10.1848,0.24862,-0.0588631,-0.0176851,-0.0445349,0.0165707,-0.00258499,15.3351,1.0046,-14.3977,3546.9,contact_cal0809__AS80_p67_contact_p13__kf2
edge93,edge93,2.8,ring10,asis,798.772,163.984,115.448,20.7939,1.64324,1.78699,0.132523,-0.0095629,-0.0102982,-0.0511899,-0.0977408,-0.0585202,25.3369,1.00526,-16.0715,23492.2,edge93__AS80_p67_edge93_r28__asis
edge93,edge93,2.8,ring10,eq,726.745,104.635,104.208,14.4845,3.93935,27.2168,0.551817,0.0757254,0.0977368,-0.161903,-0.0891836,-0.0862752,11.7492,0.999992,22.7869,23492.2,edge93__AS80_p67_edge93_r28__eq
edge93,edge93,2.8,ring10,kf2,674.126,99.4189,118.177,16.6794,3.00886,23.7317,0.51353,0.00608587,0.061127,-0.129326,-0.0244646,-0.0502072,15.0381,1.00086,25.3373,23492.2,edge93__AS80_p67_edge93_r28__kf2
edge93,edge93,3.3,ring05,asis,822.269,161.503,121.196,21.1764,1.6658,1.81908,0.135197,-0.0199857,-0.00603082,-0.0398911,-0.079365,-0.0344932,25.1842,1.00409,-16.0619,23492.2,edge93__AS80_p67_edge93_r33_ring05__asis
