спектр               геом        ρ кольцо пл       |  A(Th)Бк      z  A(Ra)Бк      z |  χ²/ndf    χ²п  невяз |  пик238  пик338  пик583  пик911 пик2614 | сплайн |    усил    ноль |    r1394    r1461  b1-2M
contact_cal0809_bg0  contact  3.80 Fe1.0  eq       |    958.6  222.7    156.8   39.6 |   2.458   5.55  17.8% |   -0.6%   +1.3%   +1.1%   +4.1%   +4.3% |   8.8% |  1.0071  -21.25 |    -2864     4231  29.5%
contact_cal0809_bg0  contact  4.20 Fe1.0  eq       |    971.7  214.4    159.7   38.7 |   2.598   6.11  18.9% |   -0.8%   +1.3%   +1.2%   +4.3%   +4.5% |   8.3% |  1.0071  -21.38 |    -2862     4226  29.4%
contact_cal0809_bg0  contact  4.34 Fe1.0  eq       |   1002.8  205.2    160.1   37.7 |   2.643   6.37  19.3% |   -2.9%   +1.6%   +1.7%   +5.9%   +7.4% |   8.2% |  1.0070  -21.58 |    -2817     4241  29.6%
edge1709             edge93   2.80 Al1.0  eq       |    912.1  272.1    182.0   53.8 |   1.656   1.96   8.0% |   -0.3%   +0.4%   -0.9%   -0.9%   +4.0% |  16.7% |  1.0058   -9.99 |     8857    -5595  30.5%
edge1709             edge93   3.30 Al1.0  eq       |    959.4  274.5    186.8   50.6 |   1.794   2.25   9.2% |   -1.6%   +0.4%   +0.1%   +0.7%   +6.4% |  16.3% |  1.0056   -9.76 |     8479    -6214  30.8%
edge1709             edge93   3.80 Al1.0  eq       |    998.4  257.0    196.8   49.6 |   1.903   2.48  10.0% |   -3.4%   +0.4%   +0.4%   +1.0%   +7.8% |  16.0% |  1.0053   -9.61 |     8553    -5972  30.8%
edge1709             edge93   3.30 Fe0.5  eq       |    965.3  272.4    191.6   51.2 |   1.802   2.30   9.4% |   -1.8%   +0.5%   +0.2%   +0.7%   +6.7% |  16.2% |  1.0055   -9.70 |     8439    -6052  30.7%
edge1709             edge93   2.80 Fe1.0  eq       |    944.7  270.6    188.4   53.5 |   1.668   2.01   8.2% |   -0.6%   +0.4%   -0.7%   -0.3%   +5.5% |  15.7% |  1.0056   -9.94 |     9073    -5366  30.7%
edge1709             edge93   3.30 Fe1.0  eq       |    992.7  269.9    198.2   51.5 |   1.818   2.33   9.5% |   -2.1%   +0.6%   -0.1%   +0.7%   +7.8% |  15.1% |  1.0054   -9.57 |     8769    -5477  30.7%
edge1709             edge93   3.80 Fe1.0  eq       |   1024.4  257.3    204.8   50.0 |   1.932   2.60  10.4% |   -4.0%   +0.5%   +0.2%   +1.0%   +8.8% |  15.5% |  1.0054   -9.65 |     8847    -5663  30.9%
edge1709             edge93   4.20 Fe1.0  eq       |   1042.5  256.4    209.2   51.5 |   1.988   2.79  11.0% |   -6.1%   +0.3%   -0.0%   +0.8%   +8.2% |  16.0% |  1.0054   -9.67 |     8465    -5940  30.6%
edge1709             edge93   4.34 Fe1.0  eq       |   1035.1  233.6    250.5   56.4 |   2.156   3.59  13.2% |  -12.8%   -0.9%   -0.2%   +0.6%   +7.5% |  18.2% |  1.0065  -15.67 |     8491    -5594  30.8%
edge1709             edge93   3.30 Fe2.0  eq       |   1024.8  264.1    210.8   51.9 |   1.855   2.44   9.9% |   -2.6%   +0.2%   +0.2%   +0.8%   +8.5% |  14.5% |  1.0054   -9.79 |     8226    -5774  30.4%
edge1709_bg0         edge93   2.80 Al1.0  eq       |    912.5  152.6    216.3   39.9 |   6.114  18.81  32.7% |   -0.4%   +2.1%   +2.2%   -0.9%   -0.8% |  16.0% |  1.0066  -18.64 |   -60624   108294  74.5%
edge1709_bg0         edge93   3.30 Al1.0  eq       |    955.8  148.5    216.1   37.7 |   6.243  19.12  33.0% |   -1.8%   +2.0%   +3.2%   +0.8%   +1.1% |  16.4% |  1.0065  -19.00 |   -60959   107810  74.2%
edge1709_bg0         edge93   3.80 Al1.0  eq       |    986.8  140.0    225.8   37.3 |   6.420  19.55  33.4% |   -3.8%   +1.8%   +3.2%   +1.1%   +1.6% |  16.7% |  1.0064  -19.14 |   -60974   107964  74.5%
edge1709_bg0         edge93   3.30 Fe0.5  eq       |    960.3  146.6    220.9   38.0 |   6.307  19.26  33.1% |   -2.1%   +2.1%   +3.2%   +0.7%   +1.3% |  16.3% |  1.0065  -19.02 |   -61022   107963  74.3%
edge1709_bg0         edge93   2.80 Fe1.0  eq       |    940.3  150.9    221.5   39.4 |   6.176  18.97  32.9% |   -0.7%   +2.1%   +2.4%   -0.4%   +0.2% |  15.5% |  1.0065  -18.88 |   -60399   108515  74.5%
edge1709_bg0         edge93   3.30 Fe1.0  eq       |    981.2  145.0    224.8   37.8 |   6.329  19.39  33.3% |   -2.4%   +2.0%   +2.8%   +0.4%   +1.7% |  15.9% |  1.0064  -18.94 |   -60884   108270  74.5%
edge1709_bg0         edge93   3.80 Fe1.0  eq       |   1005.2  136.7    235.4   37.6 |   6.459  19.72  33.6% |   -4.8%   +1.8%   +2.9%   +0.7%   +2.1% |  16.6% |  1.0071  -20.31 |   -60799   108191  74.6%
edge1709_bg0         edge93   4.20 Fe1.0  eq       |    973.8  126.7    299.4   45.6 |   6.558  20.98  34.7% |  -11.9%   +1.7%   +3.9%   -1.6%   -1.5% |  16.8% |  1.0100  -33.54 |   -62274   107604  74.4%
edge1709_bg0         edge93   4.34 Fe1.0  eq       |    992.9  122.7    318.9   46.6 |   6.554  21.55  35.2% |  -15.8%   +0.3%   +3.3%   -0.7%   -0.3% |  18.7% |  1.0101  -34.52 |   -62446   107860  74.6%
edge1709_bg0         edge93   3.30 Fe2.0  eq       |   1008.1  141.4    231.2   37.0 |   6.423  19.64  33.5% |   -3.0%   +1.3%   +2.8%   +0.0%   +2.4% |  16.0% |  1.0075  -19.67 |   -61531   107918  74.9%
edge93               edge93   2.80 Al1.0  eq       |    808.4  157.1    150.2   29.3 |   1.430  19.92  54.5% |   -0.3%   +0.7%   -1.8%   -2.8%   -0.1% |  19.1% |  1.0078   -8.01 |     3033    -1665  45.3%
edge93               edge93   3.30 Al1.0  eq       |    859.7  156.3    156.0   29.0 |   1.437  19.90  54.5% |   -1.2%   +1.0%   -0.5%   -0.8%   +3.1% |  17.9% |  1.0074   -7.59 |     2956    -1796  45.5%
edge93               edge93   3.80 Al1.0  eq       |    909.2  165.1    163.7   28.9 |   1.461  19.92  54.5% |   -2.3%   +1.1%   +0.2%   +0.2%   +5.6% |  16.7% |  1.0071   -7.34 |     2992    -1699  45.5%
edge93               edge93   3.30 Fe0.5  eq       |    869.9  156.8    160.1   29.5 |   1.429  19.88  54.4% |   -1.3%   +1.1%   -0.2%   -0.6%   +3.9% |  17.4% |  1.0074   -7.55 |     2954    -1738  45.4%
edge93               edge93   2.80 Fe1.0  eq       |    842.2  158.6    156.6   29.7 |   1.410  19.87  54.4% |   -0.4%   +0.8%   -1.4%   -1.9%   +1.7% |  17.7% |  1.0077   -7.97 |     3089    -1596  45.4%
edge93               edge93   3.30 Fe1.0  eq       |    894.1  161.9    166.0   30.0 |   1.432  19.88  54.4% |   -1.5%   +1.2%   -0.6%   -0.6%   +4.6% |  16.4% |  1.0072   -7.43 |     3019    -1622  45.4%
edge93               edge93   3.80 Fe1.0  eq       |    937.8  159.3    169.3   29.1 |   1.462  19.92  54.5% |   -2.5%   +1.3%   +0.1%   +0.4%   +6.9% |  16.0% |  1.0071   -7.33 |     3014    -1716  45.5%
edge93               edge93   4.20 Fe1.0  eq       |    966.9  165.6    172.7   28.6 |   1.489  19.96  54.6% |   -3.7%   +1.5%   +0.2%   +0.7%   +7.4% |  16.0% |  1.0070   -7.18 |     2894    -1824  45.2%
edge93               edge93   4.34 Fe1.0  eq       |    959.0  154.3    216.3   34.7 |   1.604  20.23  54.9% |  -10.4%   +0.5%   +0.3%   +0.7%   +6.6% |  18.0% |  1.0085  -15.22 |     2885    -1751  45.4%
edge93               edge93   3.30 Fe2.0  eq       |    930.6  170.9    176.0   30.5 |   1.431  19.88  54.4% |   -1.7%   +0.9%   -0.0%   -0.2%   +6.2% |  15.3% |  1.0072   -7.60 |     2900    -1656  45.1%
edge93_bg0           edge93   2.80 Al1.0  eq       |    790.4   98.2    216.9   28.4 |   3.543   7.05  34.5% |   -0.9%   +3.3%   +1.7%   -3.6%   -6.3% |  16.7% |  1.0074   -7.23 |   -16254    29728  77.2%
edge93_bg0           edge93   3.30 Al1.0  eq       |    840.8  105.7    221.0   31.5 |   3.513   6.99  34.4% |   -1.8%   +3.4%   +3.0%   -1.3%   -3.6% |  15.9% |  1.0071   -7.04 |   -16352    29606  76.9%
edge93_bg0           edge93   3.80 Al1.0  eq       |    879.2  103.8    229.7   31.2 |   3.561   7.06  34.6% |   -3.2%   +3.4%   +3.5%   -0.3%   -2.1% |  15.7% |  1.0071   -7.71 |   -16346    29667  77.3%
edge93_bg0           edge93   3.30 Fe0.5  eq       |    848.2  105.4    225.1   31.7 |   3.519   7.00  34.4% |   -1.9%   +3.5%   +3.2%   -1.2%   -3.0% |  15.7% |  1.0070   -6.98 |   -16363    29653  77.0%
edge93_bg0           edge93   2.80 Fe1.0  eq       |    823.0  103.9    225.4   29.7 |   3.519   7.00  34.4% |   -1.1%   +3.4%   +2.1%   -2.7%   -4.7% |  15.4% |  1.0072   -7.18 |   -16209    29793  77.1%
edge93_bg0           edge93   3.30 Fe1.0  eq       |    868.1  104.9    229.6   31.6 |   3.532   7.02  34.5% |   -2.2%   +3.4%   +2.9%   -1.4%   -2.7% |  15.2% |  1.0069   -6.90 |   -16324    29737  77.3%
edge93_bg0           edge93   3.80 Fe1.0  eq       |    905.8  103.4    234.1   30.9 |   3.572   7.07  34.6% |   -3.3%   +3.4%   +3.4%   -0.2%   -1.0% |  15.3% |  1.0068   -6.81 |   -16253    29753  77.3%
edge93_bg0           edge93   4.20 Fe1.0  eq       |    906.6   97.4    264.1   33.2 |   3.641   7.24  35.1% |   -7.3%   +3.8%   +4.0%   -0.8%   -2.3% |  15.6% |  1.0081  -14.27 |   -16484    29642  77.4%
edge93_bg0           edge93   4.34 Fe1.0  eq       |    927.4   93.1    276.5   33.2 |   3.687   7.39  35.5% |  -10.7%   +2.3%   +3.3%   +0.1%   -1.0% |  17.7% |  1.0083  -14.50 |   -16516    29701  77.5%
edge93_bg0           edge93   3.30 Fe2.0  eq       |    898.4  104.1    239.0   31.5 |   3.552   7.08  34.6% |   -2.5%   +3.0%   +3.3%   -1.2%   -1.5% |  14.8% |  1.0069   -7.18 |   -16477    29682  77.5%
