scene,stamp_live_in,stamp_generated_in,stamp_rmx,verdict
G1S_denta120_oisn16_155_p24,phys=18;c5b1137ce58385a22a7aca9d7183bfacf955fe7472d12bd562599c9fed095973,phys=18;c5b1137ce58385a22a7aca9d7183bfacf955fe7472d12bd562599c9fed095973,phys=18;c5b1137ce58385a22a7aca9d7183bfacf955fe7472d12bd562599c9fed095973,СОШЛОСЬ
G1S_denta120_oisn16_160_p24,phys=18;ca43c0279c451748dd34dc0e56aff7437ef1505482755a096f387d7024f7037c,phys=18;ca43c0279c451748dd34dc0e56aff7437ef1505482755a096f387d7024f7037c,phys=18;ca43c0279c451748dd34dc0e56aff7437ef1505482755a096f387d7024f7037c,СОШЛОСЬ
G1S_denta120_oisn16_166_p24,phys=18;063d1d4e16ef88cf2486f3dfc2a3421bada581632e1f08b720f04cde2161165b,phys=18;063d1d4e16ef88cf2486f3dfc2a3421bada581632e1f08b720f04cde2161165b,phys=18;063d1d4e16ef88cf2486f3dfc2a3421bada581632e1f08b720f04cde2161165b,СОШЛОСЬ
G1S_denta120_oisn16_167_p24,phys=18;1414a3a76e3ee526979f659effe23135a65b3a298514a2e38a6b754ef16004b7,phys=18;1414a3a76e3ee526979f659effe23135a65b3a298514a2e38a6b754ef16004b7,phys=18;1414a3a76e3ee526979f659effe23135a65b3a298514a2e38a6b754ef16004b7,СОШЛОСЬ
G1S_mar1l_coal_046_p24,phys=18;c08e15a4ec048341f718ddad7d801f5b09cfa8796415c9b3f7b8d40c9d7e7009,phys=18;c08e15a4ec048341f718ddad7d801f5b09cfa8796415c9b3f7b8d40c9d7e7009,phys=18;c08e15a4ec048341f718ddad7d801f5b09cfa8796415c9b3f7b8d40c9d7e7009,СОШЛОСЬ
G1S_mar1l_oisn06_055_p16,phys=18;5fc08aadbfe9cb8b0efcb892353d852e4268c4a871ad417a0d5996ac9106df57,phys=18;5fc08aadbfe9cb8b0efcb892353d852e4268c4a871ad417a0d5996ac9106df57,phys=18;5fc08aadbfe9cb8b0efcb892353d852e4268c4a871ad417a0d5996ac9106df57,СОШЛОСЬ
G1S_mar1l_oisn06_057_p16,phys=18;2c366cb9a0b76b0958192b4523ab9a160356b11306e1605b6de2bc39a024bd97,phys=18;666a6bf7c95db4f67f45d28f38926b60f7fbfc84e6ccc2cf6af8e779a7a551d6,phys=18;666a6bf7c95db4f67f45d28f38926b60f7fbfc84e6ccc2cf6af8e779a7a551d6,РАЗОШЛОСЬ: ГЕНЕРАТОР СТРОИТ ДРУГУЮ СЦЕНУ: клеймо построенного phys=18;666a6bf7c95db4f6 ≠ живого phys=18;2c366cb9a0b76b09 | МАТРИЦА ПОСЧИТАНА НА ДРУГУЮ СЦЕНУ или состав клейма сменился: клеймо файла phys=18;666a6bf7c95db4f6 ≠ клейма сцены phys=18;2c366cb9a0b76b09
G1S_mar1l_oisn06_057_p24,phys=18;531cc8f6e08c5ad665a8dc765f36df2a66128d419baab0610332917833d1ef34,phys=18;531cc8f6e08c5ad665a8dc765f36df2a66128d419baab0610332917833d1ef34,phys=18;531cc8f6e08c5ad665a8dc765f36df2a66128d419baab0610332917833d1ef34,СОШЛОСЬ
G1S_mar1l_oisn06_062_p16,phys=18;61379b3b1b44c6a79f0b1fa7a9175a4a7b14c5cdb0ff587d506a5655c5576487,phys=18;61379b3b1b44c6a79f0b1fa7a9175a4a7b14c5cdb0ff587d506a5655c5576487,phys=18;61379b3b1b44c6a79f0b1fa7a9175a4a7b14c5cdb0ff587d506a5655c5576487,СОШЛОСЬ
G1S_mar1l_oisn06_062_p24,phys=18;e913e506474f9b5c627df658d61868e6c5cf0f4819dc8a97a2da97ebe48324ed,phys=18;e913e506474f9b5c627df658d61868e6c5cf0f4819dc8a97a2da97ebe48324ed,phys=18;e913e506474f9b5c627df658d61868e6c5cf0f4819dc8a97a2da97ebe48324ed,СОШЛОСЬ
G1S_mar1l_oisn06_064_p24,phys=18;6af9b67ddc606c7f96bfb5680779cef0c3ffe4c6d1d606b5f9a5184a88226346,phys=18;6af9b67ddc606c7f96bfb5680779cef0c3ffe4c6d1d606b5f9a5184a88226346,phys=18;6af9b67ddc606c7f96bfb5680779cef0c3ffe4c6d1d606b5f9a5184a88226346,СОШЛОСЬ
G1S_mar1l_oisn06_066_p16,phys=18;51e0570ec29e8e32b8a7ea5bb64443caf3d31db98c9d2b67ae4510aa9985e47a,phys=18;51e0570ec29e8e32b8a7ea5bb64443caf3d31db98c9d2b67ae4510aa9985e47a,phys=18;51e0570ec29e8e32b8a7ea5bb64443caf3d31db98c9d2b67ae4510aa9985e47a,СОШЛОСЬ
G1S_mar1l_oisn06_066_p24,phys=18;e83abbaa088bccf78515628a7f350f7d11bd66e21da5f79f2f8805ba703ba8d6,phys=18;e83abbaa088bccf78515628a7f350f7d11bd66e21da5f79f2f8805ba703ba8d6,phys=18;e83abbaa088bccf78515628a7f350f7d11bd66e21da5f79f2f8805ba703ba8d6,СОШЛОСЬ
G1S_mar1l_oisn16_155_p16,phys=18;c31f97a5418dcd2d118a68e7dc922ed5bf5e9d2c726ad4d3e95c55e02c5db205,phys=18;c31f97a5418dcd2d118a68e7dc922ed5bf5e9d2c726ad4d3e95c55e02c5db205,phys=18;c31f97a5418dcd2d118a68e7dc922ed5bf5e9d2c726ad4d3e95c55e02c5db205,СОШЛОСЬ
G1S_mar1l_oisn16_155_p24,phys=18;9669e8ef784ecf6c953555a51485ceabeecbd46a696319cba623f5f291a56f50,phys=18;9669e8ef784ecf6c953555a51485ceabeecbd46a696319cba623f5f291a56f50,phys=18;9669e8ef784ecf6c953555a51485ceabeecbd46a696319cba623f5f291a56f50,СОШЛОСЬ
G1S_mar1l_oisn16_160_p16,phys=18;b2047933258c9dc22e2adc3c9cc333c4f49bb1206a70e599d02114eb2e4ec709,phys=18;b2047933258c9dc22e2adc3c9cc333c4f49bb1206a70e599d02114eb2e4ec709,phys=18;b2047933258c9dc22e2adc3c9cc333c4f49bb1206a70e599d02114eb2e4ec709,СОШЛОСЬ
G1S_mar1l_oisn16_160_p24,phys=18;8de08e56f6b54cce68830b529ee67b17ec6ff30ab2ffe5e06a5748ebe61dd445,phys=18;8de08e56f6b54cce68830b529ee67b17ec6ff30ab2ffe5e06a5748ebe61dd445,phys=18;8de08e56f6b54cce68830b529ee67b17ec6ff30ab2ffe5e06a5748ebe61dd445,СОШЛОСЬ
G1S_mar1l_oisn16_166_p16,phys=18;a4273f022fc9ab8f14bffdce2eb346f10866c4a28dc95d4bdd08c805ee1b6b79,phys=18;a4273f022fc9ab8f14bffdce2eb346f10866c4a28dc95d4bdd08c805ee1b6b79,phys=18;a4273f022fc9ab8f14bffdce2eb346f10866c4a28dc95d4bdd08c805ee1b6b79,СОШЛОСЬ
G1S_mar1l_oisn16_166_p24,phys=18;98d43ded97ff2baa0d33b79a696fa4fc8e4544324715ccbe240194e6c19e635e,phys=18;98d43ded97ff2baa0d33b79a696fa4fc8e4544324715ccbe240194e6c19e635e,phys=18;98d43ded97ff2baa0d33b79a696fa4fc8e4544324715ccbe240194e6c19e635e,СОШЛОСЬ
G1S_mar1l_oisn16_167_p16,phys=18;e388f7548275cb33da7774c80571f18f2d7ddba82d4cabf2ebda8395564160b8,phys=18;e388f7548275cb33da7774c80571f18f2d7ddba82d4cabf2ebda8395564160b8,phys=18;e388f7548275cb33da7774c80571f18f2d7ddba82d4cabf2ebda8395564160b8,СОШЛОСЬ
G1S_mar1l_oisn16_167_p24,phys=18;04bc2f7baa4074169335dfd5d35a565820a2465818c6234c7dddd8375118f8a1,phys=18;04bc2f7baa4074169335dfd5d35a565820a2465818c6234c7dddd8375118f8a1,phys=18;04bc2f7baa4074169335dfd5d35a565820a2465818c6234c7dddd8375118f8a1,СОШЛОСЬ
G1S_mar1l_risn379_100_p16,phys=18;8566d1907c44f80318cf05876a510b46eadaf7767f0f37662fd0163bf99ec6ae,phys=18;8566d1907c44f80318cf05876a510b46eadaf7767f0f37662fd0163bf99ec6ae,phys=18;8566d1907c44f80318cf05876a510b46eadaf7767f0f37662fd0163bf99ec6ae,СОШЛОСЬ
G1S_petri60_oisn06_057_p24,phys=18;399068bb0682ee620611fe8b588b1de70369b0d9bde9b825bba6295c22c0a6eb,phys=18;399068bb0682ee620611fe8b588b1de70369b0d9bde9b825bba6295c22c0a6eb,phys=18;399068bb0682ee620611fe8b588b1de70369b0d9bde9b825bba6295c22c0a6eb,СОШЛОСЬ
G1S_petri60_oisn06_062_p24,phys=18;3457c41a092eb8c95891086e60709be1a507cc02d4e2aaff6372abeefe951c11,phys=18;3457c41a092eb8c95891086e60709be1a507cc02d4e2aaff6372abeefe951c11,phys=18;3457c41a092eb8c95891086e60709be1a507cc02d4e2aaff6372abeefe951c11,СОШЛОСЬ
G1S_petri60_oisn06_064_p24,phys=18;5d41f3b78427351f23efd5bb8b8bd8c3bb0ccd1ec7095f5cc6e736908679931d,phys=18;5d41f3b78427351f23efd5bb8b8bd8c3bb0ccd1ec7095f5cc6e736908679931d,phys=18;5d41f3b78427351f23efd5bb8b8bd8c3bb0ccd1ec7095f5cc6e736908679931d,СОШЛОСЬ
G1S_petri60_oisn06_067_p24,phys=18;4a59c39c4413721dfa5fe70e27cf2befad035d87235514fd43c3e60133df4ed5,phys=18;4a59c39c4413721dfa5fe70e27cf2befad035d87235514fd43c3e60133df4ed5,phys=18;4a59c39c4413721dfa5fe70e27cf2befad035d87235514fd43c3e60133df4ed5,СОШЛОСЬ
G1S_petri60_oisn10_100_p16,phys=18;195b7b1325fec88d84a7f87b3dad73ba20991c3e9748b6b136c2ab7f480caa96,phys=18;195b7b1325fec88d84a7f87b3dad73ba20991c3e9748b6b136c2ab7f480caa96,phys=18;195b7b1325fec88d84a7f87b3dad73ba20991c3e9748b6b136c2ab7f480caa96,СОШЛОСЬ
G1S_petri60_oisn16_155_p24,phys=18;d54e77e12f128994b89e5c1bb3a0c4cb042a366fa5b12ba4e1444b985623514c,phys=18;d54e77e12f128994b89e5c1bb3a0c4cb042a366fa5b12ba4e1444b985623514c,phys=18;d54e77e12f128994b89e5c1bb3a0c4cb042a366fa5b12ba4e1444b985623514c,СОШЛОСЬ
G1S_petri60_oisn16_160_p24,phys=18;54a36fd3f5ca592d1a4c673e391841dd9c9bd8eff87d480eef720279e0bc6b9c,phys=18;54a36fd3f5ca592d1a4c673e391841dd9c9bd8eff87d480eef720279e0bc6b9c,phys=18;54a36fd3f5ca592d1a4c673e391841dd9c9bd8eff87d480eef720279e0bc6b9c,СОШЛОСЬ
G1S_petri60_oisn16_167_p24,phys=18;00bbec9eaac6ef034a2dad498dff8fdb25f12629e66b32c7ee9e93bd0569bd84,phys=18;00bbec9eaac6ef034a2dad498dff8fdb25f12629e66b32c7ee9e93bd0569bd84,phys=18;00bbec9eaac6ef034a2dad498dff8fdb25f12629e66b32c7ee9e93bd0569bd84,СОШЛОСЬ
G1S_petri60_risn379_100_p16,phys=18;f4ab057c467e6eb0e35a0a20109552c28c7f35a038a22e5c18d929a65ceeeb7f,phys=18;f4ab057c467e6eb0e35a0a20109552c28c7f35a038a22e5c18d929a65ceeeb7f,phys=18;f4ab057c467e6eb0e35a0a20109552c28c7f35a038a22e5c18d929a65ceeeb7f,СОШЛОСЬ
G1S_point25,phys=18;1a7858984392ca23cb186a58dc41d862fab9aafcf4592f8505224f86406cf3e4,phys=18;1a7858984392ca23cb186a58dc41d862fab9aafcf4592f8505224f86406cf3e4,phys=18;a56b959512b93db3a9d2e8a9f15e233cc4dfbe5a5aa2b5b65f50abea644bb33c,РАЗОШЛОСЬ: МАТРИЦА ПОСЧИТАНА НА ДРУГУЮ СЦЕНУ или состав клейма сменился: клеймо файла phys=18;a56b959512b93db3 ≠ клейма сцены phys=18;1a7858984392ca23
G1S_point5,phys=18;a56b959512b93db3a9d2e8a9f15e233cc4dfbe5a5aa2b5b65f50abea644bb33c,phys=18;a56b959512b93db3a9d2e8a9f15e233cc4dfbe5a5aa2b5b65f50abea644bb33c,phys=18;a56b959512b93db3a9d2e8a9f15e233cc4dfbe5a5aa2b5b65f50abea644bb33c,СОШЛОСЬ
RC103_lu_front,phys=18;2d63fa4914edf0d8384374cd686cbb2ef6252640850bbf8a7b905d006b6cc54b,phys=18;2d63fa4914edf0d8384374cd686cbb2ef6252640850bbf8a7b905d006b6cc54b,phys=18;2d63fa4914edf0d8384374cd686cbb2ef6252640850bbf8a7b905d006b6cc54b,СОШЛОСЬ
RC103_marinelli05_kcl,phys=18;a53cb1f42a3cc9299375bd31e2f0ca8dc42f01a12860af5eb607d0331ee7abda,phys=18;a53cb1f42a3cc9299375bd31e2f0ca8dc42f01a12860af5eb607d0331ee7abda,phys=18;a53cb1f42a3cc9299375bd31e2f0ca8dc42f01a12860af5eb607d0331ee7abda,СОШЛОСЬ
RC103_point0,phys=18;3ecd6580980b9e8d3125acd11056a334a40a77c948e5653cb0d4d49c03b72202,phys=18;3ecd6580980b9e8d3125acd11056a334a40a77c948e5653cb0d4d49c03b72202,phys=18;3ecd6580980b9e8d3125acd11056a334a40a77c948e5653cb0d4d49c03b72202,СОШЛОСЬ
