ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb,Xray-Pb-L,pile-up
43,9.759,171892.216,179425.300,0.000,0.000,171892.216,96784.062,109129.866,91.271,658.824,69925.716,0.000
44,10.136,178433.059,180192.678,0.000,0.000,178433.059,93278.396,109255.285,112.156,664.848,70584.684,0.000
45,10.513,181230.432,179687.279,0.000,0.000,181230.432,88974.360,109261.299,137.824,669.354,70051.928,0.000
46,10.890,184661.579,178000.992,0.000,0.000,184661.579,83902.904,109210.173,169.368,672.943,68383.414,0.000
47,11.267,184891.545,175310.339,0.000,0.000,184891.545,78134.279,109177.565,208.136,676.208,65685.058,0.000
48,11.644,184114.937,171758.809,0.000,0.000,184114.937,71774.607,109132.134,255.782,678.988,62104.107,0.000
49,12.021,180870.018,167518.117,0.000,0.000,180870.018,64964.360,109073.955,314.341,681.265,57817.356,0.000
50,12.398,176105.313,162745.532,0.000,0.000,176105.313,57873.448,109028.782,386.311,683.138,53017.410,0.000
51,12.775,170429.944,157720.187,0.000,0.000,170429.944,50691.936,109033.228,474.768,684.743,47898.829,0.000
52,13.152,164346.642,152620.213,0.000,0.000,164346.642,43616.441,109077.460,583.489,685.895,42645.986,0.000
53,13.530,157553.255,147591.048,0.000,0.000,157553.255,36835.018,109137.572,717.118,686.305,37423.871,0.000
54,13.907,152296.631,142778.669,0.000,0.000,152296.631,30512.677,109214.211,881.365,685.839,32372.240,0.000
55,14.284,145633.622,138320.370,0.000,0.000,145633.622,24779.553,109325.981,1083.247,684.476,27602.789,0.000
56,14.661,141468.052,134324.144,0.000,0.000,141468.052,19723.449,109489.124,1331.391,682.199,23198.660,0.000
57,15.038,136571.799,130887.053,0.000,0.000,136571.799,15387.345,109697.068,1636.405,678.882,19215.572,0.000
58,15.415,133562.209,128051.291,0.000,0.000,133562.209,11771.926,109954.470,2011.326,674.475,15684.054,0.000
59,15.793,131553.955,125783.530,0.000,0.000,131553.955,8841.823,110303.524,2472.184,669.146,12612.449,0.000
60,16.170,129794.582,124223.953,0.000,0.000,129794.582,6534.208,110806.106,3038.683,663.173,9990.488,0.000
61,16.547,128433.348,123427.219,0.000,0.000,128433.348,4768.588,111517.321,3735.051,656.828,7793.221,0.000
62,16.924,128139.823,123406.160,0.000,0.000,128139.823,3456.259,112455.644,4591.072,650.254,5985.084,0.000
63,17.301,128115.684,124224.763,0.000,0.000,128115.684,2508.891,113690.340,5643.361,643.811,4523.820,0.000
64,17.679,129348.910,126201.452,228.929,0.000,129348.910,1844.915,115530.057,6944.811,639.485,3364.018,0.313
65,18.056,130699.416,129221.630,457.859,0.000,130699.416,1393.446,117859.739,8542.892,636.239,2460.011,0.627
66,18.433,131059.159,133311.013,686.788,0.000,131059.159,1095.720,120745.517,10505.273,634.307,1768.183,0.941
67,18.810,133481.554,138617.715,915.718,0.000,133481.554,905.782,124275.387,12852.869,633.990,1248.517,1.256
68,19.188,136330.268,145269.002,1144.647,0.000,136330.268,789.304,128567.807,15593.549,635.694,865.547,1.571
69,19.565,139240.466,153340.064,1373.576,0.000,139240.466,721.786,133766.315,18739.208,639.874,588.791,1.886
70,19.942,142673.438,162918.403,1602.506,0.000,142673.438,686.250,140013.219,22243.348,646.825,392.783,2.202
71,20.319,147687.068,174092.980,1831.435,0.000,147687.068,671.324,147447.277,26078.147,656.626,256.814,2.518
72,20.697,152990.073,186943.283,2060.364,0.000,152990.073,669.881,156253.801,30201.041,669.429,164.484,2.835
73,21.074,159698.498,201674.868,2289.294,0.000,159698.498,677.681,166678.092,34553.199,685.493,103.145,3.152
74,21.451,167722.013,218500.654,2518.223,0.000,167722.013,692.266,179017.648,39059.292,705.068,63.300,3.471
75,21.829,178198.915,237544.770,2747.153,0.000,178198.915,712.151,193599.293,43631.467,728.170,38.002,3.790
76,22.206,190166.261,259034.538,2976.082,0.000,190166.261,736.289,210787.767,48165.162,754.563,22.310,4.110
77,22.584,204500.410,283708.752,3205.011,0.000,204500.410,764.150,231073.713,52532.761,784.244,12.804,4.431
78,22.961,223238.448,311808.521,3433.941,0.000,223238.448,795.600,255061.757,56616.587,817.273,7.183,4.753
79,23.338,242827.880,343867.644,3662.870,0.000,242827.880,830.641,283408.265,60295.497,853.734,3.938,5.077
80,23.716,267768.479,379466.825,3891.799,0.000,267768.479,868.818,315804.450,63460.283,893.283,2.110,5.402
81,24.093,296357.549,418321.915,4120.729,0.000,296357.549,909.894,352060.415,66017.517,935.692,1.104,5.729
82,24.471,328870.162,460415.745,4349.658,0.000,328870.162,953.865,392233.293,67893.281,980.933,0.564,6.058
83,24.848,367808.252,505681.577,4578.588,0.000,367808.252,1000.771,436307.071,69036.993,1029.072,0.282,6.390
84,25.225,410463.219,553857.209,4807.517,0.000,410463.219,1050.613,484044.497,69423.805,1080.124,0.137,6.724
85,25.603,458032.710,603903.453,5036.446,0.000,458032.710,1103.208,534813.836,69055.400,1133.884,0.065,7.061
86,25.980,509644.677,655543.928,5265.376,0.000,509644.677,1158.625,587963.761,67959.179,1190.406,0.031,7.402
87,26.358,566840.710,708653.248,5494.305,0.000,566840.710,1217.165,642786.106,66185.925,1249.980,0.014,7.746
88,26.735,626480.122,762008.655,5723.235,0.000,626480.122,1279.230,698457.514,63806.217,1313.026,0.007,8.094
89,27.113,687273.541,814657.340,5952.164,0.000,687273.541,1345.162,753939.006,60905.912,1379.857,0.003,8.446
90,27.490,750060.012,865498.603,6181.093,0.000,750060.012,1415.264,808033.513,57581.098,1450.761,0.001,8.802
91,27.868,813929.902,913471.195,6410.023,0.000,813929.902,1490.115,859578.060,53932.926,1526.311,0.001,9.164
92,28.245,875110.334,957547.633,6638.952,0.000,875110.334,1570.700,907442.905,50062.692,1607.470,0.000,9.530
93,28.623,930210.580,996740.294,6867.881,0.000,930210.580,1658.164,950542.230,46067.497,1695.332,0.000,9.901
94,29.000,982165.928,1030097.715,7096.811,0.000,982165.928,1753.329,987834.370,42036.699,1790.742,0.000,10.277
95,29.378,1027734.805,1056072.936,7325.740,0.000,1027734.805,1857.067,1018388.642,38049.304,1894.537,0.000,10.658
96,29.755,1064757.212,1074950.838,7554.670,0.000,1064757.212,1970.896,1041488.608,34172.314,2008.196,0.000,11.044
97,30.133,1093485.992,1086553.860,7783.599,0.000,1093485.992,2096.643,1056621.387,30459.994,2133.487,0.000,11.435
98,30.511,1110327.521,1090071.978,8012.528,0.000,1110327.521,2236.240,1063495.332,26953.924,2272.318,0.000,11.830
99,30.888,1116775.708,1085486.015,8241.458,0.000,1116775.708,2390.294,1062024.961,23683.695,2425.271,0.000,12.229
100,31.266,1110941.140,1072980.309,8470.387,0.000,1110941.140,2560.232,1052364.799,20668.060,2593.690,0.000,12.632
101,31.643,1098859.534,1052944.853,8699.317,0.000,1098859.534,2748.047,1034893.590,17916.355,2779.489,0.000,13.039
102,32.021,1074636.818,1025981.273,8928.246,0.000,1074636.818,2955.995,1010187.812,15430.058,2984.906,0.000,13.448
103,32.399,1045204.941,992795.722,9157.175,0.000,1045204.941,3185.541,978982.480,13204.326,3211.297,0.000,13.860
104,32.776,1004441.309,954219.952,9386.105,0.000,1004441.309,3436.809,942132.121,11229.454,3458.693,0.000,14.273
105,33.154,957543.933,912690.763,9615.034,0.000,957543.933,3710.637,900587.453,9492.158,3727.785,0.000,14.687
106,33.532,908218.495,866687.413,9843.963,0.000,908218.495,4008.499,855355.945,7976.692,4020.005,0.000,15.103
107,33.909,854658.462,817635.004,10072.893,0.000,854658.462,4331.928,807457.868,6665.766,4336.717,0.000,15.518
108,34.287,799123.585,766478.045,10301.822,0.000,799123.585,4680.449,757880.986,5541.293,4677.262,0.000,15.933
109,34.665,744098.250,715550.658,10530.752,0.000,744098.250,5051.173,707548.481,4584.975,5038.616,0.000,16.347
110,35.042,688096.444,664802.394,10759.681,0.000,688096.444,5442.874,657315.142,3778.764,5419.351,0.000,16.760
111,35.420,634879.314,615097.311,10988.610,0.000,634879.314,5854.641,607942.542,3105.210,5818.312,0.000,17.171
112,35.798,584463.741,567095.965,11217.540,0.000,584463.741,6285.248,560084.436,2547.727,6234.018,0.000,17.581
113,36.176,535738.288,521790.689,11446.469,0.000,535738.288,6730.797,514267.764,2090.785,6662.294,0.000,17.989
114,36.553,489899.224,478510.806,11675.398,0.000,489899.224,7185.948,470899.401,1720.047,7097.453,0.000,18.395
115,36.931,447000.669,437865.480,11904.328,0.000,447000.669,7646.952,430288.321,1422.454,7535.360,0.000,18.800
116,37.309,408174.025,400036.209,12133.257,0.000,408174.025,8109.827,392643.008,1186.264,7971.576,0.000,19.202
117,37.687,371745.321,366543.003,12362.187,0.000,371745.321,8570.201,358080.214,1001.064,8401.295,0.000,19.602
118,38.064,340384.160,335726.230,12591.116,0.000,340384.160,9022.416,326621.668,857.738,8818.261,0.000,20.000
119,38.442,311599.792,307626.484,12820.045,0.000,311599.792,9461.018,298227.047,748.412,9216.378,0.000,20.397
120,38.820,286095.367,282498.839,13048.975,0.000,286095.367,9881.025,272807.945,666.377,9589.890,0.000,20.792
121,39.198,263639.677,260209.934,13277.904,0.000,263639.677,10277.616,250236.124,605.995,9933.207,0.000,21.185
122,39.576,241709.728,240586.464,13506.834,0.000,241709.728,10646.436,230348.320,562.590,10240.962,0.000,21.577
123,39.954,223624.431,223435.181,13735.763,0.000,223624.431,10983.659,212951.100,532.340,10508.132,0.000,21.968
124,40.331,208946.109,208541.904,13964.692,0.000,208946.109,11286.082,197840.845,512.160,10730.217,0.000,22.357
125,40.709,196015.096,195677.122,14193.622,0.000,196015.096,11551.369,184815.238,499.601,10903.386,0.000,22.746
126,41.087,184409.871,184771.680,14422.551,0.000,184409.871,11778.172,173673.498,492.736,11024.565,0.000,23.134
127,41.465,174479.155,175576.170,14651.480,0.000,174479.155,11966.248,164215.631,490.076,11091.507,0.000,23.521
128,41.843,165659.884,167611.374,14880.410,0.000,165659.884,12116.546,156238.771,490.484,11102.849,0.000,23.908
129,42.221,159054.497,160889.483,15109.339,0.000,159054.497,12231.284,149558.580,493.106,11058.213,0.000,24.295
130,42.599,152377.303,155243.197,15338.269,0.000,152377.303,12314.106,144007.772,497.303,10958.223,0.000,24.681
131,42.977,147347.032,150521.655,15567.198,0.000,147347.032,12370.050,139434.344,502.611,10804.488,0.000,25.067
132,43.355,143934.232,146274.962,15486.825,0.000,143934.232,12405.601,135398.688,498.789,10597.456,0.000,24.955
133,43.732,139749.723,142678.308,15406.451,0.000,139749.723,12428.703,132060.589,495.486,10342.388,0.000,24.842
134,44.110,137101.485,139622.758,15326.078,0.000,137101.485,12448.758,129307.159,492.533,10043.405,0.000,24.728
135,44.488,134932.265,137015.560,15245.705,0.000,134932.265,12476.617,127040.944,489.813,9705.325,0.000,24.614
136,44.866,133395.388,134791.674,15165.331,0.000,133395.388,12524.567,125178.441,487.245,9333.523,0.000,24.499
137,45.244,130940.091,132855.146,15084.958,0.000,130940.091,12606.324,123641.095,484.775,8933.629,0.000,24.384
138,45.622,130361.858,131150.754,15004.585,0.000,130361.858,12737.035,122361.393,482.365,8511.528,0.000,24.269
139,46.000,129331.091,129635.213,14924.211,0.000,129331.091,12933.299,121286.621,479.994,8073.309,0.000,24.153
140,46.378,128145.188,128273.542,14843.838,0.000,128145.188,13213.215,120375.707,477.644,7625.080,0.000,24.037
141,46.756,127920.137,127038.546,14763.465,0.000,127920.137,13594.523,119595.522,475.305,7172.786,0.000,23.921
142,47.134,127459.188,125904.200,14683.092,0.000,127459.188,14088.924,118914.477,472.972,6721.997,0.000,23.804
143,47.513,126797.065,124848.924,14602.718,0.000,126797.065,14706.050,118305.838,470.640,6277.869,0.000,23.687
144,47.891,126787.510,123862.743,14522.345,0.000,126787.510,15461.192,117754.846,468.307,5845.192,0.000,23.570
145,48.269,126379.104,122945.864,14441.972,0.000,126379.104,16370.320,117253.247,465.971,5428.237,0.000,23.453
146,48.647,125195.452,122102.194,14361.598,0.000,125195.452,17447.574,116796.250,463.632,5030.685,0.000,23.335
147,49.025,126298.032,121300.759,14281.225,0.000,126298.032,18695.676,116372.543,461.290,4655.472,0.000,23.217
148,49.403,125431.807,120550.893,14200.852,0.000,125431.807,20117.733,115975.724,458.944,4304.945,0.000,23.099
149,49.781,124743.019,119856.624,14120.478,0.000,124743.019,21721.375,115608.003,456.594,3980.918,0.000,22.981
150,50.159,125320.897,119233.692,14040.105,0.000,125320.897,23513.459,115274.627,454.241,3684.646,0.000,22.863
151,50.537,124929.464,118670.269,13959.732,0.000,124929.464,25497.130,114980.692,451.883,3416.820,0.000,22.744
152,50.915,124399.684,118167.392,13879.358,0.000,124399.684,27660.675,114719.605,449.522,3177.488,0.000,22.625
153,51.294,125322.109,117727.215,13798.985,0.000,125322.109,29997.718,114493.010,447.158,2966.369,0.000,22.506
154,51.672,124913.303,117354.627,13718.612,0.000,124913.303,32503.116,114306.384,444.790,2782.871,0.000,22.387
155,52.050,124384.206,117070.023,13638.238,0.000,124384.206,35170.811,114166.573,442.419,2626.138,0.000,22.268
156,52.428,124030.102,116864.609,13557.865,0.000,124030.102,37988.759,114076.395,440.045,2495.023,0.000,22.148
157,52.806,124919.367,116712.121,13477.492,0.000,124919.367,40937.852,114033.267,437.668,2388.141,0.000,22.028
158,53.184,124194.181,116629.825,13397.118,0.000,124194.181,44000.709,114037.509,435.289,2304.085,0.000,21.909
159,53.563,124499.864,116619.975,13316.745,0.000,124499.864,47162.261,114092.740,432.907,2241.489,0.000,21.789
160,53.941,124240.812,116685.010,13236.372,0.000,124240.812,50407.002,114202.720,430.522,2199.031,0.000,21.669
161,54.319,124276.554,116822.927,13155.999,0.000,124276.554,53714.777,114366.763,428.136,2175.396,0.000,21.549
162,54.697,124684.058,117025.590,13075.625,0.000,124684.058,57059.413,114578.032,425.747,2169.282,0.000,21.428
163,55.076,124307.058,117289.862,12995.252,0.000,124307.058,60419.942,114834.435,423.357,2179.645,0.000,21.308
164,55.454,123797.316,117615.151,12914.879,0.000,123797.316,63778.442,115136.187,420.964,2205.678,0.000,21.188
165,55.832,124179.897,118024.192,12834.505,0.000,124179.897,67118.389,115483.786,418.570,2246.797,0.000,21.067
166,56.210,124450.406,118497.939,12754.132,0.000,124450.406,70419.697,115872.861,416.175,2302.550,0.000,20.947
167,56.589,124117.889,118984.078,12673.759,0.000,124117.889,73656.183,116291.483,413.777,2372.574,0.000,20.826
168,56.967,124320.528,119511.167,12593.385,0.000,124320.528,76812.370,116736.715,411.379,2456.939,0.000,20.705
169,57.345,124039.702,120077.890,12513.012,0.000,124039.702,79875.862,117206.884,408.979,2556.003,0.000,20.584
170,57.724,123722.664,120684.366,12432.639,0.000,123722.664,82837.315,117701.468,406.578,2670.407,0.000,20.464
171,58.102,124087.019,121323.004,12352.265,0.000,124087.019,85681.527,118212.147,404.175,2800.878,0.000,20.343
172,58.480,123371.232,121985.947,12271.892,0.000,123371.232,88394.657,118730.081,401.772,2948.401,0.000,20.222
173,58.859,125011.096,122671.219,12191.519,0.000,125011.096,90970.359,119251.897,399.367,3114.373,0.000,20.101
174,59.237,123824.419,123379.786,12111.145,0.000,123824.419,93406.572,119776.813,396.961,3300.542,0.000,19.980
175,59.616,123980.961,124132.959,12030.772,0.000,123980.961,95703.064,120304.166,394.554,3508.962,0.000,19.858
176,59.994,124058.587,124917.639,11950.399,0.000,124058.587,97854.657,120826.790,392.145,3741.848,0.000,19.737
177,60.372,123803.697,125686.527,11870.026,0.000,123803.697,99857.476,121337.434,389.736,4001.763,0.000,19.616
178,60.751,124331.697,126471.452,11789.652,0.000,124331.697,101714.843,121834.835,387.325,4291.803,0.000,19.495
179,61.129,124136.794,127277.644,11709.279,0.000,124136.794,103433.174,122319.805,384.914,4615.542,0.000,19.373
180,61.508,124290.659,128108.742,11628.906,0.000,124290.659,105019.341,122792.808,382.501,4976.155,0.000,19.252
181,61.886,124354.375,128960.644,11548.532,0.000,124354.375,106475.778,123249.191,380.087,5374.195,0.000,19.130
182,62.264,124459.408,129828.132,11468.159,0.000,124459.408,107804.825,123683.728,377.672,5809.666,0.000,19.009
183,62.643,124965.569,130714.808,11387.786,0.000,124965.569,109015.292,124097.459,375.256,6285.134,0.000,18.887
184,63.021,125422.252,131625.536,11307.412,0.000,125422.252,110117.243,124492.517,372.839,6803.327,0.000,18.765
185,63.400,125176.349,132564.802,11227.039,0.000,125176.349,111121.288,124871.611,370.421,7366.568,0.000,18.644
186,63.778,125289.763,133516.918,11146.666,0.000,125289.763,112029.214,125228.773,368.002,7968.644,0.000,18.522
187,64.157,125893.157,134485.655,11066.292,0.000,125893.157,112847.072,125562.555,365.581,8606.125,0.000,18.400
188,64.535,125792.131,135466.776,10985.919,0.000,125792.131,113584.038,125875.018,363.160,9277.311,0.000,18.278
189,64.914,126469.996,136460.865,10905.546,0.000,126469.996,114249.846,126169.036,360.737,9979.911,0.000,18.156
190,65.292,127353.919,137466.345,10825.172,0.000,127353.919,114852.181,126446.047,358.314,10710.908,0.000,18.034
191,65.671,127221.435,138474.101,10744.799,0.000,127221.435,115391.707,126700.906,355.889,11466.337,0.000,17.912
192,66.050,128564.325,139478.411,10664.426,0.000,128564.325,115872.463,126932.350,353.463,12241.735,0.000,17.790
193,66.428,129146.435,140476.201,10584.053,0.000,129146.435,116301.137,127142.277,351.035,13032.134,0.000,17.668
194,66.807,129999.727,141464.895,10503.679,0.000,129999.727,116684.979,127333.647,348.607,13831.992,0.000,17.546
195,67.185,130928.681,142438.824,10423.306,0.000,130928.681,117028.196,127506.869,346.177,14635.235,0.000,17.424
196,67.564,131675.243,143309.319,10342.933,0.000,131675.243,117330.613,127658.466,343.745,15435.313,0.000,17.301
197,67.942,132415.404,144202.054,10262.559,0.000,132415.404,117593.964,127787.251,341.312,16225.317,0.000,17.179
198,68.321,134292.895,145080.699,10182.186,0.000,134292.895,117823.195,127895.647,338.877,16998.084,0.000,17.056
199,68.700,134316.128,145917.688,10101.813,0.000,134316.128,118023.688,127986.943,336.441,17746.298,0.000,16.934
200,69.078,136120.890,146707.155,10021.439,0.000,136120.890,118198.720,128062.635,334.003,18462.597,0.000,16.811
201,69.457,136439.452,147437.117,9941.066,0.000,136439.452,118345.086,128118.035,331.563,19139.685,0.000,16.688
202,69.836,138363.568,148100.890,9860.693,0.000,138363.568,118464.355,128153.500,329.120,19770.520,0.000,16.565
203,70.214,138974.925,148694.857,9780.319,0.000,138974.925,118560.542,128172.074,326.676,20348.445,0.000,16.442
204,70.593,140153.725,149216.928,9699.946,0.000,140153.725,118638.423,128177.814,324.229,20867.309,0.000,16.319
205,70.972,142009.518,149662.715,9619.573,0.000,142009.518,118699.814,128171.862,321.779,21321.584,0.000,16.196
206,71.350,142920.812,150002.176,9539.199,0.000,142920.812,118740.353,128149.480,319.327,21706.465,0.000,16.072
207,71.729,145359.572,150244.771,9458.826,0.000,145359.572,118762.254,128112.600,316.872,22018.057,0.000,15.949
208,72.108,146291.837,150429.540,9378.453,0.000,146291.837,118768.975,128064.522,314.414,22253.440,0.000,15.825
209,72.487,147346.220,150529.087,9298.079,0.000,147346.220,118764.618,128009.298,311.952,22410.750,0.000,15.701
210,72.865,148627.226,150542.224,9217.706,0.000,148627.226,118748.739,127946.529,309.487,22489.199,0.000,15.577
211,73.244,149040.484,150467.259,9137.333,0.000,149040.484,118719.159,127874.171,307.019,22489.139,0.000,15.453
212,73.623,151043.892,150306.986,9056.960,0.000,151043.892,118676.884,127793.473,304.547,22412.115,0.000,15.328
213,74.002,152286.944,150067.110,8976.586,0.000,152286.944,118624.632,127707.413,302.071,22260.855,0.000,15.204
214,74.380,152386.777,149754.447,8896.213,0.000,152386.777,118565.183,127619.110,299.591,22039.054,0.000,15.079
215,74.759,152842.332,149372.237,8815.840,0.000,152842.332,118497.980,127528.467,297.107,21750.051,0.000,14.954
216,75.138,153920.391,148920.766,8735.466,0.000,153920.391,118420.344,127433.313,294.619,21397.155,0.000,14.829
217,75.517,154351.797,148376.394,8655.093,0.000,154351.797,118333.128,127335.080,292.126,20985.573,0.000,14.703
218,75.896,154455.354,147811.017,8574.720,0.000,154455.354,118238.358,127236.456,289.629,20521.392,0.000,14.577
219,76.274,154537.946,147201.843,8494.346,0.000,154537.946,118137.936,127140.087,287.128,20011.164,0.000,14.452
220,76.653,153692.787,146554.521,8413.973,0.000,153692.787,118029.870,127044.858,284.622,19461.653,0.000,14.325
221,77.032,154915.541,145871.441,8333.600,0.000,154915.541,117908.864,126946.312,282.112,18879.707,0.000,14.199
222,77.411,153398.753,145160.987,8253.226,0.000,153398.753,117775.160,126845.768,279.597,18272.388,0.000,14.072
223,77.790,152701.096,144432.064,8172.853,0.000,152701.096,117629.526,126745.147,277.077,17646.685,0.000,13.946
224,78.169,152369.684,143693.929,8092.480,0.000,152369.684,117473.166,126646.928,274.553,17009.371,0.000,13.819
225,78.548,151463.728,142949.521,8012.106,0.000,151463.728,117301.153,126547.605,272.023,16366.894,0.000,13.691
226,78.927,150961.449,142201.489,7931.733,0.000,150961.449,117108.551,126443.812,269.490,15725.268,0.000,13.564
227,79.306,149482.457,141444.261,7851.360,0.000,149482.457,116894.103,126336.036,266.951,15089.985,0.000,13.436
228,79.684,149606.618,140700.227,7770.987,0.000,149606.618,116657.287,126225.727,264.409,14465.939,0.000,13.308
229,80.063,147955.380,139977.424,7690.613,0.000,147955.380,116397.249,126114.111,261.861,13857.377,0.000,13.180
230,80.442,147143.385,139269.198,7610.240,0.000,147143.385,116108.446,125998.034,259.309,13267.857,0.000,13.051
231,80.821,145727.385,138576.076,7529.867,0.000,145727.385,115785.865,125875.124,256.753,12700.235,0.000,12.923
232,81.200,144293.488,137902.135,7449.493,0.000,144293.488,115427.079,125745.872,254.191,12156.664,0.000,12.794
233,81.579,142354.687,137247.335,7369.120,0.000,142354.687,115030.346,125611.765,251.626,11638.608,0.000,12.665
234,81.958,141918.644,136614.878,7288.747,0.000,141918.644,114592.961,125473.679,249.056,11146.879,0.000,12.535
235,82.337,141019.396,136002.450,7208.373,0.000,141019.396,114108.439,125329.097,246.482,10681.680,0.000,12.406
236,82.716,140223.931,135406.578,7128.000,0.000,140223.931,113569.259,125174.894,243.904,10242.663,0.000,12.276
237,83.095,139292.002,134835.487,7047.627,0.000,139292.002,112971.314,125011.883,241.321,9828.996,0.000,12.146
238,83.474,139121.757,134316.007,6967.253,0.000,139121.757,112310.612,124841.370,238.734,9439.431,0.000,12.016
239,83.853,138400.951,133769.562,6886.880,0.000,138400.951,111583.196,124664.646,236.143,9072.387,0.000,11.885
240,84.232,137757.511,133436.650,7008.809,0.000,137757.511,110785.181,124673.312,240.489,8726.200,0.000,12.104
241,84.611,137127.911,133110.613,7130.738,0.000,137127.911,109912.791,124670.208,244.840,8398.652,0.000,12.323
242,84.991,136518.834,132790.155,7252.667,0.000,136518.834,108962.405,124656.166,249.197,8087.616,0.000,12.542
243,85.370,135493.755,132474.416,7374.596,0.000,135493.755,107930.601,124632.486,253.559,7790.931,0.000,12.762
244,85.749,134915.742,132162.294,7496.525,0.000,134915.742,106814.207,124600.200,257.927,7506.464,0.000,12.982
245,86.128,134311.916,131848.007,7618.454,0.000,134311.916,105610.349,124555.572,262.300,7232.168,0.000,13.202
