ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232
45,2.279,0.000,0.000,0.000,0.000,-8931.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,2.667,0.000,0.000,0.000,0.000,-8988.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,3.055,0.000,0.000,0.000,0.000,-9188.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,3.443,0.000,0.000,0.000,0.000,-9263.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,3.831,0.000,0.000,0.000,0.000,-9375.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,4.219,0.000,0.000,0.000,0.000,-9556.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,4.607,0.000,0.000,0.000,0.000,-9623.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,4.995,0.000,0.000,0.000,0.000,-9768.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,5.383,0.000,0.000,0.000,0.000,-9897.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,5.771,0.000,0.000,0.000,0.000,-9783.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,6.159,0.000,0.000,0.000,0.000,-9381.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,6.546,0.000,0.000,0.000,0.000,-8840.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,6.934,0.000,0.000,0.000,0.000,-7982.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,7.322,0.000,0.000,0.000,0.000,-7051.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,7.709,0.000,0.000,0.000,0.000,-6128.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,8.097,0.000,0.000,0.000,0.000,-5303.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,8.484,0.000,0.000,0.000,0.000,-4212.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,8.872,0.000,0.000,0.000,0.000,-3945.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,9.259,0.000,0.000,0.000,0.000,-3331.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,9.647,0.000,0.000,0.000,0.000,-2788.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,10.034,0.000,0.000,0.000,0.000,-2723.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,10.421,0.000,3553.276,0.000,0.000,-2510.297,0.000,3553.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,10.809,0.000,3564.233,0.000,0.000,-2411.052,0.000,3564.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,11.196,0.000,3562.057,0.000,0.000,-2454.621,0.000,3562.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,11.583,0.000,3548.439,0.000,0.000,-2501.915,0.000,3548.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,11.970,0.000,3532.267,0.000,0.000,-2287.096,0.000,3532.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71,12.357,0.000,3516.329,0.000,0.000,-2422.392,0.000,3516.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72,12.744,0.000,3491.721,0.000,0.000,-2487.695,0.000,3491.721,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73,13.131,0.000,3442.554,0.000,0.000,-2324.642,0.000,3442.554,0.000,0.000,0.000,0.000,0.000,0.000,0.000
74,13.518,0.000,3353.189,0.000,0.000,-2295.609,0.000,3353.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75,13.905,0.000,3211.002,0.000,0.000,-2427.930,0.000,3211.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000
76,14.292,0.000,3005.502,0.000,0.000,-2181.224,0.000,3005.500,0.000,0.000,0.002,0.000,0.000,0.000,0.000
77,14.679,0.000,2729.327,0.000,0.000,-2401.817,0.000,2729.319,0.000,0.000,0.008,0.000,0.000,0.000,0.000
78,15.066,0.000,2383.591,0.000,0.000,-2347.918,0.000,2383.558,0.000,0.000,0.033,0.000,0.000,0.000,0.000
79,15.453,0.000,1983.901,0.000,0.000,-1907.805,0.000,1983.763,0.000,0.000,0.138,0.000,0.000,0.000,0.000
80,15.839,0.000,1561.035,0.000,0.000,-2159.190,0.000,1560.466,0.000,0.000,0.569,0.000,0.000,0.000,0.000
81,16.226,0.000,1153.923,0.000,0.000,-2056.899,0.000,1151.650,0.000,0.000,2.273,0.000,0.000,0.000,0.000
82,16.613,0.000,798.300,0.000,0.000,-2223.193,0.000,789.560,0.000,0.000,8.740,0.000,0.000,0.000,0.000
83,16.999,0.000,517.219,0.000,0.000,-2058.834,0.000,485.927,0.000,0.000,31.292,0.000,0.000,0.000,0.000
84,17.386,0.000,317.830,0.000,0.000,-2085.201,0.000,228.874,0.000,0.000,88.956,0.000,0.000,0.000,0.000
85,17.772,0.000,194.703,0.000,0.000,-2172.321,0.000,56.686,0.000,0.000,138.017,0.000,0.000,0.000,0.000
86,18.159,0.000,136.742,0.000,0.000,-1922.923,0.000,8.121,0.000,0.000,128.621,0.000,0.000,0.000,0.000
87,18.545,0.000,134.042,0.000,0.000,-1798.196,0.000,1.241,0.000,0.000,132.801,0.000,0.000,0.000,0.000
88,18.931,0.000,182.323,0.000,0.000,-1798.212,0.000,0.242,0.000,0.000,182.080,0.000,0.000,0.000,0.000
89,19.318,0.000,284.305,0.000,0.000,-1885.015,0.000,0.052,0.000,0.000,284.253,0.000,0.000,0.000,0.000
90,19.704,0.000,448.535,0.000,0.000,-1909.384,0.000,0.011,0.000,0.000,448.524,0.000,0.000,0.000,0.000
91,20.090,0.000,686.539,0.000,0.000,-1824.263,0.000,0.002,0.000,0.000,686.537,0.000,0.000,0.000,0.000
92,20.477,0.000,1009.152,0.000,0.000,-1953.322,0.000,0.000,0.000,0.000,1009.152,0.000,0.000,0.000,0.000
93,20.863,0.000,1422.786,0.000,0.000,-1932.204,0.000,0.000,0.000,0.000,1422.785,0.000,0.000,0.000,0.000
94,21.249,0.000,1926.415,0.000,0.000,-1644.467,0.000,0.000,0.000,0.000,1926.415,0.000,0.000,0.000,0.000
95,21.635,0.000,2509.971,0.000,0.000,-1552.693,0.000,0.000,0.000,0.000,2509.971,0.000,0.000,0.000,0.000
96,22.021,0.000,3154.543,0.000,0.000,-1501.456,0.000,0.000,0.000,0.000,3154.543,0.000,0.000,0.000,0.000
97,22.407,0.000,3834.293,0.000,0.000,-1753.683,0.000,0.000,0.000,0.000,3834.293,0.000,0.000,0.000,0.000
98,22.793,0.000,4519.468,0.000,0.000,-1416.211,0.000,0.000,0.000,0.000,4519.468,0.000,0.000,0.000,0.000
99,23.179,0.000,5179.658,0.000,0.000,-1227.449,0.000,0.000,0.000,0.000,5179.658,0.000,0.000,0.000,0.000
100,23.565,0.000,5786.541,0.000,0.000,-1316.770,0.000,0.000,0.000,0.000,5786.541,0.000,0.000,0.000,0.000
101,23.951,0.000,6315.817,0.000,0.000,-1261.371,0.000,0.000,0.000,0.000,6315.817,0.000,0.000,0.000,0.000
102,24.336,0.000,6748.474,0.000,0.000,-1091.989,0.000,0.000,0.000,0.000,6748.474,0.000,0.000,0.000,0.000
103,24.722,0.000,7071.722,0.000,0.000,-1319.570,0.000,0.000,0.000,0.000,7071.722,0.000,0.000,0.000,0.000
104,25.108,0.000,7279.781,0.000,0.000,-1158.756,0.000,0.000,0.000,0.000,7279.781,0.000,0.000,0.000,0.000
105,25.494,0.000,7374.388,0.000,0.000,-1080.561,0.000,0.000,0.000,0.000,7374.388,0.000,0.000,0.000,0.000
106,25.879,0.000,7364.636,0.000,0.000,-1312.719,0.000,0.000,0.000,0.000,7364.635,0.000,0.000,0.000,0.000
107,26.265,0.000,7265.849,0.000,0.000,-1113.398,0.000,0.001,0.000,0.000,7265.847,0.000,0.000,0.000,0.000
108,26.650,0.000,7097.527,0.000,0.000,-1041.805,0.000,0.003,0.000,0.000,7097.524,0.000,0.000,0.000,0.000
109,27.036,0.000,6880.774,0.000,0.000,-1017.438,0.000,0.007,0.000,0.000,6880.767,0.000,0.000,0.000,0.000
110,27.421,0.000,6635.810,0.000,0.000,-1008.363,0.000,0.018,0.000,0.000,6635.792,0.000,0.000,0.000,0.000
111,27.807,0.000,6380.105,0.000,0.000,-991.555,0.000,0.041,0.000,0.000,6380.064,0.000,0.000,0.000,0.000
112,28.192,0.000,6127.346,0.000,0.000,-1049.298,0.000,0.093,0.000,0.000,6127.253,0.000,0.000,0.000,0.000
113,28.578,0.000,5887.181,0.000,0.000,-939.075,0.000,0.204,0.000,0.000,5886.977,0.000,0.000,0.000,0.000
114,28.963,0.000,5665.492,0.000,0.000,-1145.481,0.000,0.432,0.000,0.000,5665.060,0.000,0.000,0.000,0.000
115,29.348,0.000,5464.961,0.000,0.000,-906.309,0.000,0.890,0.000,0.000,5464.071,0.000,0.000,0.000,0.000
116,29.733,0.000,5285.747,0.000,0.000,-829.526,0.000,1.778,0.000,0.000,5283.970,0.000,0.000,0.000,0.000
117,30.119,0.000,5126.224,0.000,0.000,-816.603,0.000,3.443,0.000,0.000,5122.782,0.000,0.000,0.000,0.000
118,30.504,0.000,4983.716,0.000,0.000,-476.254,0.000,6.465,0.000,0.000,4977.251,0.000,0.000,0.000,0.000
119,30.889,0.000,4855.199,0.000,0.000,-294.216,0.000,11.776,0.000,0.000,4843.423,0.000,0.000,0.000,0.000
120,31.274,0.000,4737.903,0.000,0.000,-275.857,0.000,20.823,0.000,0.000,4717.080,0.000,0.000,0.000,0.000
121,31.659,3.034,4629.740,0.000,0.000,3.034,0.000,35.771,0.000,0.000,4593.968,0.000,0.000,0.000,0.000
122,32.044,67.807,4529.517,0.000,0.000,67.807,0.000,59.749,0.000,0.000,4469.768,0.000,0.000,0.000,0.000
123,32.429,216.696,4436.952,0.000,0.000,216.696,0.000,97.098,0.000,0.000,4339.854,0.000,0.000,0.000,0.000
124,32.814,301.674,4352.504,0.000,0.000,301.674,0.000,153.553,0.000,0.000,4198.951,0.000,0.000,0.000,0.000
125,33.199,848.303,4277.107,0.000,0.000,848.303,0.000,236.184,0.000,0.000,4040.922,0.000,0.000,0.000,0.000
126,33.584,893.053,4211.867,0.000,0.000,893.053,0.000,352.873,0.000,0.000,3858.994,0.000,0.000,0.000,0.000
127,33.968,1267.492,4357.177,199.387,0.000,1267.492,0.000,593.177,56.690,47.089,3655.826,3.669,0.598,0.089,0.037
128,34.353,1352.872,4514.349,398.774,0.000,1352.872,0.000,879.803,113.418,94.209,3418.127,7.340,1.197,0.178,0.074
129,34.738,1740.499,4683.659,598.161,0.000,1740.499,0.000,1212.457,170.182,141.359,3146.469,11.013,1.795,0.268,0.111
130,35.122,1706.873,4864.929,797.548,0.000,1706.873,0.000,1583.944,226.983,188.540,2847.868,14.689,2.395,0.357,0.149
131,35.507,1934.788,5057.554,996.935,0.000,1934.788,0.000,1980.453,283.820,235.751,2535.529,18.367,2.994,0.446,0.186
132,35.892,2416.148,5260.572,1196.322,0.000,2416.148,0.000,2384.369,340.694,282.992,2226.107,22.048,3.594,0.536,0.224
133,36.276,2534.454,5472.765,1395.709,0.000,2534.454,0.000,2778.496,397.604,330.264,1935.578,25.731,4.195,0.625,0.263
134,36.661,3005.093,5692.739,1595.096,0.000,3005.093,0.000,3149.639,454.551,377.566,1675.743,29.416,4.795,0.715,0.302
135,37.045,3264.332,5919.017,1794.484,0.000,3264.332,0.000,3490.163,511.537,424.900,1452.758,33.104,5.397,0.804,0.342
136,37.430,3502.437,6150.089,1993.871,0.000,3502.437,0.000,3797.537,568.560,472.266,1267.641,36.794,5.998,0.894,0.384
137,37.814,3619.769,6384.455,2193.258,0.000,3619.769,0.000,4072.805,625.622,519.663,1117.850,40.487,6.600,0.983,0.427
138,38.198,3743.749,6620.636,2392.645,0.000,3743.749,0.000,4318.916,682.724,567.094,998.953,44.182,7.203,1.073,0.474
139,38.583,3821.573,6857.172,2592.032,0.000,3821.573,0.000,4539.456,739.867,614.558,905.900,47.880,7.805,1.163,0.523
140,38.967,3818.557,7092.603,2791.419,0.000,3818.557,0.000,4737.866,797.050,662.056,833.791,51.580,8.409,1.253,0.578
141,39.351,4057.047,7325.470,2990.806,0.000,4057.047,0.000,4917.073,854.275,709.589,778.234,55.284,9.012,1.343,0.638
142,39.736,3952.096,7554.317,3190.193,0.000,3952.096,0.000,5079.392,911.542,757.155,735.458,58.990,9.617,1.433,0.707
143,40.120,3799.846,7777.723,3389.580,0.000,3799.846,0.000,5226.578,968.852,804.757,702.283,62.698,10.221,1.523,0.787
144,40.504,3551.352,7994.367,3588.967,0.000,3551.352,0.000,5359.960,1026.206,852.393,676.052,66.410,10.826,1.613,0.880
145,40.888,3630.415,8203.104,3788.354,0.000,3630.415,0.000,5480.606,1083.606,900.064,654.551,70.124,11.432,1.703,0.991
146,41.272,3310.747,8403.065,3987.741,0.000,3310.747,0.000,5589.472,1141.055,947.770,635.947,73.840,12.038,1.794,1.121
147,41.656,3142.010,8593.747,4187.128,0.000,3142.010,0.000,5687.535,1198.558,995.510,618.752,77.559,12.644,1.884,1.275
148,42.040,2946.720,8775.093,4386.515,0.000,2946.720,0.000,5775.883,1256.123,1043.285,601.809,81.281,13.251,1.974,1.455
149,42.424,3332.288,8947.532,4585.902,0.000,3332.288,0.000,5855.753,1313.765,1091.094,584.292,85.006,13.858,2.065,1.665
150,42.808,2795.902,9111.982,4785.289,0.000,2795.902,0.000,5928.538,1371.508,1138.940,565.703,88.732,14.465,2.155,1.906
151,43.192,2942.995,9269.816,4984.676,0.000,2942.995,0.000,5995.746,1429.388,1186.824,545.862,92.461,15.073,2.246,2.180
152,43.575,3026.753,9422.771,5184.064,0.000,3026.753,0.000,6058.940,1487.463,1234.752,524.883,96.193,15.681,2.337,2.485
153,43.959,3083.368,9572.841,5383.451,0.000,3083.368,0.000,6119.663,1545.819,1282.732,503.122,99.926,16.290,2.427,2.821
154,44.343,3140.461,9722.138,5582.838,0.000,3140.461,0.000,6179.350,1604.583,1330.781,481.120,103.662,16.899,2.518,3.185
155,44.727,3318.973,9872.758,5782.225,0.000,3318.973,0.000,6239.245,1663.935,1378.921,459.524,107.400,17.508,2.609,3.574
156,45.110,3728.918,10026.642,5981.612,0.000,3728.918,0.000,6300.319,1724.124,1427.192,439.020,111.140,18.118,2.700,3.985
157,45.494,3680.176,10185.471,6180.999,0.000,3680.176,0.000,6363.201,1785.489,1475.648,420.271,114.882,18.728,2.791,4.415
158,45.878,3947.133,10350.584,6380.386,0.000,3947.133,0.000,6428.114,1848.479,1524.375,403.864,118.626,19.338,2.882,4.859
159,46.261,4450.820,10522.929,6579.773,0.000,4450.820,0.000,6494.838,1913.660,1573.491,390.284,122.372,19.949,2.973,5.312
160,46.645,4490.548,10703.056,6779.160,0.000,4490.548,0.000,6562.695,1981.735,1623.163,379.894,126.121,20.560,3.064,5.772
161,47.028,5143.988,10891.135,6978.547,0.000,5143.988,0.000,6630.567,2053.530,1673.616,372.937,129.873,21.171,3.155,6.234
162,47.412,5496.743,11087.009,7177.934,0.000,5496.743,0.000,6696.952,2129.972,1725.142,369.539,133.629,21.783,3.246,6.692
163,47.795,5880.886,11290.250,7377.321,0.000,5880.886,0.000,6760.063,2212.035,1778.111,369.718,137.389,22.395,3.337,7.145
164,48.178,6192.559,11500.239,7576.708,0.000,6192.559,0.000,6817.973,2300.659,1832.969,373.402,141.154,23.008,3.428,7.587
165,48.562,6437.436,11716.230,7776.095,0.000,6437.436,0.000,6868.786,2396.639,1890.229,380.430,144.927,23.621,3.520,8.018
166,48.945,7298.560,11937.413,7975.482,0.000,7298.560,0.000,6910.842,2500.498,1950.450,390.568,148.710,24.234,3.611,8.438
167,49.328,7741.641,12162.959,8174.869,0.000,7741.641,0.000,6942.909,2612.367,2014.201,403.509,152.505,24.848,3.703,8.852
168,49.711,7851.541,12392.052,8374.256,0.000,7851.541,0.000,6964.347,2731.892,2082.019,418.883,156.319,25.462,3.794,9.266
169,50.094,8457.990,12623.904,8573.644,0.000,8457.990,0.000,6975.197,2858.192,2154.359,436.270,160.155,26.077,3.886,9.695
170,50.478,8715.738,12857.762,8773.031,0.000,8715.738,0.000,6976.195,2989.889,2231.543,455.209,164.022,26.693,3.977,10.158
171,50.861,9332.608,13092.903,8972.418,0.000,9332.608,0.000,6968.682,3125.205,2313.731,475.221,167.927,27.309,4.069,10.679
172,51.244,9926.805,13328.635,9171.805,0.000,9926.805,0.000,6954.450,3262.117,2400.895,495.832,171.882,27.926,4.161,11.289
173,51.627,10303.127,13564.292,9371.192,0.000,10303.127,0.000,6935.546,3398.530,2492.816,516.597,175.899,28.545,4.253,12.021
174,52.010,10743.895,13799.239,9570.579,0.000,10743.895,0.000,6914.069,3532.447,2589.102,537.118,179.991,29.164,4.345,12.913
175,52.393,11299.714,14032.885,9769.966,0.000,11299.714,0.000,6892.007,3662.114,2689.208,557.060,184.174,29.786,4.437,14.006
176,52.776,11436.225,14264.695,9969.353,0.000,11436.225,0.000,6871.115,3786.116,2792.466,576.158,188.466,30.410,4.529,15.339
177,53.159,11932.590,14494.216,10168.740,0.000,11932.590,0.000,6852.853,3903.422,2898.123,594.223,192.886,31.037,4.621,16.951
178,53.541,12568.731,14721.091,10368.127,0.000,12568.731,0.000,6838.366,4013.400,3005.374,611.137,197.453,31.669,4.713,18.877
179,53.924,12740.275,14945.079,10567.514,0.000,12740.275,0.000,6828.503,4115.792,3113.388,626.846,202.188,32.306,4.806,21.146
180,54.307,12955.323,15166.059,10766.901,0.000,12955.323,0.000,6823.851,4210.666,3221.346,641.351,207.111,32.950,4.898,23.780
181,54.690,13469.191,15384.036,10966.288,0.000,13469.191,0.000,6824.779,4298.362,3328.463,654.699,212.240,33.604,4.990,26.789
182,55.072,13892.829,15599.125,11165.675,0.000,13892.829,0.000,6831.477,4379.429,3434.020,666.973,217.593,34.271,5.083,30.167
183,55.455,14537.975,15811.537,11365.062,0.000,14537.975,0.000,6843.991,4454.565,3537.382,678.280,223.182,34.955,5.176,33.894
184,55.838,14705.541,16021.553,11564.449,0.000,14705.541,0.000,6862.249,4524.555,3638.021,688.744,229.015,35.659,5.268,37.927
185,56.220,14612.969,16229.504,11763.836,0.000,14612.969,0.000,6886.087,4590.220,3735.535,698.496,235.093,36.391,5.361,42.204
186,56.603,15237.036,16435.748,11963.223,0.000,15237.036,0.000,6915.264,4652.377,3829.663,707.667,241.412,37.156,5.454,46.637
187,56.985,15844.496,16640.660,12162.611,0.000,15844.496,0.000,6949.475,4711.805,3920.295,716.382,247.955,37.963,5.547,51.117
188,57.368,15949.013,16844.628,12361.998,0.000,15949.013,0.000,6988.372,4769.220,4007.481,724.760,254.700,38.820,5.640,55.516
189,57.750,16648.771,17048.073,12561.385,0.000,16648.771,0.000,7031.572,4825.265,4091.440,732.905,261.612,39.737,5.733,59.687
190,58.132,16327.654,17289.449,12798.759,0.000,16327.654,0.000,7094.073,4891.474,4181.690,742.558,269.364,40.841,5.843,63.480
191,58.515,17093.359,17531.324,13036.133,0.000,17093.359,0.000,7160.088,4957.375,4269.675,752.152,277.193,42.026,5.954,66.735
192,58.897,17809.720,17774.383,13273.507,0.000,17809.720,0.000,7229.240,5023.398,4356.148,761.752,285.045,43.305,6.064,69.303
193,59.279,18337.189,18019.479,13510.881,0.000,18337.189,0.000,7301.187,5089.920,4442.048,771.415,292.863,44.686,6.175,71.055
194,59.662,18401.833,18267.682,13748.256,0.000,18401.833,0.000,7375.629,5157.284,4528.504,781.188,300.590,46.178,6.286,71.893
195,60.044,19061.670,18520.315,13985.630,0.000,19061.670,0.000,7452.320,5225.803,4616.838,791.108,308.175,47.790,6.397,71.753
196,60.426,19463.773,18778.977,14223.004,0.000,19463.773,0.000,7531.065,5295.777,4708.572,801.206,315.573,49.524,6.508,70.618
197,60.808,20064.542,19045.560,14460.378,0.000,20064.542,0.000,7611.723,5367.498,4805.430,811.508,322.748,51.384,6.619,68.515
198,61.190,20286.434,19322.246,14697.752,0.000,20286.434,0.000,7694.201,5441.249,4909.337,822.034,329.676,53.365,6.730,65.516
199,61.572,21173.784,19611.487,14935.127,0.000,21173.784,0.000,7778.442,5517.307,5022.415,832.797,336.347,55.463,6.841,61.736
200,61.954,21587.872,19915.969,15172.501,0.000,21587.872,0.000,7864.417,5595.933,5146.970,843.807,342.761,57.669,6.952,57.319
201,62.336,22886.481,20238.552,15409.875,0.000,22886.481,0.000,7952.114,5677.364,5285.470,855.067,348.930,59.968,7.064,52.433
202,62.718,23549.834,20582.195,15647.249,0.000,23549.834,0.000,8041.525,5761.796,5440.503,866.575,354.875,62.345,7.176,47.255
203,63.100,24534.242,20949.862,15884.623,0.000,24534.242,0.000,8132.640,5849.373,5614.724,878.320,360.625,64.783,7.287,41.962
204,63.482,25568.764,21344.410,16121.997,0.000,25568.764,0.000,8225.439,5940.161,5810.782,890.285,366.215,67.262,7.399,36.718
205,63.864,26729.606,21768.461,16359.372,0.000,26729.606,0.000,8319.885,6034.140,6031.222,902.444,371.678,69.763,7.511,31.667
206,64.246,28017.618,22224.269,16596.746,0.000,28017.618,0.000,8415.926,6131.179,6278.380,914.760,377.051,72.268,7.624,26.928
207,64.627,29195.839,22713.579,16834.120,0.000,29195.839,0.000,8513.495,6231.028,6554.256,927.192,382.367,74.762,7.736,22.587
