ch,keV,net,model,continuum_raw,untied_tail,fit,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,continuum
45,2.279,0.000,0.000,0.000,0.000,-8931.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,2.667,0.000,0.000,0.000,0.000,-8988.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,3.055,0.000,0.000,0.000,0.000,-9188.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,3.443,0.000,0.000,0.000,0.000,-9263.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,3.831,0.000,0.000,0.000,0.000,-9375.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,4.219,0.000,0.000,0.000,0.000,-9556.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,4.607,0.000,0.000,0.000,0.000,-9623.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,4.995,0.000,0.000,0.000,0.000,-9768.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,5.383,0.000,0.000,0.000,0.000,-9897.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,5.771,0.000,0.000,0.000,0.000,-9783.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,6.159,0.000,0.000,0.000,0.000,-9381.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,6.546,0.000,0.000,0.000,0.000,-8840.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,6.934,0.000,0.000,0.000,0.000,-7982.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,7.322,0.000,0.000,0.000,0.000,-7051.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,7.709,0.000,0.000,0.000,0.000,-6128.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,8.097,0.000,0.000,0.000,0.000,-5303.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,8.484,0.000,0.000,0.000,0.000,-4212.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,8.872,0.000,0.000,0.000,0.000,-3945.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,9.259,0.000,0.000,0.000,0.000,-3331.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,9.647,0.000,0.000,0.000,0.000,-2788.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,10.034,0.000,0.000,0.000,0.000,-2723.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,10.421,0.000,0.000,0.000,0.000,-2510.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,10.809,0.000,0.000,0.000,0.000,-2411.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,11.196,0.000,0.000,0.000,0.000,-2454.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,11.583,0.000,0.000,0.000,0.000,-2501.915,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,11.970,0.000,0.000,0.000,0.000,-2287.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71,12.357,0.000,0.000,0.000,0.000,-2422.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72,12.744,0.000,0.000,0.000,0.000,-2487.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73,13.131,0.000,0.000,0.000,0.000,-2324.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
74,13.518,0.000,0.001,0.000,0.000,-2295.609,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
75,13.905,0.000,0.002,0.000,0.000,-2427.930,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
76,14.292,0.000,0.007,0.000,0.000,-2181.224,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000
77,14.679,0.000,0.021,0.000,0.000,-2401.817,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000
78,15.066,0.000,0.061,0.000,0.000,-2347.918,0.000,0.000,0.000,0.061,0.000,0.000,0.000,0.000,0.000
79,15.453,0.000,0.168,0.000,0.000,-1907.805,0.000,0.000,0.000,0.168,0.000,0.000,0.000,0.000,0.000
80,15.839,0.000,0.442,0.000,0.000,-2159.190,0.000,0.000,0.000,0.442,0.000,0.000,0.000,0.000,0.000
81,16.226,0.000,1.106,0.000,0.000,-2056.899,0.000,0.000,0.000,1.106,0.000,0.000,0.000,0.000,0.000
82,16.613,0.000,2.629,0.000,0.000,-2223.193,0.000,0.000,0.000,2.629,0.000,0.000,0.000,0.000,0.000
83,16.999,0.000,5.947,0.000,0.000,-2058.834,0.000,0.000,0.000,5.947,0.000,0.000,0.000,0.000,0.000
84,17.386,0.000,12.793,0.000,0.000,-2085.201,0.000,0.000,0.000,12.793,0.000,0.000,0.000,0.000,0.000
85,17.772,0.000,26.183,0.000,0.000,-2172.321,0.000,0.000,0.000,26.183,0.000,0.000,0.000,0.000,0.000
86,18.159,0.000,51.009,0.000,0.000,-1922.923,0.000,0.000,0.000,51.009,0.000,0.000,0.000,0.000,0.000
87,18.545,0.000,94.631,0.000,0.000,-1798.196,0.000,0.000,0.000,94.631,0.000,0.000,0.000,0.000,0.000
88,18.931,0.000,167.281,0.000,0.000,-1798.212,0.000,0.000,0.000,167.281,0.000,0.000,0.000,0.000,0.000
89,19.318,0.000,281.972,0.000,0.000,-1885.015,0.000,0.000,0.000,281.972,0.000,0.000,0.000,0.000,0.000
90,19.704,0.000,453.634,0.000,0.000,-1909.384,0.000,0.000,0.000,453.634,0.000,0.000,0.000,0.000,0.000
91,20.090,0.000,697.322,0.000,0.000,-1824.263,0.000,0.000,0.000,697.322,0.000,0.000,0.000,0.000,0.000
92,20.477,0.000,1025.600,0.000,0.000,-1953.322,0.000,0.000,0.000,1025.600,0.000,0.000,0.000,0.000,0.000
93,20.863,0.000,1445.583,0.000,0.000,-1932.204,0.000,0.000,0.000,1445.583,0.000,0.000,0.000,0.000,0.000
94,21.249,0.000,1956.390,0.000,0.000,-1644.467,0.000,0.000,0.000,1956.390,0.000,0.000,0.000,0.000,0.000
95,21.635,0.000,2547.783,0.000,0.000,-1552.693,0.000,0.000,0.000,2547.783,0.000,0.000,0.000,0.000,0.000
96,22.021,0.000,3200.517,0.000,0.000,-1501.456,0.000,0.000,0.000,3200.517,0.000,0.000,0.000,0.000,0.000
97,22.407,0.000,3888.349,0.000,0.000,-1753.683,0.000,0.000,0.000,3888.349,0.000,0.000,0.000,0.000,0.000
98,22.793,0.000,4581.125,0.000,0.000,-1416.211,0.000,0.000,0.000,4581.125,0.000,0.000,0.000,0.000,0.000
99,23.179,0.000,5248.082,0.000,0.000,-1227.449,0.000,0.000,0.000,5248.082,0.000,0.000,0.000,0.000,0.000
100,23.565,0.000,5860.632,0.000,0.000,-1316.770,0.000,0.000,0.000,5860.632,0.000,0.000,0.000,0.000,0.000
101,23.951,0.000,6394.308,0.000,0.000,-1261.371,0.000,0.000,0.000,6394.308,0.000,0.000,0.000,0.000,0.000
102,24.336,0.000,6830.029,0.000,0.000,-1091.989,0.000,0.000,0.000,6830.029,0.000,0.000,0.000,0.000,0.000
103,24.722,0.000,7155.035,0.000,0.000,-1319.570,0.000,0.000,0.000,7155.035,0.000,0.000,0.000,0.000,0.000
104,25.108,0.000,7363.665,0.000,0.000,-1158.756,0.000,0.000,0.000,7363.665,0.000,0.000,0.000,0.000,0.000
105,25.494,0.000,7457.848,0.000,0.000,-1080.561,0.000,0.000,0.000,7457.848,0.000,0.000,0.000,0.000,0.000
106,25.879,0.000,7446.922,0.000,0.000,-1312.719,0.000,0.000,0.000,7446.922,0.000,0.000,0.000,0.000,0.000
107,26.265,0.000,7346.469,0.000,0.000,-1113.398,0.001,0.000,0.000,7346.468,0.000,0.000,0.000,0.000,0.000
108,26.650,0.000,7176.223,0.000,0.000,-1041.805,0.003,0.000,0.000,7176.220,0.000,0.000,0.000,0.000,0.000
109,27.036,0.000,6957.456,0.000,0.000,-1017.438,0.008,0.000,0.000,6957.448,0.000,0.000,0.000,0.000,0.000
110,27.421,0.000,6710.480,0.000,0.000,-1008.363,0.018,0.000,0.000,6710.462,0.000,0.000,0.000,0.000,0.000
111,27.807,0.000,6452.772,0.000,0.000,-991.555,0.042,0.000,0.000,6452.730,0.000,0.000,0.000,0.000,0.000
112,28.192,0.000,6197.965,0.000,0.000,-1049.298,0.095,0.000,0.000,6197.870,0.000,0.000,0.000,0.000,0.000
113,28.578,0.000,5955.629,0.000,0.000,-939.075,0.208,0.000,0.000,5955.421,0.000,0.000,0.000,0.000,0.000
114,28.963,0.000,5731.589,0.000,0.000,-1145.481,0.441,0.000,0.000,5731.148,0.000,0.000,0.000,0.000,0.000
115,29.348,0.000,5528.525,0.000,0.000,-906.309,0.908,0.000,0.000,5527.617,0.000,0.000,0.000,0.000,0.000
116,29.733,0.000,5346.671,0.000,0.000,-829.526,1.813,0.000,0.000,5344.858,0.000,0.000,0.000,0.000,0.000
117,30.119,0.000,5184.544,0.000,0.000,-816.603,3.510,0.000,0.000,5181.034,0.000,0.000,0.000,0.000,0.000
118,30.504,0.000,5039.647,0.000,0.000,-476.254,6.589,0.000,0.000,5033.058,0.000,0.000,0.000,0.000,0.000
119,30.889,0.000,4909.129,0.000,0.000,-294.216,11.998,0.000,0.000,4897.131,0.000,0.000,0.000,0.000,0.000
120,31.274,0.000,4790.333,0.000,0.000,-275.857,21.206,0.000,0.000,4769.127,0.000,0.000,0.000,0.000,0.000
121,31.659,3.034,4681.193,0.000,0.000,3.034,36.414,0.000,0.000,4644.778,0.000,0.000,0.000,0.000,0.000
122,32.044,67.807,4580.446,0.000,0.000,67.807,60.801,0.000,0.000,4519.645,0.000,0.000,0.000,0.000,0.000
123,32.429,216.696,4487.658,0.000,0.000,216.696,98.775,0.000,0.000,4388.883,0.000,0.000,0.000,0.000,0.000
124,32.814,301.674,4403.106,0.000,0.000,301.674,156.160,0.000,0.000,4246.946,0.000,0.000,0.000,0.000,0.000
125,33.199,848.303,4327.549,0.000,0.000,848.303,240.131,0.000,0.000,4087.418,0.000,0.000,0.000,0.000,0.000
126,33.584,893.053,4261.974,0.000,0.000,893.053,358.674,0.000,0.000,3903.300,0.000,0.000,0.000,0.000,0.000
127,33.968,1267.492,4405.944,198.604,0.000,1267.492,519.272,0.000,0.000,3688.068,0.000,0.000,0.000,0.000,198.604
128,34.353,1352.872,4561.588,397.208,0.000,1352.872,726.751,0.000,0.000,3437.629,0.000,0.000,0.000,0.000,397.208
129,34.738,1740.499,4729.275,595.812,0.000,1740.499,980.726,0.000,0.000,3152.737,0.000,0.000,0.000,0.000,595.812
130,35.122,1706.873,4908.946,794.416,0.000,1706.873,1273.808,0.000,0.000,2840.722,0.000,0.000,0.000,0.001,794.416
131,35.507,1934.788,5100.115,993.020,0.000,1934.788,1591.931,0.000,0.000,2515.164,0.000,0.000,0.000,0.002,993.020
132,35.892,2416.148,5301.913,1191.624,0.000,2416.148,1917.251,0.000,0.000,2193.037,0.000,0.000,0.000,0.002,1191.624
133,36.276,2534.454,5513.168,1390.227,0.000,2534.454,2232.434,0.000,0.000,1890.502,0.000,0.000,0.000,0.004,1390.227
134,36.661,3005.093,5732.489,1588.831,0.000,3005.093,2524.258,0.000,0.000,1619.394,0.000,0.000,0.000,0.006,1588.831
135,37.045,3264.332,5958.364,1787.435,0.000,3264.332,2785.134,0.000,0.000,1385.786,0.000,0.000,0.000,0.009,1787.435
136,37.430,3502.437,6189.222,1986.039,0.000,3502.437,3012.601,0.000,0.000,1190.568,0.000,0.000,0.000,0.014,1986.039
137,37.814,3619.769,6423.491,2184.643,0.000,3619.769,3207.763,0.000,0.000,1031.065,0.000,0.000,0.000,0.020,2184.643
138,38.198,3743.749,6659.622,2383.247,0.000,3743.749,3373.613,0.000,0.000,902.733,0.000,0.000,0.000,0.029,2383.247
139,38.583,3821.573,6896.090,2581.851,0.000,3821.573,3513.755,0.000,0.000,800.442,0.000,0.000,0.000,0.042,2581.851
140,38.967,3818.557,7131.389,2780.455,0.000,3818.557,3631.642,0.001,0.000,719.232,0.000,0.000,0.000,0.059,2780.455
141,39.351,4057.047,7364.025,2979.059,0.000,4057.047,3730.208,0.002,0.000,654.673,0.000,0.000,0.000,0.083,2979.059
142,39.736,3952.096,7592.517,3177.663,0.000,3952.096,3811.774,0.003,0.000,602.962,0.000,0.000,0.000,0.115,3177.663
143,40.120,3799.846,7815.438,3376.267,0.000,3799.846,3878.106,0.006,0.000,560.901,0.000,0.000,0.000,0.159,3376.267
144,40.504,3551.352,8031.461,3574.871,0.000,3551.352,3930.549,0.011,0.001,525.814,0.000,0.000,0.000,0.216,3574.871
145,40.888,3630.415,8239.445,3773.474,0.000,3630.415,3970.186,0.021,0.001,495.473,0.000,0.000,0.000,0.289,3773.474
146,41.272,3310.747,8438.528,3972.078,0.000,3310.747,3997.992,0.039,0.002,468.033,0.000,0.000,0.000,0.384,3972.078
147,41.656,3142.010,8628.219,4170.682,0.000,3142.010,4014.964,0.070,0.004,441.998,0.000,0.000,0.000,0.502,4170.682
148,42.040,2946.720,8808.472,4369.286,0.000,2946.720,4022.204,0.124,0.007,416.202,0.000,0.000,0.000,0.647,4369.286
149,42.424,3332.288,8979.728,4567.890,0.000,3332.288,4020.969,0.218,0.014,389.815,0.000,0.000,0.000,0.823,4567.890
150,42.808,2795.902,9142.923,4766.494,0.000,2795.902,4012.662,0.376,0.025,362.337,0.000,0.000,0.000,1.030,4766.494
151,43.192,2942.995,9299.443,4965.098,0.000,2942.995,3998.806,0.637,0.045,333.588,0.000,0.000,0.000,1.269,4965.098
152,43.575,3026.753,9451.044,5163.702,0.000,3026.753,3980.976,1.061,0.081,303.685,0.000,0.000,0.000,1.541,5163.702
153,43.959,3083.368,9599.741,5362.306,0.000,3083.368,3960.723,1.737,0.141,272.990,0.000,0.000,0.000,1.843,5362.306
154,44.343,3140.461,9747.666,5560.910,0.000,3140.461,3939.496,2.794,0.243,242.048,0.000,0.000,0.000,2.175,5560.910
155,44.727,3318.973,9896.938,5759.514,0.000,3318.973,3918.547,4.417,0.412,211.516,0.000,0.000,0.000,2.532,5759.514
156,45.110,3728.918,10049.520,5958.118,0.000,3728.918,3898.858,6.859,0.687,182.086,0.000,0.000,0.000,2.912,5958.118
157,45.494,3680.176,10207.114,6156.721,0.000,3680.176,3881.065,10.467,1.124,154.425,0.000,0.000,0.000,3.310,6156.721
158,45.878,3947.133,10371.075,6355.325,0.000,3947.133,3865.392,15.694,1.811,129.129,0.001,0.000,0.000,3.723,6355.325
159,46.261,4450.820,10542.364,6553.929,0.000,4450.820,3851.618,23.118,2.866,106.684,0.001,0.000,0.000,4.146,6553.929
160,46.645,4490.548,10721.539,6752.533,0.000,4490.548,3839.057,33.451,4.460,87.459,0.003,0.000,0.000,4.576,6752.533
161,47.028,5143.988,10908.774,6951.137,0.000,5143.988,3826.575,47.531,6.820,71.697,0.005,0.000,0.000,5.007,6951.137
162,47.412,5496.743,11103.905,7149.741,0.000,5496.743,3812.649,66.300,10.243,59.525,0.008,0.000,0.000,5.437,7149.741
163,47.795,5880.886,11306.500,7348.345,0.000,5880.886,3795.466,90.746,15.104,50.963,0.013,0.000,0.000,5.860,7348.345
164,48.178,6192.559,11515.927,7546.949,0.000,6192.559,3773.067,121.822,21.855,45.936,0.022,0.000,0.000,6.273,7546.949
165,48.562,6437.436,11731.429,7745.553,0.000,6437.436,3743.529,160.332,31.016,44.284,0.035,0.000,0.000,6.675,7745.553
166,48.945,7298.560,11952.181,7944.157,0.000,7298.560,3705.165,206.809,43.154,45.768,0.056,0.000,0.000,7.067,7944.157
167,49.328,7741.641,12177.339,8142.761,0.000,7741.641,3656.722,261.384,58.846,50.079,0.088,0.000,0.000,7.453,8142.761
168,49.711,7851.541,12406.075,8341.365,0.000,7851.541,3597.548,323.698,78.636,56.846,0.134,0.000,0.000,7.840,8341.365
169,50.094,8457.990,12637.590,8539.968,0.000,8457.990,3527.682,392.859,102.985,65.642,0.201,0.001,0.000,8.242,8539.968
170,50.478,8715.738,12871.121,8738.572,0.000,8715.738,3447.862,467.474,132.222,76.002,0.297,0.001,0.000,8.680,8738.572
171,50.861,9332.608,13105.936,8937.176,0.000,9332.608,3359.442,545.746,166.507,87.444,0.428,0.002,0.000,9.177,8937.176
172,51.244,9926.805,13341.336,9135.780,0.000,9926.805,3264.230,625.629,205.814,99.490,0.607,0.003,0.000,9.765,9135.780
173,51.627,10303.127,13576.647,9334.384,0.000,10303.127,3164.290,705.009,249.927,111.690,0.846,0.005,0.000,10.478,9334.384
174,52.010,10743.895,13811.229,9532.988,0.000,10743.895,3061.738,781.871,298.448,123.643,1.158,0.008,0.000,11.355,9532.988
175,52.393,11299.714,14044.484,9731.592,0.000,11299.714,2958.575,854.446,350.829,135.011,1.560,0.012,0.000,12.436,9731.592
176,52.776,11436.225,14275.872,9930.196,0.000,11436.225,2856.569,921.304,406.402,145.529,2.070,0.018,0.000,13.762,9930.196
177,53.159,11932.590,14504.935,10128.800,0.000,11932.590,2757.185,981.410,464.406,155.005,2.706,0.027,0.000,15.371,10128.800
178,53.541,12568.731,14731.312,10327.404,0.000,12568.731,2661.575,1034.127,524.031,163.319,3.489,0.039,0.000,17.301,10327.404
179,53.924,12740.275,14954.759,10526.008,0.000,12740.275,2570.591,1079.193,584.443,170.419,4.440,0.057,0.000,19.581,10526.008
180,54.307,12955.323,15175.155,10724.612,0.000,12955.323,2484.824,1116.678,644.815,176.304,5.579,0.082,0.000,22.232,10724.612
181,54.690,13469.191,15392.505,10923.216,0.000,13469.191,2404.642,1146.928,704.360,181.024,6.925,0.116,0.000,25.265,10923.216
182,55.072,13892.829,15606.928,11121.819,0.000,13892.829,2330.237,1170.495,762.350,184.661,8.496,0.163,0.000,28.676,11121.819
183,55.455,14537.975,15818.639,11320.423,0.000,14537.975,2261.655,1188.083,818.149,187.325,10.305,0.226,0.000,32.442,11320.423
184,55.838,14705.541,16027.926,11519.027,0.000,14705.541,2198.829,1200.484,871.225,189.138,12.359,0.310,0.000,36.523,11519.027
185,56.220,14612.969,16235.127,11717.631,0.000,14612.969,2141.593,1208.527,921.175,190.233,14.662,0.421,0.000,40.853,11717.631
186,56.603,15237.036,16440.607,11916.235,0.000,15237.036,2089.708,1213.036,967.736,190.743,17.207,0.566,0.000,45.346,11916.235
187,56.985,15844.496,16644.748,12114.839,0.000,15844.496,2042.869,1214.794,1010.798,190.795,19.979,0.752,0.000,49.891,12114.839
188,57.368,15949.013,16847.949,12313.443,0.000,15949.013,2000.727,1214.526,1050.416,190.506,22.954,0.990,0.000,54.357,12313.443
189,57.750,16648.771,17050.634,12512.047,0.000,16648.771,1962.899,1212.879,1086.811,189.983,26.100,1.288,0.000,58.597,12512.047
190,58.132,16327.654,17290.277,12747.648,0.000,16327.654,1928.988,1210.425,1120.382,189.320,29.373,1.657,0.000,62.454,12747.648
191,58.515,17093.359,17530.444,12983.249,0.000,17093.359,1898.597,1207.661,1151.709,188.596,32.725,2.109,0.000,65.769,12983.249
192,58.897,17809.720,17771.828,13218.850,0.000,17809.720,1871.347,1205.020,1181.552,187.878,36.100,2.655,0.000,68.394,13218.850
193,59.279,18337.189,18015.294,13454.451,0.000,18337.189,1846.894,1202.884,1210.865,187.225,39.442,3.305,0.000,70.198,13454.451
194,59.662,18401.833,18261.927,13690.052,0.000,18401.833,1824.935,1201.596,1240.793,186.681,42.693,4.069,0.000,71.079,13690.052
195,60.044,19061.670,18513.066,13925.653,0.000,19061.670,1805.218,1201.473,1272.677,186.286,45.800,4.953,0.000,70.975,13925.653
196,60.426,19463.773,18770.329,14161.254,0.000,19463.773,1787.548,1202.817,1308.062,186.070,48.720,5.962,0.000,69.867,14161.254
197,60.808,20064.542,19035.635,14396.855,0.000,20064.542,1771.778,1205.920,1348.698,186.058,51.415,7.099,0.000,67.781,14396.855
198,61.190,20286.434,19311.192,14632.456,0.000,20286.434,1757.811,1211.071,1396.541,186.271,53.861,8.360,0.000,64.791,14632.456
199,61.572,21173.784,19599.484,14868.057,0.000,21173.784,1745.585,1218.545,1453.748,186.721,56.048,9.740,0.000,61.011,14868.057
200,61.954,21587.872,19903.228,15103.658,0.000,21587.872,1735.065,1228.604,1522.663,187.418,57.974,11.229,0.000,56.587,15103.658
201,62.336,22886.481,20225.320,15339.259,0.000,22886.481,1726.230,1241.485,1605.797,188.365,59.653,12.814,0.000,51.687,15339.259
202,62.718,23549.834,20568.753,15574.860,0.000,23549.834,1719.063,1257.381,1705.785,189.558,61.104,14.480,0.000,46.491,15574.860
203,63.100,24534.242,20936.524,15810.460,0.000,24534.242,1713.542,1276.431,1825.333,190.984,62.357,16.208,0.000,41.176,15810.460
204,63.482,25568.764,21331.521,16046.061,0.000,25568.764,1709.632,1298.697,1967.141,192.626,63.444,17.980,0.000,35.909,16046.061
205,63.864,26729.606,21756.392,16281.662,0.000,26729.606,1707.280,1324.148,2133.808,194.454,64.401,19.775,0.000,30.833,16281.662
206,64.246,28017.618,22213.411,16517.263,0.000,28017.618,1706.416,1352.641,2327.723,196.432,65.262,21.576,0.000,26.068,16517.263
207,64.627,29195.839,22704.335,16752.864,0.000,29195.839,1706.949,1383.912,2550.938,198.512,66.059,23.366,0.000,21.703,16752.864
208,65.009,30622.620,23230.262,16988.465,0.000,30622.620,1708.777,1417.561,2805.035,200.642,66.823,25.134,0.000,17.793,16988.465
