ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ra-224,continuum
0,-5.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-5.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-4.782,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-4.406,0.000,0.000,0.000,0.000,-0.005,0.000,0.000,0.000,0.000
5,-4.030,2.714,0.000,0.000,0.000,2.714,0.000,0.000,0.000,0.000
6,-3.654,2.703,0.000,0.000,0.000,2.703,0.000,0.000,0.000,0.000
7,-3.278,4.584,0.000,0.000,0.000,4.584,0.000,0.000,0.000,0.000
8,-2.902,4.506,0.000,0.000,0.000,4.506,0.000,0.000,0.000,0.000
9,-2.526,4.674,0.000,0.000,0.000,4.674,0.000,0.000,0.000,0.000
10,-2.150,6.840,0.000,0.000,0.000,6.840,0.000,0.000,0.000,0.000
11,-1.774,8.627,0.000,0.000,0.000,8.627,0.000,0.000,0.000,0.000
12,-1.398,12.752,0.000,0.000,0.000,12.752,0.000,0.000,0.000,0.000
13,-1.022,9.535,0.000,0.000,0.000,9.535,0.000,0.000,0.000,0.000
14,-0.646,10.405,0.000,0.000,0.000,10.405,0.000,0.000,0.000,0.000
15,-0.269,11.449,0.000,0.000,0.000,11.449,0.000,0.000,0.000,0.000
16,0.107,8.656,0.000,0.000,0.000,8.656,0.000,0.000,0.000,0.000
17,0.483,9.619,0.000,0.000,0.000,9.619,0.000,0.000,0.000,0.000
18,0.859,7.486,0.000,0.000,0.000,7.486,0.000,0.000,0.000,0.000
19,1.235,15.521,0.000,0.000,0.000,15.521,0.000,0.000,0.000,0.000
20,1.611,15.170,62.981,62.981,2.981,15.170,0.000,59.892,3.089,0.000
21,1.988,8.486,66.130,66.130,3.141,8.486,0.000,62.886,3.243,0.000
22,2.364,13.589,69.279,69.279,3.285,13.589,0.000,65.881,3.398,0.000
23,2.740,17.234,72.428,72.428,3.412,17.234,0.000,68.876,3.552,0.000
24,3.116,17.467,75.577,75.577,3.523,17.467,0.000,71.870,3.707,0.000
25,3.493,20.397,78.726,78.726,3.618,20.397,0.000,74.865,3.861,0.000
26,3.869,31.371,81.875,81.875,3.698,31.371,0.000,77.859,4.016,0.000
27,4.245,55.371,85.024,85.024,3.765,55.371,0.000,80.854,4.170,0.000
28,4.622,61.099,88.173,88.173,3.820,61.099,0.000,83.849,4.325,0.000
29,4.998,69.649,91.322,91.322,3.864,69.649,0.000,86.843,4.479,0.000
30,5.374,108.441,94.471,94.471,3.899,108.441,0.000,89.838,4.634,0.000
31,5.751,143.000,97.620,97.620,3.926,143.000,0.000,92.832,4.788,0.000
32,6.127,168.172,100.769,100.769,3.947,168.172,0.000,95.827,4.942,0.000
33,6.504,188.075,103.918,103.918,3.961,188.075,0.000,98.822,5.097,0.000
34,6.880,201.229,107.067,107.067,3.971,201.229,0.000,101.816,5.251,0.000
35,7.257,225.078,110.216,110.216,3.978,225.078,0.000,104.811,5.406,0.000
36,7.633,223.098,113.366,113.366,3.982,223.098,0.000,107.805,5.560,0.000
37,8.010,278.279,116.515,116.515,3.985,278.279,0.000,110.800,5.715,0.000
38,8.386,271.052,119.664,119.664,3.987,271.052,0.000,113.794,5.869,0.000
39,8.763,291.282,122.813,122.813,3.989,291.282,0.000,116.789,6.024,0.000
40,9.139,308.314,125.962,125.962,3.992,308.314,0.000,119.784,6.178,0.000
41,9.516,362.285,129.111,129.111,3.995,362.285,0.000,122.778,6.332,0.000
42,9.892,356.225,132.260,132.260,4.000,356.225,0.000,125.773,6.487,0.000
43,10.269,406.860,135.409,135.409,4.006,406.860,0.000,128.767,6.641,0.000
44,10.646,393.774,138.558,138.558,4.013,393.774,0.000,131.762,6.796,0.000
45,11.022,406.780,141.707,141.707,4.020,406.780,0.000,134.757,6.950,0.000
46,11.399,415.743,144.856,144.856,4.028,415.743,0.000,137.751,7.105,0.000
47,11.775,452.001,148.005,148.005,4.037,452.001,0.000,140.746,7.259,0.000
48,12.152,427.996,151.154,151.154,4.045,427.996,0.000,143.740,7.414,0.000
49,12.529,444.304,154.303,154.303,4.053,444.304,0.000,146.735,7.568,0.000
50,12.906,484.024,157.452,157.452,4.059,484.024,0.000,149.730,7.723,0.000
51,13.282,410.660,160.601,160.601,4.064,410.660,0.000,152.724,7.877,0.000
52,13.659,405.629,163.750,163.750,4.068,405.629,0.000,155.719,8.031,0.000
53,14.036,429.460,166.899,166.899,4.070,429.460,0.000,158.713,8.186,0.000
54,14.413,423.450,170.048,170.048,4.069,423.450,0.000,161.708,8.340,0.000
55,14.789,389.338,173.197,173.197,4.067,389.338,0.000,164.703,8.495,0.000
56,15.166,395.294,176.346,176.346,4.062,395.294,0.000,167.697,8.649,0.000
57,15.543,393.292,179.495,179.495,4.055,393.292,0.000,170.692,8.804,0.000
58,15.920,358.071,182.644,182.644,4.046,358.071,0.000,173.686,8.958,0.000
59,16.297,351.056,185.793,185.793,4.035,351.056,0.000,176.681,9.113,0.000
60,16.674,346.802,188.943,188.943,4.022,346.802,0.000,179.675,9.267,0.000
61,17.051,320.640,192.092,192.092,4.008,320.640,0.000,182.670,9.421,0.000
62,17.427,321.609,195.241,195.241,3.992,321.609,0.000,185.665,9.576,0.000
63,17.804,311.864,198.390,198.390,3.975,311.864,0.000,188.659,9.730,0.000
64,18.181,281.150,197.054,197.054,3.957,281.150,0.000,187.389,9.665,0.000
65,18.558,269.900,195.719,195.719,3.938,269.900,0.000,186.119,9.599,0.000
66,18.935,241.875,194.383,194.383,3.918,241.875,0.000,184.849,9.534,0.000
67,19.312,223.932,193.047,193.047,3.899,223.932,0.000,183.579,9.468,0.000
68,19.689,239.478,191.712,191.712,3.880,239.478,0.000,182.309,9.403,0.000
69,20.066,170.094,190.376,190.376,3.861,170.094,0.000,181.039,9.337,0.000
70,20.443,175.780,189.041,189.041,3.843,175.780,0.000,179.769,9.272,0.000
71,20.820,172.729,187.705,187.705,3.825,172.729,0.000,178.499,9.206,0.000
72,21.198,128.035,186.369,186.369,3.809,128.035,0.000,177.229,9.141,0.000
73,21.575,108.002,185.034,185.034,3.795,108.002,0.000,175.959,9.075,0.000
74,21.952,100.691,183.698,183.698,3.782,100.691,0.000,174.688,9.010,0.000
75,22.329,79.518,182.363,182.363,3.771,79.518,0.000,173.418,8.944,0.000
76,22.706,66.217,181.027,181.027,3.763,66.217,0.000,172.148,8.879,0.000
77,23.083,79.009,179.692,179.692,3.756,79.009,0.000,170.878,8.813,0.000
78,23.460,64.778,178.356,178.356,3.752,64.778,0.000,169.608,8.748,0.000
79,23.838,40.841,177.020,177.020,3.750,40.841,0.000,168.338,8.682,0.000
80,24.215,34.252,175.685,175.685,3.752,34.252,0.000,167.068,8.617,0.000
81,24.592,40.687,174.349,174.349,3.755,40.687,0.000,165.798,8.551,0.000
82,24.969,76.108,173.014,173.014,3.762,76.108,0.000,164.528,8.486,0.000
83,25.346,40.490,171.678,171.678,3.771,40.490,0.000,163.258,8.420,0.000
84,25.724,40.753,170.343,170.343,3.784,40.753,0.000,161.988,8.355,0.000
85,26.101,54.990,169.007,169.007,3.799,54.990,0.000,160.718,8.289,0.000
86,26.478,40.579,167.671,167.671,3.816,40.579,0.000,159.448,8.224,0.000
87,26.856,37.904,166.336,166.336,3.837,37.904,0.000,158.178,8.158,0.000
88,27.233,33.382,165.000,165.000,3.860,33.382,0.000,156.908,8.093,0.000
89,27.610,46.118,163.665,163.665,3.886,46.118,0.000,155.637,8.027,0.000
90,27.988,28.477,162.329,162.329,3.915,28.477,0.000,154.367,7.962,0.000
91,28.365,10.752,160.994,160.994,3.946,10.752,0.000,153.097,7.896,0.000
92,28.743,16.365,159.658,159.658,3.979,16.365,0.000,151.827,7.831,0.000
93,29.120,46.001,158.322,158.322,4.015,46.001,0.000,150.557,7.765,0.000
94,29.497,19.043,156.987,156.987,4.053,19.043,0.000,149.287,7.700,0.000
95,29.875,28.126,155.651,155.651,4.094,28.126,0.000,148.017,7.634,0.000
96,30.252,28.990,154.316,154.316,4.137,28.990,0.000,146.747,7.569,0.000
97,30.630,10.806,152.980,152.980,4.183,10.806,0.000,145.477,7.503,0.000
98,31.007,37.180,151.645,151.645,4.231,37.180,0.000,144.207,7.438,0.000
99,31.385,17.282,150.309,150.309,4.283,17.282,0.000,142.937,7.372,0.000
100,31.763,6.828,148.973,148.973,4.339,6.828,0.000,141.667,7.307,0.000
101,32.140,25.761,147.638,147.638,4.398,25.761,0.000,140.397,7.241,0.000
102,32.518,25.492,146.302,146.302,4.463,25.492,0.000,139.127,7.176,0.000
103,32.895,43.650,144.967,144.967,4.534,43.650,0.000,137.856,7.110,0.000
104,33.273,24.576,143.631,143.631,4.612,24.576,0.000,136.586,7.045,0.000
105,33.651,19.205,142.296,142.296,4.698,19.205,0.000,135.316,6.979,0.000
106,34.028,14.839,140.960,140.960,4.793,14.839,0.000,134.046,6.914,0.000
107,34.406,29.546,139.624,139.624,4.900,29.546,0.000,132.776,6.848,0.000
108,34.783,28.818,138.289,138.289,5.019,28.818,0.000,131.506,6.783,0.000
109,35.161,28.455,136.953,136.953,5.152,28.455,0.000,130.236,6.717,0.000
110,35.539,55.045,135.618,135.618,5.302,55.045,0.000,128.966,6.652,0.000
111,35.917,60.828,134.282,134.282,5.471,60.828,0.000,127.696,6.586,0.000
112,36.294,72.396,132.946,132.946,5.659,72.396,0.000,126.426,6.521,0.000
113,36.672,61.174,131.611,131.611,5.871,61.174,0.000,125.156,6.455,0.000
114,37.050,0.000,130.275,130.275,6.107,-12.714,0.000,123.886,6.390,0.000
115,37.428,64.202,128.940,128.940,6.369,64.202,0.000,122.616,6.324,0.000
116,37.806,33.848,127.604,127.604,6.659,33.848,0.000,121.346,6.259,0.000
117,38.183,56.633,126.269,126.269,6.980,56.633,0.000,120.076,6.193,0.000
118,38.561,72.058,124.933,124.933,7.331,72.058,0.000,118.806,6.128,0.000
119,38.939,67.373,123.598,123.597,7.713,67.373,0.000,117.536,6.062,0.000
120,39.317,59.629,122.262,122.262,8.128,59.629,0.000,116.266,5.997,0.000
121,39.695,95.422,120.927,120.926,8.574,95.422,0.000,114.996,5.931,0.000
122,40.073,78.009,119.591,119.591,9.050,78.009,0.000,113.726,5.866,0.000
123,40.451,126.887,118.256,118.255,9.555,126.887,0.000,112.456,5.800,0.000
124,40.829,87.902,116.921,116.920,10.086,87.902,0.000,111.186,5.735,0.000
125,41.207,70.895,115.586,115.584,10.639,70.895,0.000,109.917,5.669,0.000
126,41.585,88.751,114.251,114.248,11.209,88.751,0.000,108.647,5.604,0.000
127,41.963,98.748,112.916,112.913,11.793,98.748,0.000,107.378,5.538,0.000
128,42.341,115.813,111.582,111.577,12.383,115.813,0.000,106.110,5.473,0.000
129,42.719,123.219,110.248,110.242,12.972,123.219,0.000,104.841,5.407,0.000
130,43.097,140.568,108.915,108.906,13.553,140.568,0.000,103.574,5.342,0.000
131,43.475,76.833,107.583,107.571,14.118,76.833,0.000,102.307,5.276,0.000
132,43.853,129.887,106.251,106.235,14.659,129.887,0.000,101.041,5.211,0.000
133,44.231,105.843,104.921,104.899,15.166,105.843,0.000,99.776,5.145,0.000
134,44.609,138.383,103.592,103.564,15.632,138.383,0.000,98.512,5.080,0.000
135,44.987,135.223,102.265,102.228,16.048,135.223,0.000,97.251,5.014,0.000
136,45.365,108.885,100.940,100.893,16.407,108.885,0.000,95.991,4.949,0.000
137,45.743,100.982,99.618,99.557,16.701,100.982,0.000,94.735,4.883,0.000
138,46.122,114.215,98.299,98.222,16.924,114.215,0.000,93.482,4.818,0.000
139,46.500,138.469,96.984,96.886,17.072,138.469,0.000,92.232,4.752,0.000
140,46.878,99.743,95.674,95.550,17.141,99.743,0.000,90.987,4.687,0.000
141,47.256,110.842,94.369,94.215,17.129,110.842,0.000,89.748,4.621,0.000
142,47.634,160.346,93.070,92.879,17.034,160.346,0.000,88.515,4.556,0.000
143,48.013,127.845,93.720,93.485,16.858,127.845,0.000,89.134,4.586,0.000
144,48.391,123.964,94.378,94.091,16.602,123.964,0.000,89.762,4.616,0.000
145,48.769,134.082,95.045,94.697,16.270,134.082,0.000,90.399,4.646,0.000
146,49.147,167.392,95.721,95.303,15.867,167.392,0.000,91.046,4.676,0.000
147,49.526,134.671,96.409,95.909,15.399,134.671,0.000,91.703,4.706,0.000
148,49.904,158.983,97.108,96.514,14.871,158.983,0.000,92.373,4.736,0.000
149,50.283,161.109,97.820,97.120,14.293,161.109,0.000,93.054,4.766,0.000
150,50.661,132.820,98.546,97.726,13.671,132.820,0.000,93.749,4.796,0.000
151,51.039,128.274,99.285,98.332,13.014,128.274,0.000,94.458,4.827,0.000
152,51.418,185.966,100.038,98.938,12.330,185.966,0.000,95.181,4.857,0.000
153,51.796,177.828,100.806,99.544,11.628,177.828,0.000,95.918,4.888,0.000
154,52.175,177.644,101.589,100.150,10.915,177.644,0.000,96.670,4.919,0.000
155,52.553,166.764,102.385,100.755,10.199,166.764,0.000,97.435,4.950,0.000
156,52.931,180.924,103.196,101.361,9.487,180.924,0.000,98.214,4.981,0.000
157,53.310,183.599,104.019,101.967,8.785,183.599,0.000,99.006,5.013,0.000
158,53.688,150.490,104.854,102.573,8.099,150.490,0.000,99.809,5.045,0.000
159,54.067,177.499,105.700,103.179,7.434,177.499,0.000,100.623,5.077,0.000
160,54.445,160.424,106.555,103.785,6.793,160.424,0.000,101.445,5.110,0.000
161,54.824,187.457,107.417,104.391,6.180,187.457,0.000,102.274,5.143,0.000
162,55.203,181.185,108.286,104.996,5.598,181.185,0.000,103.109,5.176,0.000
163,55.581,165.207,109.158,105.602,5.048,165.207,0.000,103.947,5.210,0.000
164,55.960,204.100,110.031,106.208,4.532,204.100,0.000,104.787,5.245,0.000
165,56.338,137.476,110.905,106.814,4.050,137.476,0.000,105.626,5.280,0.000
166,56.717,122.881,111.777,107.420,3.604,122.881,0.000,106.462,5.315,0.000
167,57.096,141.186,112.646,108.026,3.192,141.186,0.000,107.295,5.351,0.000
168,57.474,223.132,113.509,108.632,2.813,223.132,0.000,108.122,5.387,0.000
169,57.853,208.794,114.366,109.237,2.468,208.794,0.000,108.942,5.424,0.000
170,58.232,159.173,115.216,109.843,2.155,159.173,0.000,109.754,5.462,0.000
171,58.610,142.795,116.058,110.449,1.872,142.795,0.000,110.558,5.500,0.000
172,58.989,147.503,116.892,111.055,1.618,147.503,0.000,111.354,5.538,0.000
173,59.368,238.858,117.718,111.661,1.391,238.858,0.000,112.141,5.577,0.000
174,59.747,177.395,118.536,112.267,1.189,177.395,0.000,112.920,5.617,0.000
175,60.125,220.217,119.348,112.873,1.012,220.217,0.000,113.692,5.656,0.000
176,60.504,232.322,120.155,113.479,0.856,232.322,0.000,114.459,5.697,0.000
177,60.883,176.871,120.959,114.084,0.720,176.871,0.000,115.222,5.737,0.000
178,61.262,168.417,121.762,114.690,0.602,168.417,0.000,115.984,5.778,0.000
179,61.641,146.503,122.567,115.296,0.500,146.503,0.000,116.749,5.819,0.000
180,62.020,189.466,123.378,115.902,0.413,189.466,0.000,117.518,5.860,0.000
181,62.398,189.016,124.198,116.508,0.339,189.016,0.000,118.297,5.901,0.000
182,62.777,167.576,125.032,117.114,0.277,167.576,0.000,119.090,5.942,0.000
183,63.156,200.799,125.885,117.720,0.224,200.799,0.000,119.902,5.983,0.000
184,63.535,206.261,126.763,118.325,0.180,206.261,0.000,120.739,6.024,0.000
185,63.914,212.080,127.672,118.931,0.144,212.080,0.000,121.607,6.065,0.000
186,64.293,213.056,128.620,119.537,0.115,213.056,0.000,122.514,6.106,0.000
187,64.672,187.086,129.613,120.143,0.090,187.086,0.000,123.466,6.147,0.000
188,65.051,190.047,130.661,120.749,0.071,190.047,0.000,124.473,6.188,0.000
189,65.430,204.460,131.773,121.355,0.055,204.460,0.000,125.544,6.229,0.000
190,65.809,208.223,132.958,121.961,0.043,208.223,0.000,126.688,6.269,0.000
191,66.188,209.459,134.227,122.566,0.033,209.459,0.000,127.917,6.310,0.000
192,66.567,216.721,135.591,123.172,0.025,216.721,0.000,129.240,6.351,0.000
193,66.946,198.986,137.061,123.778,0.019,198.986,0.000,130.669,6.392,0.000
194,67.325,209.378,138.649,124.384,0.014,209.378,0.000,132.216,6.433,0.000
195,67.704,238.437,140.367,124.990,0.011,238.437,0.000,133.892,6.475,0.000
196,68.084,211.988,142.225,125.596,0.008,211.988,0.000,135.707,6.517,0.000
197,68.463,231.754,144.234,126.202,0.006,231.754,0.000,137.674,6.560,0.000
198,68.842,227.972,146.404,126.807,0.004,227.972,0.000,139.800,6.604,0.000
199,69.221,196.826,148.744,127.413,0.003,196.826,0.000,142.095,6.649,0.000
200,69.600,234.825,151.261,128.019,0.002,234.825,0.000,144.565,6.695,0.000
201,69.979,258.961,153.958,128.625,0.002,258.961,0.000,147.215,6.743,0.000
202,70.359,225.502,156.840,129.231,0.001,225.502,0.000,150.047,6.793,0.000
203,70.738,229.885,159.906,129.837,0.001,229.885,0.000,153.061,6.845,0.000
204,71.117,213.664,163.151,130.443,0.001,213.664,0.000,156.252,6.899,0.000
205,71.496,274.958,166.570,131.048,0.000,274.958,0.000,159.614,6.956,0.000
206,71.876,297.348,170.152,131.654,0.000,297.348,0.000,163.135,7.017,0.000
207,72.255,263.912,173.882,132.260,0.000,263.912,0.000,166.802,7.080,0.000
208,72.634,285.421,177.742,132.866,0.000,285.421,0.000,170.595,7.147,0.000
209,73.014,177.895,181.710,133.472,0.000,177.895,0.000,174.492,7.219,0.000
210,73.393,283.551,185.761,134.078,0.000,283.551,0.000,178.466,7.295,0.000
211,73.772,281.088,189.863,134.684,0.000,281.088,0.000,182.488,7.375,0.000
212,74.152,294.375,193.986,135.290,0.000,294.375,0.000,186.525,7.461,0.000
213,74.531,290.300,198.094,135.895,0.000,290.300,0.000,190.541,7.552,0.000
214,74.911,340.173,202.148,136.501,0.000,340.173,0.000,194.499,7.650,0.000
215,75.290,292.247,206.112,137.107,0.000,292.247,0.000,198.359,7.753,0.000
216,75.669,355.490,209.943,137.713,0.000,355.490,0.000,202.081,7.863,0.000
217,76.049,393.137,213.605,138.319,0.000,393.137,0.000,205.626,7.979,0.000
218,76.428,324.902,217.056,138.925,0.000,324.902,0.000,208.954,8.102,0.000
219,76.808,293.707,220.262,139.531,0.000,293.707,0.000,212.030,8.232,0.000
220,77.187,301.551,223.187,140.136,0.000,301.551,0.000,214.818,8.369,0.000
221,77.567,284.302,225.801,140.742,0.000,284.302,0.000,217.288,8.513,0.000
222,77.946,306.642,228.078,141.348,0.000,306.642,0.000,219.414,8.664,0.000
223,78.326,255.049,229.996,141.954,0.000,255.049,0.000,221.175,8.821,0.000
224,78.706,336.056,231.539,142.560,0.000,336.056,0.000,222.555,8.984,0.000
225,79.085,292.207,232.697,143.166,0.000,292.207,0.000,223.544,9.153,0.000
