ch,keV,net,model,continuum_raw,untied_tail,fit,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,continuum
45,2.279,0.000,0.000,0.000,0.000,-8931.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,2.667,0.000,0.000,0.000,0.000,-8988.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,3.055,0.000,0.000,0.000,0.000,-9188.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,3.443,0.000,0.000,0.000,0.000,-9263.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,3.831,0.000,0.000,0.000,0.000,-9375.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,4.219,0.000,0.000,0.000,0.000,-9556.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,4.607,0.000,0.000,0.000,0.000,-9623.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,4.995,0.000,0.000,0.000,0.000,-9768.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,5.383,0.000,0.000,0.000,0.000,-9897.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,5.771,0.000,0.000,0.000,0.000,-9783.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,6.159,0.000,0.000,0.000,0.000,-9381.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,6.546,0.000,0.000,0.000,0.000,-8840.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,6.934,0.000,0.000,0.000,0.000,-7982.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,7.322,0.000,0.000,0.000,0.000,-7051.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,7.709,0.000,0.000,0.000,0.000,-6128.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,8.097,0.000,0.000,0.000,0.000,-5303.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,8.484,0.000,0.000,0.000,0.000,-4212.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,8.872,0.000,0.000,0.000,0.000,-3945.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,9.259,0.000,0.000,0.000,0.000,-3331.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,9.647,0.000,0.000,0.000,0.000,-2788.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,10.034,0.000,0.000,0.000,0.000,-2723.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,10.421,0.000,3553.276,0.000,0.000,-2510.297,3553.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,10.809,0.000,3564.233,0.000,0.000,-2411.052,3564.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,11.196,0.000,3562.057,0.000,0.000,-2454.621,3562.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,11.583,0.000,3548.439,0.000,0.000,-2501.915,3548.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,11.970,0.000,3532.267,0.000,0.000,-2287.096,3532.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71,12.357,0.000,3516.329,0.000,0.000,-2422.392,3516.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72,12.744,0.000,3491.721,0.000,0.000,-2487.695,3491.721,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73,13.131,0.000,3442.554,0.000,0.000,-2324.642,3442.554,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
74,13.518,0.000,3353.189,0.000,0.000,-2295.609,3353.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75,13.905,0.000,3211.002,0.000,0.000,-2427.930,3211.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
76,14.292,0.000,3005.502,0.000,0.000,-2181.224,3005.500,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
77,14.679,0.000,2729.327,0.000,0.000,-2401.817,2729.319,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000
78,15.066,0.000,2383.591,0.000,0.000,-2347.918,2383.558,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000
79,15.453,0.000,1983.901,0.000,0.000,-1907.805,1983.763,0.000,0.000,0.138,0.000,0.000,0.000,0.000,0.000
80,15.839,0.000,1561.035,0.000,0.000,-2159.190,1560.466,0.000,0.000,0.569,0.000,0.000,0.000,0.000,0.000
81,16.226,0.000,1153.923,0.000,0.000,-2056.899,1151.650,0.000,0.000,2.273,0.000,0.000,0.000,0.000,0.000
82,16.613,0.000,798.300,0.000,0.000,-2223.193,789.560,0.000,0.000,8.740,0.000,0.000,0.000,0.000,0.000
83,16.999,0.000,517.219,0.000,0.000,-2058.834,485.927,0.000,0.000,31.292,0.000,0.000,0.000,0.000,0.000
84,17.386,0.000,317.830,0.000,0.000,-2085.201,228.874,0.000,0.000,88.956,0.000,0.000,0.000,0.000,0.000
85,17.772,0.000,194.703,0.000,0.000,-2172.321,56.686,0.000,0.000,138.017,0.000,0.000,0.000,0.000,0.000
86,18.159,0.000,136.742,0.000,0.000,-1922.923,8.121,0.000,0.000,128.621,0.000,0.000,0.000,0.000,0.000
87,18.545,0.000,134.042,0.000,0.000,-1798.196,1.241,0.000,0.000,132.801,0.000,0.000,0.000,0.000,0.000
88,18.931,0.000,182.323,0.000,0.000,-1798.212,0.242,0.000,0.000,182.080,0.000,0.000,0.000,0.000,0.000
89,19.318,0.000,284.305,0.000,0.000,-1885.015,0.052,0.000,0.000,284.253,0.000,0.000,0.000,0.000,0.000
90,19.704,0.000,448.535,0.000,0.000,-1909.384,0.011,0.000,0.000,448.524,0.000,0.000,0.000,0.000,0.000
91,20.090,0.000,686.539,0.000,0.000,-1824.263,0.002,0.000,0.000,686.537,0.000,0.000,0.000,0.000,0.000
92,20.477,0.000,1009.152,0.000,0.000,-1953.322,0.000,0.000,0.000,1009.152,0.000,0.000,0.000,0.000,0.000
93,20.863,0.000,1422.786,0.000,0.000,-1932.204,0.000,0.000,0.000,1422.785,0.000,0.000,0.000,0.000,0.000
94,21.249,0.000,1926.415,0.000,0.000,-1644.467,0.000,0.000,0.000,1926.415,0.000,0.000,0.000,0.000,0.000
95,21.635,0.000,2509.971,0.000,0.000,-1552.693,0.000,0.000,0.000,2509.971,0.000,0.000,0.000,0.000,0.000
96,22.021,0.000,3154.543,0.000,0.000,-1501.456,0.000,0.000,0.000,3154.543,0.000,0.000,0.000,0.000,0.000
97,22.407,0.000,3834.293,0.000,0.000,-1753.683,0.000,0.000,0.000,3834.293,0.000,0.000,0.000,0.000,0.000
98,22.793,0.000,4519.468,0.000,0.000,-1416.211,0.000,0.000,0.000,4519.468,0.000,0.000,0.000,0.000,0.000
99,23.179,0.000,5179.658,0.000,0.000,-1227.449,0.000,0.000,0.000,5179.658,0.000,0.000,0.000,0.000,0.000
100,23.565,0.000,5786.541,0.000,0.000,-1316.770,0.000,0.000,0.000,5786.541,0.000,0.000,0.000,0.000,0.000
101,23.951,0.000,6315.817,0.000,0.000,-1261.371,0.000,0.000,0.000,6315.817,0.000,0.000,0.000,0.000,0.000
102,24.336,0.000,6748.474,0.000,0.000,-1091.989,0.000,0.000,0.000,6748.474,0.000,0.000,0.000,0.000,0.000
103,24.722,0.000,7071.722,0.000,0.000,-1319.570,0.000,0.000,0.000,7071.722,0.000,0.000,0.000,0.000,0.000
104,25.108,0.000,7279.781,0.000,0.000,-1158.756,0.000,0.000,0.000,7279.781,0.000,0.000,0.000,0.000,0.000
105,25.494,0.000,7374.388,0.000,0.000,-1080.561,0.000,0.000,0.000,7374.388,0.000,0.000,0.000,0.000,0.000
106,25.879,0.000,7364.636,0.000,0.000,-1312.719,0.000,0.000,0.000,7364.635,0.000,0.000,0.000,0.000,0.000
107,26.265,0.000,7265.849,0.000,0.000,-1113.398,0.001,0.000,0.000,7265.847,0.000,0.000,0.000,0.000,0.000
108,26.650,0.000,7097.527,0.000,0.000,-1041.805,0.003,0.000,0.000,7097.524,0.000,0.000,0.000,0.000,0.000
109,27.036,0.000,6880.774,0.000,0.000,-1017.438,0.007,0.000,0.000,6880.767,0.000,0.000,0.000,0.000,0.000
110,27.421,0.000,6635.810,0.000,0.000,-1008.363,0.018,0.000,0.000,6635.792,0.000,0.000,0.000,0.000,0.000
111,27.807,0.000,6380.105,0.000,0.000,-991.555,0.041,0.000,0.000,6380.064,0.000,0.000,0.000,0.000,0.000
112,28.192,0.000,6127.346,0.000,0.000,-1049.298,0.093,0.000,0.000,6127.253,0.000,0.000,0.000,0.000,0.000
113,28.578,0.000,5887.181,0.000,0.000,-939.075,0.204,0.000,0.000,5886.977,0.000,0.000,0.000,0.000,0.000
114,28.963,0.000,5665.492,0.000,0.000,-1145.481,0.432,0.000,0.000,5665.060,0.000,0.000,0.000,0.000,0.000
115,29.348,0.000,5464.961,0.000,0.000,-906.309,0.890,0.000,0.000,5464.071,0.000,0.000,0.000,0.000,0.000
116,29.733,0.000,5285.747,0.000,0.000,-829.526,1.778,0.000,0.000,5283.970,0.000,0.000,0.000,0.000,0.000
117,30.119,0.000,5126.224,0.000,0.000,-816.603,3.443,0.000,0.000,5122.782,0.000,0.000,0.000,0.000,0.000
118,30.504,0.000,4983.716,0.000,0.000,-476.254,6.465,0.000,0.000,4977.251,0.000,0.000,0.000,0.000,0.000
119,30.889,0.000,4855.199,0.000,0.000,-294.216,11.776,0.000,0.000,4843.423,0.000,0.000,0.000,0.000,0.000
120,31.274,0.000,4737.903,0.000,0.000,-275.857,20.823,0.000,0.000,4717.080,0.000,0.000,0.000,0.000,0.000
121,31.659,3.034,4629.740,0.000,0.000,3.034,35.771,0.000,0.000,4593.968,0.000,0.000,0.000,0.000,0.000
122,32.044,67.807,4529.517,0.000,0.000,67.807,59.749,0.000,0.000,4469.768,0.000,0.000,0.000,0.000,0.000
123,32.429,216.696,4436.952,0.000,0.000,216.696,97.098,0.000,0.000,4339.854,0.000,0.000,0.000,0.000,0.000
124,32.814,301.674,4352.504,0.000,0.000,301.674,153.553,0.000,0.000,4198.951,0.000,0.000,0.000,0.000,0.000
125,33.199,848.303,4277.107,0.000,0.000,848.303,236.184,0.000,0.000,4040.922,0.000,0.000,0.000,0.000,0.000
126,33.584,893.053,4211.867,0.000,0.000,893.053,352.873,0.000,0.000,3858.994,0.000,0.000,0.000,0.000,0.000
127,33.968,1267.492,4357.177,199.387,0.000,1267.492,511.026,0.000,0.000,3646.763,0.000,0.000,0.000,0.000,199.387
128,34.353,1352.872,4514.349,398.774,0.000,1352.872,715.464,0.000,0.000,3400.110,0.000,0.000,0.000,0.000,398.774
129,34.738,1740.499,4683.659,598.161,0.000,1740.499,965.901,0.000,0.000,3119.596,0.000,0.000,0.000,0.000,598.161
130,35.122,1706.873,4864.929,797.548,0.000,1706.873,1255.158,0.000,0.000,2812.222,0.000,0.000,0.000,0.001,797.548
131,35.507,1934.788,5057.554,996.935,0.000,1934.788,1569.437,0.000,0.000,2491.179,0.000,0.000,0.000,0.001,996.935
132,35.892,2416.148,5260.572,1196.322,0.000,2416.148,1891.141,0.000,0.000,2173.107,0.000,0.000,0.000,0.002,1196.322
133,36.276,2534.454,5472.765,1395.709,0.000,2534.454,2203.087,0.000,0.000,1873.965,0.000,0.000,0.000,0.004,1395.709
134,36.661,3005.093,5692.739,1595.096,0.000,3005.093,2492.094,0.000,0.000,1605.543,0.000,0.000,0.000,0.006,1595.096
135,37.045,3264.332,5919.017,1794.484,0.000,3264.332,2750.539,0.000,0.000,1373.985,0.000,0.000,0.000,0.009,1794.484
136,37.430,3502.437,6150.089,1993.871,0.000,3502.437,2975.900,0.000,0.000,1180.304,0.000,0.000,0.000,0.014,1993.871
137,37.814,3619.769,6384.455,2193.258,0.000,3619.769,3169.224,0.000,0.000,1021.953,0.000,0.000,0.000,0.020,2193.258
138,38.198,3743.749,6620.636,2392.645,0.000,3743.749,3333.465,0.000,0.000,894.497,0.000,0.000,0.000,0.029,2392.645
139,38.583,3821.573,6857.172,2592.032,0.000,3821.573,3472.212,0.000,0.000,792.886,0.000,0.000,0.000,0.041,2592.032
140,38.967,3818.557,7092.603,2791.419,0.000,3818.557,3588.907,0.001,0.000,712.218,0.000,0.000,0.000,0.058,2791.419
141,39.351,4057.047,7325.470,2990.806,0.000,4057.047,3686.478,0.002,0.000,648.103,0.000,0.000,0.000,0.082,2990.806
142,39.736,3952.096,7554.317,3190.193,0.000,3952.096,3767.240,0.003,0.000,596.767,0.000,0.000,0.000,0.114,3190.193
143,40.120,3799.846,7777.723,3389.580,0.000,3799.846,3832.947,0.006,0.000,555.034,0.000,0.000,0.000,0.156,3389.580
144,40.504,3551.352,7994.367,3588.967,0.000,3551.352,3884.931,0.011,0.001,520.246,0.000,0.000,0.000,0.212,3588.967
145,40.888,3630.415,8203.104,3788.354,0.000,3630.415,3924.256,0.021,0.001,490.188,0.000,0.000,0.000,0.285,3788.354
146,41.272,3310.747,8403.065,3987.741,0.000,3310.747,3951.878,0.038,0.002,463.028,0.000,0.000,0.000,0.378,3987.741
147,41.656,3142.010,8593.747,4187.128,0.000,3142.010,3968.775,0.069,0.004,437.277,0.000,0.000,0.000,0.494,4187.128
148,42.040,2946.720,8775.093,4386.515,0.000,2946.720,3976.032,0.122,0.007,411.779,0.000,0.000,0.000,0.638,4386.515
149,42.424,3332.288,8947.532,4585.902,0.000,3332.288,3974.886,0.214,0.013,385.705,0.000,0.000,0.000,0.811,4585.902
150,42.808,2795.902,9111.982,4785.289,0.000,2795.902,3966.728,0.369,0.025,358.557,0.000,0.000,0.000,1.015,4785.289
151,43.192,2942.995,9269.816,4984.676,0.000,2942.995,3953.066,0.626,0.044,330.153,0.000,0.000,0.000,1.251,4984.676
152,43.575,3026.753,9422.771,5184.064,0.000,3026.753,3935.462,1.042,0.079,300.605,0.000,0.000,0.000,1.519,5184.064
153,43.959,3083.368,9572.841,5383.451,0.000,3083.368,3915.457,1.707,0.139,270.269,0.000,0.000,0.000,1.818,5383.451
154,44.343,3140.461,9722.138,5582.838,0.000,3140.461,3894.487,2.747,0.239,239.682,0.000,0.000,0.000,2.145,5582.838
155,44.727,3318.973,9872.758,5782.225,0.000,3318.973,3873.796,4.343,0.405,209.491,0.000,0.000,0.000,2.498,5782.225
156,45.110,3728.918,10026.642,5981.612,0.000,3728.918,3854.355,6.745,0.674,180.382,0.000,0.000,0.000,2.873,5981.612
157,45.494,3680.176,10185.471,6180.999,0.000,3680.176,3836.792,10.295,1.104,153.014,0.000,0.000,0.000,3.267,6180.999
158,45.878,3947.133,10350.584,6380.386,0.000,3947.133,3821.330,15.439,1.778,127.975,0.001,0.000,0.000,3.675,6380.386
159,46.261,4450.820,10522.929,6579.773,0.000,4450.820,3807.749,22.746,2.816,105.751,0.001,0.000,0.000,4.093,6579.773
160,46.645,4490.548,10703.056,6779.160,0.000,4490.548,3795.370,32.918,4.383,86.704,0.003,0.000,0.000,4.518,6779.160
161,47.028,5143.988,10891.135,6978.547,0.000,5143.988,3783.075,46.784,6.703,71.077,0.004,0.000,0.000,4.944,6978.547
162,47.412,5496.743,11087.009,7177.934,0.000,5496.743,3769.359,65.270,10.070,58.997,0.008,0.000,0.000,5.369,7177.934
163,47.795,5880.886,11290.250,7377.321,0.000,5880.886,3752.433,89.355,14.853,50.486,0.013,0.000,0.000,5.787,7377.321
164,48.178,6192.559,11500.239,7576.708,0.000,6192.559,3730.365,119.980,21.497,45.469,0.021,0.000,0.000,6.196,7576.708
165,48.562,6437.436,11716.230,7776.095,0.000,6437.436,3701.253,157.945,30.515,43.790,0.035,0.000,0.000,6.594,7776.095
166,48.945,7298.560,11937.413,7975.482,0.000,7298.560,3663.429,203.777,42.468,45.215,0.055,0.000,0.000,6.981,7975.482
167,49.328,7741.641,12162.959,8174.869,0.000,7741.641,3615.655,257.614,57.926,49.439,0.086,0.000,0.000,7.362,8174.869
168,49.711,7851.541,12392.052,8374.256,0.000,7851.541,3557.278,319.108,77.429,56.095,0.132,0.000,0.000,7.745,8374.256
169,50.094,8457.990,12623.904,8573.644,0.000,8457.990,3488.330,387.384,101.432,64.763,0.198,0.001,0.000,8.142,8573.644
170,50.478,8715.738,12857.762,8773.031,0.000,8715.738,3409.534,461.071,130.262,74.984,0.292,0.001,0.000,8.574,8773.031
171,50.861,9332.608,13092.903,8972.418,0.000,9332.608,3322.220,538.398,164.083,86.281,0.422,0.002,0.000,9.065,8972.418
172,51.244,9926.805,13328.635,9171.805,0.000,9926.805,3228.169,617.348,202.871,98.182,0.598,0.003,0.000,9.645,9171.805
173,51.627,10303.127,13564.292,9371.192,0.000,10303.127,3129.417,695.827,246.412,110.241,0.833,0.005,0.000,10.348,9371.192
174,52.010,10743.895,13799.239,9570.579,0.000,10743.895,3028.056,771.845,294.319,122.060,1.140,0.008,0.000,11.212,9570.579
175,52.393,11299.714,14032.885,9769.966,0.000,11299.714,2926.065,843.649,346.051,133.307,1.536,0.012,0.000,12.278,9769.966
176,52.776,11436.225,14264.695,9969.353,0.000,11436.225,2825.194,909.821,400.947,143.716,2.039,0.018,0.000,13.585,9969.353
177,53.159,11932.590,14494.216,10168.740,0.000,11932.590,2726.898,969.332,458.260,153.097,2.666,0.026,0.000,15.172,10168.740
178,53.541,12568.731,14721.091,10368.127,0.000,12568.731,2632.321,1021.547,517.186,161.333,3.438,0.039,0.000,17.075,10368.127
179,53.924,12740.275,14945.079,10567.514,0.000,12740.275,2542.309,1066.203,576.902,168.368,4.375,0.056,0.000,19.324,10567.514
180,54.307,12955.323,15166.059,10766.901,0.000,12955.323,2457.451,1103.366,636.591,174.203,5.498,0.081,0.000,21.940,10766.901
181,54.690,13469.191,15384.036,10966.288,0.000,13469.191,2378.115,1133.373,695.472,178.886,6.826,0.114,0.000,24.933,10966.288
182,55.072,13892.829,15599.125,11165.675,0.000,13892.829,2304.492,1156.768,752.828,182.497,8.376,0.160,0.000,28.299,11165.675
183,55.455,14537.975,15811.537,11365.062,0.000,14537.975,2236.631,1174.244,808.025,185.144,10.160,0.222,0.000,32.017,11365.062
184,55.838,14705.541,16021.553,11564.449,0.000,14705.541,2174.463,1186.582,860.538,186.950,12.188,0.305,0.000,36.047,11564.449
185,56.220,14612.969,16229.504,11763.836,0.000,14612.969,2117.826,1194.601,909.966,188.044,14.461,0.415,0.000,40.325,11763.836
186,56.603,15237.036,16435.748,11963.223,0.000,15237.036,2066.482,1199.115,956.046,188.557,16.973,0.557,0.000,44.764,11963.223
187,56.985,15844.496,16640.660,12162.611,0.000,15844.496,2020.129,1200.898,998.668,188.615,19.710,0.741,0.000,49.257,12162.611
188,57.368,15949.013,16844.628,12361.998,0.000,15949.013,1978.422,1200.665,1037.882,188.335,22.649,0.975,0.000,53.673,12361.998
189,57.750,16648.771,17048.073,12561.385,0.000,16648.771,1940.980,1199.058,1073.904,187.822,25.756,1.269,0.000,57.868,12561.385
190,58.132,16327.654,17289.449,12798.759,0.000,16327.654,1907.411,1196.643,1107.127,187.168,28.990,1.633,0.000,61.687,12798.759
191,58.515,17093.359,17531.324,13036.133,0.000,17093.359,1877.323,1193.912,1138.120,186.453,32.303,2.078,0.000,64.972,13036.133
192,58.897,17809.720,17774.383,13273.507,0.000,17809.720,1850.341,1191.294,1167.633,185.743,35.639,2.617,0.000,67.577,13273.507
193,59.279,18337.189,18019.479,13510.881,0.000,18337.189,1826.124,1189.168,1196.607,185.095,38.943,3.258,0.000,69.372,13510.881
194,59.662,18401.833,18267.682,13748.256,0.000,18401.833,1804.374,1187.874,1226.169,184.554,42.158,4.011,0.000,70.256,13748.256
195,60.044,19061.670,18520.315,13985.630,0.000,19061.670,1784.842,1187.725,1257.645,184.160,45.233,4.883,0.000,70.167,13985.630
196,60.426,19463.773,18778.977,14223.004,0.000,19463.773,1767.333,1189.022,1292.558,183.942,48.122,5.879,0.000,69.085,14223.004
197,60.808,20064.542,19045.560,14460.378,0.000,20064.542,1751.706,1192.055,1332.637,183.927,50.789,7.001,0.000,67.037,14460.378
198,61.190,20286.434,19322.246,14697.752,0.000,20286.434,1737.862,1197.107,1379.812,184.132,53.211,8.245,0.000,64.094,14697.752
199,61.572,21173.784,19611.487,14935.127,0.000,21173.784,1725.741,1204.453,1436.213,184.572,55.376,9.608,0.000,60.368,14935.127
200,61.954,21587.872,19915.969,15172.501,0.000,21587.872,1715.308,1214.353,1504.156,185.257,57.284,11.078,0.000,56.003,15172.501
201,62.336,22886.481,20238.552,15409.875,0.000,22886.481,1706.542,1227.039,1586.121,186.189,58.947,12.644,0.000,51.165,15409.875
202,62.718,23549.834,20582.195,15647.249,0.000,23549.834,1699.429,1242.706,1684.711,187.363,60.384,14.290,0.000,46.032,15647.249
203,63.100,24534.242,20949.862,15884.623,0.000,24534.242,1693.944,1261.491,1802.601,188.770,61.625,15.997,0.000,40.779,15884.623
204,63.482,25568.764,21344.410,16121.997,0.000,25568.764,1690.054,1283.456,1942.460,190.390,62.702,17.748,0.000,35.571,16121.997
205,63.864,26729.606,21768.461,16359.372,0.000,26729.606,1687.708,1308.572,2106.861,192.195,63.650,19.522,0.000,30.550,16359.372
206,64.246,28017.618,22224.269,16596.746,0.000,28017.618,1686.835,1336.700,2298.169,194.148,64.502,21.302,0.000,25.835,16596.746
207,64.627,29195.839,22713.579,16834.120,0.000,29195.839,1687.347,1367.581,2518.418,196.205,65.291,23.073,0.000,21.514,16834.120
