ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ra-224,continuum
0,-5.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-5.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-4.782,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-4.406,0.000,0.000,0.000,0.000,-0.005,0.000,0.000,0.000,0.000
5,-4.030,2.714,0.000,0.000,0.000,2.714,0.000,0.000,0.000,0.000
6,-3.654,2.703,0.000,0.000,0.000,2.703,0.000,0.000,0.000,0.000
7,-3.278,4.584,0.000,0.000,0.000,4.584,0.000,0.000,0.000,0.000
8,-2.902,4.506,0.000,0.000,0.000,4.506,0.000,0.000,0.000,0.000
9,-2.526,4.674,0.000,0.000,0.000,4.674,0.000,0.000,0.000,0.000
10,-2.150,6.840,0.000,0.000,0.000,6.840,0.000,0.000,0.000,0.000
11,-1.774,8.627,0.000,0.000,0.000,8.627,0.000,0.000,0.000,0.000
12,-1.398,12.752,0.000,0.000,0.000,12.752,0.000,0.000,0.000,0.000
13,-1.022,9.535,0.000,0.000,0.000,9.535,0.000,0.000,0.000,0.000
14,-0.646,10.405,0.000,0.000,0.000,10.405,0.000,0.000,0.000,0.000
15,-0.269,11.449,0.000,0.000,0.000,11.449,0.000,0.000,0.000,0.000
16,0.107,8.656,0.000,0.000,0.000,8.656,0.000,0.000,0.000,0.000
17,0.483,9.619,0.000,0.000,0.000,9.619,0.000,0.000,0.000,0.000
18,0.859,7.486,0.000,0.000,0.000,7.486,0.000,0.000,0.000,0.000
19,1.235,15.521,0.000,0.000,0.000,15.521,0.000,0.000,0.000,0.000
20,1.611,15.170,65.962,62.981,0.000,15.170,2.981,62.703,3.258,0.000
21,1.988,8.486,69.271,66.130,0.000,8.486,3.141,65.850,3.421,0.000
22,2.364,13.589,72.564,69.279,0.000,13.589,3.285,68.982,3.582,0.000
23,2.740,17.234,75.840,72.428,0.000,17.234,3.412,72.098,3.742,0.000
24,3.116,17.467,79.100,75.577,0.000,17.467,3.523,75.199,3.900,0.000
25,3.493,20.397,82.344,78.726,0.000,20.397,3.618,78.286,4.057,0.000
26,3.869,31.371,85.573,81.875,0.000,31.371,3.698,81.360,4.213,0.000
27,4.245,55.371,88.789,85.024,0.000,55.371,3.765,84.421,4.368,0.000
28,4.622,61.099,91.993,88.173,0.000,61.099,3.820,87.471,4.522,0.000
29,4.998,69.649,95.186,91.322,0.000,69.649,3.864,90.511,4.675,0.000
30,5.374,108.441,98.371,94.471,0.000,108.441,3.899,93.543,4.828,0.000
31,5.751,143.000,101.547,97.620,0.000,143.000,3.926,96.567,4.980,0.000
32,6.127,168.172,104.716,100.769,0.000,168.172,3.947,99.585,5.131,0.000
33,6.504,188.075,107.880,103.918,0.000,188.075,3.961,102.597,5.282,0.000
34,6.880,201.229,111.039,107.067,0.000,201.229,3.971,105.606,5.433,0.000
35,7.257,225.078,114.195,110.216,0.000,225.078,3.978,108.611,5.583,0.000
36,7.633,223.098,117.348,113.366,0.000,223.098,3.982,111.614,5.734,0.000
37,8.010,278.279,120.500,116.515,0.000,278.279,3.985,114.616,5.884,0.000
38,8.386,271.052,123.651,119.664,0.000,271.052,3.987,117.617,6.034,0.000
39,8.763,291.282,126.802,122.813,0.000,291.282,3.989,120.618,6.184,0.000
40,9.139,308.314,129.954,125.962,0.000,308.314,3.992,123.619,6.334,0.000
41,9.516,362.285,133.106,129.111,0.000,362.285,3.995,126.622,6.484,0.000
42,9.892,356.225,136.260,132.260,0.000,356.225,4.000,129.625,6.635,0.000
43,10.269,406.860,139.415,135.409,0.000,406.860,4.006,132.629,6.785,0.000
44,10.646,393.774,142.570,138.558,0.000,393.774,4.013,135.635,6.936,0.000
45,11.022,406.780,145.727,141.707,0.000,406.780,4.020,138.641,7.086,0.000
46,11.399,415.743,148.884,144.856,0.000,415.743,4.028,141.647,7.237,0.000
47,11.775,452.001,152.042,148.005,0.000,452.001,4.037,144.654,7.388,0.000
48,12.152,427.996,155.199,151.154,0.000,427.996,4.045,147.661,7.538,0.000
49,12.529,444.304,158.356,154.303,0.000,444.304,4.053,150.667,7.689,0.000
50,12.906,484.024,161.511,157.452,0.000,484.024,4.059,153.672,7.839,0.000
51,13.282,410.660,164.666,160.601,0.000,410.660,4.064,156.676,7.990,0.000
52,13.659,405.629,167.818,163.750,0.000,405.629,4.068,159.678,8.140,0.000
53,14.036,429.460,170.969,166.899,0.000,429.460,4.070,162.679,8.290,0.000
54,14.413,423.450,174.118,170.048,0.000,423.450,4.069,165.677,8.440,0.000
55,14.789,389.338,177.264,173.197,0.000,389.338,4.067,168.674,8.590,0.000
56,15.166,395.294,180.408,176.346,0.000,395.294,4.062,171.668,8.740,0.000
57,15.543,393.292,183.551,179.495,0.000,393.292,4.055,174.661,8.890,0.000
58,15.920,358.071,186.691,182.644,0.000,358.071,4.046,177.652,9.039,0.000
59,16.297,351.056,189.829,185.793,0.000,351.056,4.035,180.640,9.189,0.000
60,16.674,346.802,192.965,188.943,0.000,346.802,4.022,183.627,9.338,0.000
61,17.051,320.640,196.099,192.092,0.000,320.640,4.008,186.613,9.487,0.000
62,17.427,321.609,199.233,195.241,0.000,321.609,3.992,189.597,9.636,0.000
63,17.804,311.864,202.364,198.390,0.000,311.864,3.975,192.580,9.785,0.000
64,18.181,281.150,201.011,197.054,0.000,281.150,3.957,191.293,9.718,0.000
65,18.558,269.900,199.656,195.719,0.000,269.900,3.938,190.005,9.652,0.000
66,18.935,241.875,198.301,194.383,0.000,241.875,3.918,188.716,9.585,0.000
67,19.312,223.932,196.946,193.047,0.000,223.932,3.899,187.428,9.518,0.000
68,19.689,239.478,195.591,191.712,0.000,239.478,3.880,186.139,9.452,0.000
69,20.066,170.094,194.237,190.376,0.000,170.094,3.861,184.852,9.385,0.000
70,20.443,175.780,192.883,189.041,0.000,175.780,3.843,183.564,9.319,0.000
71,20.820,172.729,191.530,187.705,0.000,172.729,3.825,182.278,9.252,0.000
72,21.198,128.035,190.179,186.369,0.000,128.035,3.809,180.993,9.186,0.000
73,21.575,108.002,188.829,185.034,0.000,108.002,3.795,179.710,9.119,0.000
74,21.952,100.691,187.480,183.698,0.000,100.691,3.782,178.428,9.053,0.000
75,22.329,79.518,186.134,182.363,0.000,79.518,3.771,177.148,8.986,0.000
76,22.706,66.217,184.790,181.027,0.000,66.217,3.763,175.870,8.920,0.000
77,23.083,79.009,183.448,179.692,0.000,79.009,3.756,174.594,8.854,0.000
78,23.460,64.778,182.108,178.356,0.000,64.778,3.752,173.321,8.787,0.000
79,23.838,40.841,180.771,177.020,0.000,40.841,3.750,172.050,8.721,0.000
80,24.215,34.252,179.436,175.685,0.000,34.252,3.752,170.781,8.655,0.000
81,24.592,40.687,178.105,174.349,0.000,40.687,3.755,169.516,8.589,0.000
82,24.969,76.108,176.776,173.014,0.000,76.108,3.762,168.253,8.523,0.000
83,25.346,40.490,175.449,171.678,0.000,40.490,3.771,166.992,8.457,0.000
84,25.724,40.753,174.126,170.343,0.000,40.753,3.784,165.735,8.391,0.000
85,26.101,54.990,172.806,169.007,0.000,54.990,3.799,164.480,8.325,0.000
86,26.478,40.579,171.488,167.671,0.000,40.579,3.816,163.228,8.260,0.000
87,26.856,37.904,170.173,166.336,0.000,37.904,3.837,161.979,8.194,0.000
88,27.233,33.382,168.861,165.000,0.000,33.382,3.860,160.732,8.129,0.000
89,27.610,46.118,167.551,163.665,0.000,46.118,3.886,159.488,8.063,0.000
90,27.988,28.477,166.244,162.329,0.000,28.477,3.915,158.246,7.998,0.000
91,28.365,10.752,164.939,160.994,0.000,10.752,3.946,157.007,7.932,0.000
92,28.743,16.365,163.637,159.658,0.000,16.365,3.979,155.770,7.867,0.000
93,29.120,46.001,162.337,158.322,0.000,46.001,4.015,154.535,7.802,0.000
94,29.497,19.043,161.040,156.987,0.000,19.043,4.053,153.303,7.737,0.000
95,29.875,28.126,159.745,155.651,0.000,28.126,4.094,152.073,7.672,0.000
96,30.252,28.990,158.453,154.316,0.000,28.990,4.137,150.845,7.608,0.000
97,30.630,10.806,157.163,152.980,0.000,10.806,4.183,149.620,7.543,0.000
98,31.007,37.180,155.876,151.645,0.000,37.180,4.231,148.397,7.479,0.000
99,31.385,17.282,154.592,150.309,0.000,17.282,4.283,147.178,7.414,0.000
100,31.763,6.828,153.312,148.973,0.000,6.828,4.339,145.962,7.350,0.000
101,32.140,25.761,152.036,147.638,0.000,25.761,4.398,144.751,7.286,0.000
102,32.518,25.492,150.766,146.302,0.000,25.492,4.463,143.544,7.221,0.000
103,32.895,43.650,149.501,144.967,0.000,43.650,4.534,142.343,7.157,0.000
104,33.273,24.576,148.243,143.631,0.000,24.576,4.612,141.149,7.094,0.000
105,33.651,19.205,146.993,142.296,0.000,19.205,4.698,139.964,7.030,0.000
106,34.028,14.839,145.753,140.960,0.000,14.839,4.793,138.787,6.966,0.000
107,34.406,29.546,144.524,139.624,0.000,29.546,4.900,137.622,6.903,0.000
108,34.783,28.818,143.308,138.289,0.000,28.818,5.019,136.469,6.839,0.000
109,35.161,28.455,142.106,136.953,0.000,28.455,5.152,135.330,6.776,0.000
110,35.539,55.045,140.920,135.618,0.000,55.045,5.302,134.207,6.712,0.000
111,35.917,60.828,139.753,134.282,0.000,60.828,5.471,133.103,6.649,0.000
112,36.294,72.396,138.606,132.946,0.000,72.396,5.659,132.020,6.586,0.000
113,36.672,61.174,137.482,131.611,0.000,61.174,5.871,130.958,6.523,0.000
114,37.050,0.000,136.382,130.275,0.000,-12.714,6.107,129.921,6.461,0.000
115,37.428,64.202,135.309,128.940,0.000,64.202,6.369,128.910,6.398,0.000
116,37.806,33.848,134.264,127.604,0.000,33.848,6.659,127.928,6.336,0.000
117,38.183,56.633,133.248,126.269,0.000,56.633,6.980,126.975,6.274,0.000
118,38.561,72.058,132.264,124.933,0.000,72.058,7.331,126.052,6.212,0.000
119,38.939,67.373,131.311,123.597,0.000,67.373,7.713,125.161,6.150,0.000
120,39.317,59.629,130.390,122.262,0.000,59.629,8.128,124.302,6.088,0.000
121,39.695,95.422,129.501,120.926,0.000,95.422,8.574,123.473,6.027,0.000
122,40.073,78.009,128.642,119.591,0.000,78.009,9.050,122.675,5.966,0.000
123,40.451,126.887,127.811,118.255,0.000,126.887,9.555,121.905,5.906,0.000
124,40.829,87.902,127.007,116.920,0.000,87.902,10.086,121.161,5.845,0.000
125,41.207,70.895,126.224,115.584,0.000,70.895,10.639,120.439,5.785,0.000
126,41.585,88.751,125.460,114.248,0.000,88.751,11.209,119.735,5.726,0.000
127,41.963,98.748,124.709,112.913,0.000,98.748,11.793,119.043,5.667,0.000
128,42.341,115.813,123.965,111.577,0.000,115.813,12.383,118.357,5.608,0.000
129,42.719,123.219,123.220,110.242,0.000,123.219,12.972,117.671,5.549,0.000
130,43.097,140.568,122.468,108.906,0.000,140.568,13.553,116.977,5.492,0.000
131,43.475,76.833,121.701,107.571,0.000,76.833,14.118,116.267,5.434,0.000
132,43.853,129.887,120.910,106.235,0.000,129.887,14.659,115.533,5.377,0.000
133,44.231,105.843,120.087,104.899,0.000,105.843,15.166,114.767,5.321,0.000
134,44.609,138.383,119.224,103.564,0.000,138.383,15.632,113.960,5.265,0.000
135,44.987,135.223,118.313,102.228,0.000,135.223,16.048,113.105,5.209,0.000
136,45.365,108.885,117.347,100.893,0.000,108.885,16.407,112.194,5.153,0.000
137,45.743,100.982,116.319,99.557,0.000,100.982,16.701,111.221,5.098,0.000
138,46.122,114.215,115.224,98.222,0.000,114.215,16.924,110.180,5.044,0.000
139,46.500,138.469,114.057,96.886,0.000,138.469,17.072,109.068,4.989,0.000
140,46.878,99.743,112.815,95.550,0.000,99.743,17.141,107.881,4.935,0.000
141,47.256,110.842,111.498,94.215,0.000,110.842,17.129,106.618,4.880,0.000
142,47.634,160.346,110.104,92.879,0.000,160.346,17.034,105.279,4.826,0.000
143,48.013,127.845,110.578,93.485,0.000,127.845,16.858,105.712,4.866,0.000
144,48.391,123.964,110.980,94.091,0.000,123.964,16.602,106.074,4.906,0.000
145,48.769,134.082,111.315,94.697,0.000,134.082,16.270,106.369,4.946,0.000
146,49.147,167.392,111.589,95.303,0.000,167.392,15.867,106.603,4.986,0.000
147,49.526,134.671,111.808,95.909,0.000,134.671,15.399,106.782,5.026,0.000
148,49.904,158.983,111.980,96.514,0.000,158.983,14.871,106.915,5.065,0.000
149,50.283,161.109,112.113,97.120,0.000,161.109,14.293,107.010,5.103,0.000
150,50.661,132.820,112.217,97.726,0.000,132.820,13.671,107.076,5.141,0.000
151,51.039,128.274,112.299,98.332,0.000,128.274,13.014,107.121,5.178,0.000
152,51.418,185.966,112.368,98.938,0.000,185.966,12.330,107.154,5.214,0.000
153,51.796,177.828,112.434,99.544,0.000,177.828,11.628,107.185,5.250,0.000
154,52.175,177.644,112.504,100.150,0.000,177.644,10.915,107.220,5.284,0.000
155,52.553,166.764,112.585,100.755,0.000,166.764,10.199,107.268,5.317,0.000
156,52.931,180.924,112.683,101.361,0.000,180.924,9.487,107.334,5.349,0.000
157,53.310,183.599,112.804,101.967,0.000,183.599,8.785,107.424,5.380,0.000
158,53.688,150.490,112.953,102.573,0.000,150.490,8.099,107.543,5.410,0.000
159,54.067,177.499,113.134,103.179,0.000,177.499,7.434,107.695,5.439,0.000
160,54.445,160.424,113.348,103.785,0.000,160.424,6.793,107.881,5.467,0.000
161,54.824,187.457,113.597,104.391,0.000,187.457,6.180,108.104,5.494,0.000
162,55.203,181.185,113.883,104.996,0.000,181.185,5.598,108.364,5.520,0.000
163,55.581,165.207,114.206,105.602,0.000,165.207,5.048,108.661,5.545,0.000
164,55.960,204.100,114.563,106.208,0.000,204.100,4.532,108.994,5.569,0.000
165,56.338,137.476,114.956,106.814,0.000,137.476,4.050,109.362,5.593,0.000
166,56.717,122.881,115.381,107.420,0.000,122.881,3.604,109.764,5.617,0.000
167,57.096,141.186,115.837,108.026,0.000,141.186,3.192,110.197,5.640,0.000
168,57.474,223.132,116.322,108.632,0.000,223.132,2.813,110.659,5.663,0.000
169,57.853,208.794,116.834,109.237,0.000,208.794,2.468,111.148,5.686,0.000
170,58.232,159.173,117.371,109.843,0.000,159.173,2.155,111.661,5.709,0.000
171,58.610,142.795,117.930,110.449,0.000,142.795,1.872,112.197,5.732,0.000
172,58.989,147.503,118.510,111.055,0.000,147.503,1.618,112.754,5.756,0.000
173,59.368,238.858,119.109,111.661,0.000,238.858,1.391,113.329,5.780,0.000
174,59.747,177.395,119.726,112.267,0.000,177.395,1.189,113.922,5.804,0.000
175,60.125,220.217,120.360,112.873,0.000,220.217,1.012,114.531,5.829,0.000
176,60.504,232.322,121.011,113.479,0.000,232.322,0.856,115.156,5.855,0.000
177,60.883,176.871,121.679,114.084,0.000,176.871,0.720,115.798,5.881,0.000
178,61.262,168.417,122.364,114.690,0.000,168.417,0.602,116.456,5.908,0.000
179,61.641,146.503,123.067,115.296,0.000,146.503,0.500,117.132,5.935,0.000
180,62.020,189.466,123.791,115.902,0.000,189.466,0.413,117.827,5.964,0.000
181,62.398,189.016,124.537,116.508,0.000,189.016,0.339,118.544,5.993,0.000
182,62.777,167.576,125.309,117.114,0.000,167.576,0.277,119.286,6.023,0.000
183,63.156,200.799,126.109,117.720,0.000,200.799,0.224,120.055,6.054,0.000
184,63.535,206.261,126.944,118.325,0.000,206.261,0.180,120.858,6.086,0.000
185,63.914,212.080,127.817,118.931,0.000,212.080,0.144,121.699,6.118,0.000
186,64.293,213.056,128.734,119.537,0.000,213.056,0.115,122.583,6.151,0.000
187,64.672,187.086,129.704,120.143,0.000,187.086,0.090,123.518,6.185,0.000
188,65.051,190.047,130.732,120.749,0.000,190.047,0.071,124.512,6.220,0.000
189,65.430,204.460,131.828,121.355,0.000,204.460,0.055,125.573,6.255,0.000
190,65.809,208.223,133.000,121.961,0.000,208.223,0.043,126.709,6.291,0.000
191,66.188,209.459,134.259,122.566,0.000,209.459,0.033,127.932,6.328,0.000
192,66.567,216.721,135.616,123.172,0.000,216.721,0.025,129.251,6.365,0.000
193,66.946,198.986,137.080,123.778,0.000,198.986,0.019,130.677,6.403,0.000
194,67.325,209.378,138.663,124.384,0.000,209.378,0.014,132.221,6.442,0.000
195,67.704,238.437,140.377,124.990,0.000,238.437,0.011,133.895,6.482,0.000
196,68.084,211.988,142.232,125.596,0.000,211.988,0.008,135.710,6.523,0.000
197,68.463,231.754,144.240,126.202,0.000,231.754,0.006,137.675,6.564,0.000
198,68.842,227.972,146.408,126.807,0.000,227.972,0.004,139.801,6.607,0.000
199,69.221,196.826,148.747,127.413,0.000,196.826,0.003,142.096,6.651,0.000
200,69.600,234.825,151.263,128.019,0.000,234.825,0.002,144.566,6.697,0.000
201,69.979,258.961,153.960,128.625,0.000,258.961,0.002,147.215,6.745,0.000
202,70.359,225.502,156.841,129.231,0.000,225.502,0.001,150.047,6.794,0.000
203,70.738,229.885,159.906,129.837,0.000,229.885,0.001,153.061,6.846,0.000
204,71.117,213.664,163.152,130.443,0.000,213.664,0.001,156.252,6.900,0.000
205,71.496,274.958,166.570,131.048,0.000,274.958,0.000,159.614,6.957,0.000
206,71.876,297.348,170.152,131.654,0.000,297.348,0.000,163.135,7.017,0.000
207,72.255,263.912,173.882,132.260,0.000,263.912,0.000,166.802,7.080,0.000
208,72.634,285.421,177.742,132.866,0.000,285.421,0.000,170.595,7.147,0.000
209,73.014,177.895,181.710,133.472,0.000,177.895,0.000,174.492,7.219,0.000
210,73.393,283.551,185.761,134.078,0.000,283.551,0.000,178.466,7.295,0.000
211,73.772,281.088,189.863,134.684,0.000,281.088,0.000,182.488,7.375,0.000
212,74.152,294.375,193.986,135.290,0.000,294.375,0.000,186.525,7.461,0.000
213,74.531,290.300,198.094,135.895,0.000,290.300,0.000,190.541,7.552,0.000
214,74.911,340.173,202.148,136.501,0.000,340.173,0.000,194.499,7.650,0.000
215,75.290,292.247,206.112,137.107,0.000,292.247,0.000,198.359,7.753,0.000
216,75.669,355.490,209.943,137.713,0.000,355.490,0.000,202.081,7.863,0.000
217,76.049,393.137,213.605,138.319,0.000,393.137,0.000,205.626,7.979,0.000
218,76.428,324.902,217.056,138.925,0.000,324.902,0.000,208.954,8.102,0.000
219,76.808,293.707,220.262,139.531,0.000,293.707,0.000,212.030,8.232,0.000
220,77.187,301.551,223.187,140.136,0.000,301.551,0.000,214.818,8.369,0.000
221,77.567,284.302,225.801,140.742,0.000,284.302,0.000,217.288,8.513,0.000
222,77.946,306.642,228.078,141.348,0.000,306.642,0.000,219.414,8.664,0.000
223,78.326,255.049,229.996,141.954,0.000,255.049,0.000,221.175,8.821,0.000
224,78.706,336.056,231.539,142.560,0.000,336.056,0.000,222.555,8.984,0.000
225,79.085,292.207,232.697,143.166,0.000,292.207,0.000,223.544,9.153,0.000
