ch,keV,net,model,continuum_raw,untied_tail,fit,Pb-212,Ra-224,continuum
0,-5.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-5.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-4.782,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-4.406,0.000,0.000,0.000,0.000,-0.005,0.000,0.000,0.000
5,-4.030,2.714,0.000,0.000,0.000,2.714,0.000,0.000,0.000
6,-3.654,2.703,0.000,0.000,0.000,2.703,0.000,0.000,0.000
7,-3.278,4.584,0.000,0.000,0.000,4.584,0.000,0.000,0.000
8,-2.902,4.506,0.000,0.000,0.000,4.506,0.000,0.000,0.000
9,-2.526,4.674,0.000,0.000,0.000,4.674,0.000,0.000,0.000
10,-2.150,6.840,0.000,0.000,0.000,6.840,0.000,0.000,0.000
11,-1.774,8.627,0.000,0.000,0.000,8.627,0.000,0.000,0.000
12,-1.398,12.752,0.000,0.000,0.000,12.752,0.000,0.000,0.000
13,-1.022,9.535,0.000,0.000,0.000,9.535,0.000,0.000,0.000
14,-0.646,10.405,0.000,0.000,0.000,10.405,0.000,0.000,0.000
15,-0.269,11.449,0.000,0.000,0.000,11.449,0.000,0.000,0.000
16,0.107,8.656,0.000,0.000,0.000,8.656,0.000,0.000,0.000
17,0.483,9.619,0.000,0.000,0.000,9.619,0.000,0.000,0.000
18,0.859,7.486,0.000,0.000,0.000,7.486,0.000,0.000,0.000
19,1.235,15.521,0.000,0.000,0.000,15.521,0.000,0.000,0.000
20,1.611,15.170,65.962,65.962,0.000,15.170,0.000,0.000,65.962
21,1.988,8.486,69.271,69.271,0.000,8.486,0.000,0.000,69.271
22,2.364,13.589,72.564,72.564,0.000,13.589,0.000,0.000,72.564
23,2.740,17.234,75.840,75.840,0.000,17.234,0.000,0.000,75.840
24,3.116,17.467,79.100,79.100,0.000,17.467,0.000,0.000,79.100
25,3.493,20.397,82.344,82.344,0.000,20.397,0.000,0.000,82.344
26,3.869,31.371,85.573,85.573,0.000,31.371,0.000,0.000,85.573
27,4.245,55.371,88.789,88.789,0.000,55.371,0.000,0.000,88.789
28,4.622,61.099,91.993,91.993,0.000,61.099,0.000,0.000,91.993
29,4.998,69.649,95.186,95.186,0.000,69.649,0.000,0.000,95.186
30,5.374,108.441,98.371,98.371,0.000,108.441,0.000,0.000,98.371
31,5.751,143.000,101.547,101.547,0.000,143.000,0.000,0.000,101.547
32,6.127,168.172,104.716,104.716,0.000,168.172,0.000,0.000,104.716
33,6.504,188.075,107.880,107.880,0.000,188.075,0.000,0.000,107.880
34,6.880,201.229,111.039,111.039,0.000,201.229,0.000,0.000,111.039
