ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Backscatter,DE-1588,SE-1631,DE-1631,Xray-Th,SE-1588,Xray-La,continuum
33,-2.382,0.000,-7434.886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,-1.994,0.000,-7562.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,-1.605,0.000,-7699.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,-1.217,0.000,-7779.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,-0.828,0.000,-7907.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,-0.439,0.000,-8026.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,-0.051,0.000,-8194.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0.337,0.000,-8301.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,0.726,0.000,-8431.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,1.114,0.000,-8522.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,1.502,0.000,-8711.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,1.891,0.000,-8792.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,2.279,0.000,-8931.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,2.667,0.000,-8988.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,3.055,0.000,-9188.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,3.443,0.000,-9263.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,3.831,0.000,-9375.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,4.219,0.000,-9556.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,4.607,0.000,-9623.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,4.995,0.000,-9768.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,5.383,0.000,-9897.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,5.771,0.000,-9783.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,6.159,0.000,-9381.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,6.546,0.000,-8840.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,6.934,0.000,-7982.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,7.322,0.000,-7051.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,7.709,0.000,-6128.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,8.097,0.000,-5303.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,8.484,0.000,-4212.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,8.872,0.000,-3945.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,9.259,0.000,-3331.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,9.647,0.000,-2788.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,10.034,0.000,-2723.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,10.421,0.000,-2510.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,10.809,0.000,-2411.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,11.196,0.000,-2454.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,11.583,0.000,-2501.915,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,11.970,0.000,-2287.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71,12.357,0.000,-2422.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72,12.744,0.000,-2487.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73,13.131,0.000,-2324.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
74,13.518,0.000,-2295.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75,13.905,0.000,-2427.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
76,14.292,0.000,-2181.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
77,14.679,0.000,-2401.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
78,15.066,0.000,-2347.918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
79,15.453,0.000,-1907.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80,15.839,0.000,-2159.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
81,16.226,0.000,-2056.899,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82,16.613,0.000,-2223.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
83,16.999,0.000,-2058.834,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
84,17.386,0.000,-2085.201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
85,17.772,0.000,-2172.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
86,18.159,0.000,-1922.923,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
87,18.545,0.000,-1798.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
88,18.931,0.000,-1798.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
89,19.318,0.000,-1885.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
90,19.704,0.000,-1909.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
91,20.090,0.000,-1824.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
92,20.477,0.000,-1953.322,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
93,20.863,0.000,-1932.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
94,21.249,0.000,-1644.467,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
95,21.635,0.000,-1552.693,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
96,22.021,0.000,-1501.456,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
97,22.407,0.000,-1753.683,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
98,22.793,0.000,-1416.211,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000
99,23.179,0.000,-1227.449,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000
100,23.565,0.000,-1316.770,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000
101,23.951,0.000,-1261.371,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.000
102,24.336,0.000,-1091.989,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000
103,24.722,0.000,-1319.570,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.134,0.000
104,25.108,0.000,-1158.756,0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.281,0.000
105,25.494,0.000,-1080.561,0.573,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.570,0.000
106,25.879,0.000,-1312.719,1.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,1.118,0.000
107,26.265,0.000,-1113.398,2.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,2.119,0.000
108,26.650,0.000,-1041.805,3.905,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.000,3.880,0.000
109,27.036,0.000,-1017.438,6.916,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.000,0.000,6.868,0.000
110,27.421,0.000,-1008.363,11.839,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000,11.748,0.000
111,27.807,0.000,-991.555,19.589,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.166,0.000,0.000,0.000,0.000,0.000,19.423,0.000
112,28.192,0.000,-1049.298,31.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.295,0.000,0.000,0.000,0.000,0.000,31.034,0.000
113,28.578,0.000,-939.075,48.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.508,0.000,0.000,0.000,0.000,0.000,47.924,0.000
114,28.963,0.000,-1145.481,72.375,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.846,0.000,0.000,0.000,0.000,0.000,71.528,0.000
115,29.348,0.000,-906.309,104.552,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,1.366,0.000,0.000,0.000,0.000,0.000,103.184,0.000
116,29.733,0.000,-829.526,146.013,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,2.138,0.000,0.000,0.000,0.000,0.000,143.871,0.000
117,30.119,0.000,-816.603,197.149,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,3.241,0.000,0.000,0.000,0.000,0.000,193.898,0.000
118,30.504,0.000,-476.254,257.383,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,4.764,0.000,0.000,0.000,0.000,0.000,252.599,0.000
119,30.889,0.000,-294.216,324.930,0.000,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000,6.787,0.000,0.000,0.000,0.000,0.000,318.106,0.000
120,31.274,0.000,-275.857,396.724,0.000,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.000,9.374,0.000,0.000,0.000,0.000,0.000,387.280,0.000
121,31.659,3.034,3.034,468.550,0.000,0.000,0.000,0.000,0.128,0.000,0.000,0.000,0.000,0.000,12.552,0.000,0.000,0.000,0.000,0.000,455.870,0.000
122,32.044,67.807,67.807,535.426,0.000,0.000,0.000,0.000,0.228,0.000,0.000,0.000,0.000,0.000,16.295,0.000,0.000,0.000,0.000,0.000,518.903,0.000
123,32.429,216.696,216.696,592.198,0.000,0.000,0.000,0.000,0.394,0.000,0.000,0.000,0.000,0.000,20.515,0.000,0.000,0.000,0.000,0.000,571.289,0.000
124,32.814,301.674,301.674,634.254,0.000,0.000,0.000,0.000,0.663,0.000,0.000,0.000,0.000,0.000,25.046,0.000,0.000,0.000,0.000,0.000,608.545,0.000
125,33.199,848.303,848.303,658.225,0.000,0.000,0.000,0.000,1.085,0.000,0.000,0.000,0.000,0.000,29.657,0.000,0.000,0.000,0.000,0.000,627.484,0.000
126,33.584,893.053,893.053,662.529,0.000,0.000,0.000,0.000,1.726,0.000,0.000,0.000,0.000,0.000,34.060,0.000,0.000,0.000,0.000,0.000,626.742,0.000
127,33.968,1267.492,1267.492,894.328,246.697,64.943,37.323,58.106,8.623,4.420,0.814,0.077,0.052,40.800,58.977,2.995,1.906,2.047,5.188,0.901,607.156,0.000
128,34.353,1352.872,1352.872,1109.357,493.395,129.895,74.651,116.220,15.926,8.840,1.629,0.153,0.104,81.607,83.074,5.990,3.813,4.095,10.377,1.802,571.179,0.000
129,34.738,1740.499,1740.499,1311.601,740.092,194.856,111.984,174.342,23.748,13.260,2.443,0.230,0.155,122.418,106.098,8.986,5.720,6.143,15.567,2.703,522.944,0.000
130,35.122,1706.873,1706.873,1505.956,986.789,259.824,149.322,232.470,32.203,17.682,3.258,0.307,0.207,163.235,127.879,11.982,7.627,8.192,20.757,3.604,467.403,0.000
131,35.507,1934.788,1934.788,1697.470,1233.487,324.799,186.663,290.605,41.395,22.103,4.072,0.384,0.259,204.055,148.352,14.978,9.535,10.240,25.948,4.505,409.571,0.000
132,35.892,2416.148,2416.148,1890.650,1480.184,389.780,224.007,348.744,51.396,26.525,4.887,0.460,0.311,244.879,167.570,17.974,11.442,12.289,31.139,5.407,353.833,0.000
133,36.276,2534.454,2534.454,2088.927,1726.881,454.764,261.354,406.887,62.230,30.948,5.702,0.537,0.363,285.706,185.694,20.971,13.350,14.338,36.331,6.308,303.440,0.000
134,36.661,3005.093,3005.093,2294.376,1973.579,519.751,298.702,465.032,73.848,35.370,6.516,0.614,0.415,326.534,202.968,23.968,15.257,16.387,41.523,7.210,260.273,0.000
135,37.045,3264.332,3264.332,2507.695,2220.276,584.741,336.052,523.180,86.115,39.793,7.331,0.690,0.466,367.364,219.688,26.965,17.165,18.436,46.715,8.111,224.873,0.000
136,37.430,3502.437,3502.437,2728.395,2466.973,649.733,373.403,581.330,98.801,44.216,8.146,0.767,0.518,408.195,236.163,29.962,19.073,20.485,51.907,9.013,196.673,0.000
137,37.814,3619.769,3619.769,2955.149,2713.671,714.728,410.755,639.482,111.588,48.639,8.961,0.844,0.570,449.028,252.679,32.959,20.981,22.534,57.099,9.914,174.376,0.000
138,38.198,3743.749,3743.749,3186.175,2960.368,779.724,448.109,697.636,124.088,53.062,9.776,0.921,0.622,489.862,269.472,35.956,22.889,24.583,62.292,10.816,156.356,0.000
139,38.583,3821.573,3821.573,3419.624,3207.065,844.723,485.463,755.791,135.878,57.485,10.591,0.997,0.674,530.697,286.714,38.954,24.797,26.632,67.485,11.718,141.012,0.000
140,38.967,3818.557,3818.557,3653.864,3453.763,909.723,522.819,813.948,146.541,61.909,11.406,1.074,0.726,571.534,304.505,41.951,26.705,28.681,72.677,12.619,127.032,0.000
141,39.351,4057.047,4057.047,3887.685,3700.460,974.725,560.176,872.107,155.719,66.332,12.221,1.151,0.778,612.372,322.882,44.949,28.613,30.731,77.870,13.521,113.524,0.000
142,39.736,3952.096,3952.096,4120.369,3947.158,1039.729,597.534,930.267,163.153,70.756,13.036,1.228,0.829,653.210,341.830,47.946,30.522,32.780,83.064,14.423,100.047,0.000
143,40.120,3799.846,3799.846,4351.687,4193.855,1104.733,634.892,988.428,168.722,75.180,13.851,1.304,0.881,694.049,361.299,50.944,32.430,34.830,88.257,15.324,86.546,0.000
144,40.504,3551.352,3551.352,4581.814,4440.552,1169.738,672.250,1046.589,172.454,79.604,14.666,1.381,0.933,734.889,381.220,53.942,34.338,36.879,93.450,16.226,73.238,0.000
145,40.888,3630.415,3630.415,4811.214,4687.250,1234.743,709.609,1104.751,174.525,84.027,15.481,1.458,0.985,775.728,401.520,56.939,36.246,38.929,98.643,17.128,60.484,0.000
146,41.272,3310.747,3310.747,5040.501,4933.947,1299.748,746.967,1162.912,175.237,88.451,16.296,1.535,1.037,816.567,422.129,59.937,38.155,40.978,103.836,18.029,48.668,0.000
147,41.656,3142.010,3142.010,5270.329,5180.644,1364.751,784.325,1221.072,174.976,92.875,17.111,1.611,1.089,857.406,442.993,62.935,40.063,43.027,109.030,18.931,38.115,0.000
