каталог данных: C:\Users\moroz\bqp14_out\p0
промах линии над хордой через две опоры, кэВ: данные (изм−мод, изм−таб) против трёх кривых r(E)
спектр            хорда          линия   доля      z |   д(и−м)   д(и−т) |   модель     litA     litB | опора
G1S16_Eu152_P5    121.782-1408.01   244.7   0.40    271 |    -1.02    -1.92 |    +0.20    +0.58    +4.09 | отказ share
G1S16_Eu152_P5    121.782-1408.01   344.3   0.77    549 |    -0.24    -0.48 |    +0.60    +1.74    +4.48 | отказ outlier
G1S16_Eu152_P5    121.782-1408.01   778.9   0.47    198 |    -1.28    -2.16 |    +0.77    +2.23    -3.51 | отказ share
G1S16_Eu152_P5    121.782-1408.01   964.1   0.55    198 |    -2.22    -2.15 |    +0.47    +1.36    -2.55 | принята
G1S16_Eu152_P5    121.782-1408.01  1112.1   0.69    288 |    -1.45   -13.36 |    +0.36    +1.05    -1.65 | принята
G1S24_Eu152_P5    121.782-1408.01   244.7   0.40    777 |    -2.78    -3.66 |    +0.20    +0.58    +4.09 | отказ share
G1S24_Eu152_P5    121.782-1408.01   344.3   0.78   1685 |    -1.26    -1.62 |    +0.60    +1.74    +4.48 | принята
G1S24_Eu152_P5    121.782-1408.01   778.9   0.48    597 |    -1.48    -2.63 |    +0.77    +2.23    -3.51 | отказ share
G1S24_Eu152_P5    121.782-1408.01   964.1   0.55    601 |    -1.43    -1.69 |    +0.47    +1.36    -2.55 | принята
G1S24_Eu152_P5    121.782-1408.01  1112.1   0.69    836 |    -1.06   -13.47 |    +0.36    +1.05    -1.65 | принята
G1S16_Eu152_P25   121.782-1408.01   244.7   0.38     89 |    +0.02    -0.89 |    +0.20    +0.58    +4.09 | отказ share
G1S16_Eu152_P25   121.782-1408.01   344.3   0.72    214 |    -0.45    -0.71 |    +0.60    +1.74    +4.48 | отказ outlier
G1S16_Eu152_P25   121.782-1408.01   778.9   0.50     83 |    -0.93    -1.74 |    +0.77    +2.23    -3.51 | принята
G1S16_Eu152_P25   121.782-1408.01   964.1   0.62     89 |    -1.92    -2.03 |    +0.47    +1.36    -2.55 | принята
G1S16_Eu152_P25   121.782-1408.01  1112.1   0.76    126 |    -1.68   -13.71 |    +0.36    +1.05    -1.65 | принята
G1S16_Ba133_P5    80.998-356.013   302.9   0.60    367 |    +0.62    -0.08 |    -0.06    +0.11    +1.49 | принята
G1S24_Ba133_P5    80.998-356.013   302.9   0.48    412 |    -2.14    -2.91 |    -0.06    +0.11    +1.49 | отказ share
G1S16_Ba133_P25   80.998-356.013   302.9   0.63    110 |    +0.37    -0.37 |    -0.06    +0.11    +1.49 | принята
G1S16_Th228_P5    238.632-2614.51   510.8   0.57     62 |    +2.21    +2.00 |    +0.83    +2.42    -2.89 | принята
G1S16_Th228_P5    238.632-2614.51   583.2   0.87    129 |    +1.14    +2.54 |    +0.91    +2.65    -5.40 | принята
G1S16_Th228_P5    238.632-2614.51   727.3   0.62     46 |    +0.71    +1.84 |    +0.95    +2.77    -8.37 | принята
G1S16_Th228_P5    238.632-2614.51   860.6   0.52     32 |    +2.29    +2.37 |    +0.92    +2.68    -7.74 | принята
G1S24_Th228_P5    238.632-2614.51   510.8   0.45    523 |    -0.10    -0.31 |    +0.83    +2.42    -2.89 | отказ share
G1S24_Th228_P5    238.632-2614.51   583.2   0.79   1216 |    +0.33    +1.85 |    +0.91    +2.65    -5.40 | принята
G1S24_Th228_P5    238.632-2614.51   727.3   0.58    471 |    +0.53    +1.72 |    +0.95    +2.77    -8.37 | принята
G1S24_Th228_P5    238.632-2614.51   860.6   0.46    306 |    +1.86    +2.05 |    +0.92    +2.68    -7.74 | отказ share
G1S24_Th228_P25   238.632-2614.51   510.8   0.50    117 |    -1.13    -1.66 |    +0.83    +2.42    -2.89 | принята
G1S24_Th228_P25   238.632-2614.51   583.2   0.83    261 |    -2.57    -1.44 |    +0.91    +2.65    -5.40 | принята
G1S24_Th228_P25   238.632-2614.51   727.3   0.62     91 |    -2.13    -0.89 |    +0.95    +2.77    -8.37 | принята
G1S24_Th228_P25   238.632-2614.51   860.6   0.56     61 |    -2.75    -2.96 |    +0.92    +2.68    -7.74 | принята
G1S24_Bi207_P5    569.698-1063.66  1770.2   0.87    213 |    -4.47    -5.56 |    +0.05    +0.16    +6.24 | принята
G1S16_Bi207_P5    569.698-1063.66 нет опор хорды (False / False)
G1S16_Ba133_P5    30.973-356.013    81.0   0.84    798 |    +3.70    +3.62 |    +1.32    +4.79    +3.73 | отказ outlier
G1S16_Ba133_P5    30.973-356.013   302.9   0.60    367 |    +1.34    +0.63 |    +0.19    +1.04    +2.19 | принята
G1S24_Ba133_P5    30.973-356.013    81.0   0.82   1078 |    +4.33    +4.19 |    +1.32    +4.79    +3.73 | отказ outlier
G1S24_Ba133_P5    30.973-356.013   302.9   0.48    412 |    -1.31    -2.10 |    +0.19    +1.04    +2.19 | отказ share
G1S16_Ba133_P25   30.973-356.013    81.0   0.82    208 |    +3.32    +3.26 |    +1.32    +4.79    +3.73 | отказ outlier
G1S16_Ba133_P25   30.973-356.013   302.9   0.63    110 |    +1.01    +0.26 |    +0.19    +1.04    +2.19 | принята
G1S16_Eu152_P5    40.117-1408.01   121.8   0.72    673 |    +4.93    +5.16 |    +0.46    +5.86    +7.01 | отказ outlier
G1S16_Eu152_P5    40.117-1408.01   244.7   0.40    271 |    +3.44    +2.74 |    +0.61    +5.88   +10.41 | отказ share
G1S16_Eu152_P5    40.117-1408.01   344.3   0.77    549 |    +3.84    +3.79 |    +0.98    +6.58   +10.26 | отказ outlier
G1S16_Eu152_P5    40.117-1408.01   964.1   0.55    198 |    -0.52    -0.37 |    +0.63    +3.38    -0.12 | принята
G1S24_Eu152_P5    40.117-1408.01   121.8   0.79   2239 |    +3.40    +3.68 |    +0.46    +5.86    +7.01 | отказ outlier
G1S24_Eu152_P5    40.117-1408.01   244.7   0.40    777 |    +0.30    -0.33 |    +0.61    +5.88   +10.41 | отказ share
G1S24_Eu152_P5    40.117-1408.01   344.3   0.78   1685 |    +1.56    +1.42 |    +0.98    +6.58   +10.26 | принята
G1S24_Eu152_P5    40.117-1408.01   964.1   0.55    601 |    -0.26    -0.42 |    +0.63    +3.38    -0.12 | принята
G1S16_Th228_P5    77.107-2614.51   238.6   0.84    246 |    +4.06    +4.17 |    +0.19    +2.15    +6.32 | отказ outlier
G1S16_Th228_P5    77.107-2614.51   583.2   0.87    129 |    +4.61    +6.11 |    +1.07    +4.49    +0.02 | принята
G1S16_Th228_P5    77.107-2614.51   860.6   0.52     32 |    +5.29    +5.45 |    +1.06    +4.26    -3.05 | принята
G1S24_Th228_P5    77.107-2614.51   238.6   0.79   2381 |    -0.51    -0.59 |    +0.19    +2.15    +6.32 | принята
G1S24_Th228_P5    77.107-2614.51   583.2   0.79   1216 |    -0.11    +1.34 |    +1.07    +4.49    +0.02 | принята
G1S24_Th228_P5    77.107-2614.51   860.6   0.46    306 |    +1.48    +1.61 |    +1.06    +4.26    -3.05 | отказ share

сводка по линиям (гамма-хорды, доля ядра ≥ 0.4): среднее д(и−м) по спектрам, предсказания, отношение данные/кривая
хорда            линия   n |   д(и−м)   д(и−т) |   модель     litA     litB |  д/мод д/litA д/litB
77.107-2614.51   238.6   2 |    +1.77    +1.79 |    +0.19    +2.15    +6.32 |   9.52   0.83   0.28
77.107-2614.51   583.2   2 |    +2.25    +3.72 |    +1.07    +4.49    +0.02 |   2.10   0.50    —  
77.107-2614.51   860.6   2 |    +3.38    +3.53 |    +1.06    +4.26    -3.05 |   3.19   0.79  -1.11
80.998-356.013   302.9   3 |    -0.38    -1.12 |    -0.06    +0.11    +1.49 |   6.17  -3.39  -0.26
121.782-1408.01   244.7   2 |    -1.90    -2.79 |    +0.20    +0.58    +4.09 |  -9.58  -3.30  -0.46
121.782-1408.01   344.3   3 |    -0.65    -0.94 |    +0.60    +1.74    +4.48 |  -1.08  -0.37  -0.14
121.782-1408.01   778.9   3 |    -1.23    -2.17 |    +0.77    +2.23    -3.51 |  -1.60  -0.55   0.35
121.782-1408.01   964.1   3 |    -1.86    -1.96 |    +0.47    +1.36    -2.55 |  -3.95  -1.36   0.73
121.782-1408.01  1112.1   3 |    -1.40   -13.51 |    +0.36    +1.05    -1.65 |  -3.87  -1.33   0.85
238.632-2614.51   510.8   3 |    +0.33    +0.01 |    +0.83    +2.42    -2.89 |   0.39   0.14  -0.11
238.632-2614.51   583.2   3 |    -0.37    +0.98 |    +0.91    +2.65    -5.40 |  -0.40  -0.14   0.07
238.632-2614.51   727.3   3 |    -0.30    +0.89 |    +0.95    +2.77    -8.37 |  -0.31  -0.11   0.04
238.632-2614.51   860.6   3 |    +0.47    +0.49 |    +0.92    +2.68    -7.74 |   0.51   0.17  -0.06
