ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb
33,-2.382,0.000,-7434.886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,-1.994,0.000,-7562.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,-1.605,0.000,-7699.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,-1.217,0.000,-7779.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,-0.828,0.000,-7907.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,-0.439,0.000,-8026.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,-0.051,0.000,-8194.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0.337,0.000,-8301.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,0.726,0.000,-8431.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,1.114,0.000,-8522.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,1.502,0.000,-8711.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,1.891,0.000,-8792.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,2.279,0.000,-8931.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,2.667,0.000,-8988.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,3.055,0.000,-9188.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,3.443,0.000,-9263.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,3.831,0.000,-9375.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,4.219,0.000,-9556.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,4.607,0.000,-9623.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,4.995,0.000,-9768.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,5.383,0.000,-9897.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,5.771,0.000,-9783.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,6.159,0.000,-9381.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,6.546,0.000,-8840.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,6.934,0.000,-7982.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,7.322,0.000,-7051.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,7.709,0.000,-6128.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,8.097,0.000,-5303.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,8.484,0.000,-4212.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,8.872,0.000,-3945.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,9.259,0.000,-3331.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,9.647,0.000,-2788.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,10.034,0.000,-2723.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,10.421,0.000,-2510.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,10.809,0.000,-2411.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,11.196,0.000,-2454.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,11.583,0.000,-2501.915,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,11.970,0.000,-2287.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71,12.357,0.000,-2422.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72,12.744,0.000,-2487.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73,13.131,0.000,-2324.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
74,13.518,0.000,-2295.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75,13.905,0.000,-2427.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
76,14.292,0.000,-2181.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
77,14.679,0.000,-2401.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
78,15.066,0.000,-2347.918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
79,15.453,0.000,-1907.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80,15.839,0.000,-2159.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
81,16.226,0.000,-2056.899,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82,16.613,0.000,-2223.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
83,16.999,0.000,-2058.834,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
84,17.386,0.000,-2085.201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
85,17.772,0.000,-2172.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
86,18.159,0.000,-1922.923,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
87,18.545,0.000,-1798.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
88,18.931,0.000,-1798.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
89,19.318,0.000,-1885.015,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
90,19.704,0.000,-1909.384,0.002,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
91,20.090,0.000,-1824.263,0.006,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000
92,20.477,0.000,-1953.322,0.015,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000
93,20.863,0.000,-1932.204,0.037,0.000,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000
94,21.249,0.000,-1644.467,0.091,0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000
95,21.635,0.000,-1552.693,0.213,0.000,0.000,0.000,0.000,0.213,0.000,0.000,0.000,0.000,0.000
96,22.021,0.000,-1501.456,0.480,0.000,0.000,0.000,0.000,0.480,0.000,0.000,0.000,0.000,0.000
97,22.407,0.000,-1753.683,1.046,0.000,0.000,0.000,0.000,1.046,0.000,0.000,0.000,0.000,0.000
98,22.793,0.000,-1416.211,2.193,0.000,0.000,0.000,0.000,2.193,0.000,0.000,0.000,0.000,0.000
99,23.179,0.000,-1227.449,4.430,0.000,0.000,0.000,0.000,4.430,0.000,0.000,0.000,0.000,0.000
100,23.565,0.000,-1316.770,8.624,0.000,0.000,0.000,0.000,8.624,0.000,0.000,0.000,0.000,0.000
101,23.951,0.000,-1261.371,16.182,0.000,0.000,0.000,0.000,16.182,0.000,0.000,0.000,0.000,0.000
102,24.336,0.000,-1091.989,29.275,0.000,0.000,0.000,0.000,29.275,0.000,0.000,0.000,0.000,0.000
103,24.722,0.000,-1319.570,51.077,0.000,0.000,0.000,0.000,51.077,0.000,0.000,0.000,0.000,0.000
104,25.108,0.000,-1158.756,85.980,0.000,0.000,0.000,0.000,85.980,0.000,0.000,0.000,0.000,0.000
105,25.494,0.000,-1080.561,139.701,0.000,0.000,0.000,0.000,139.701,0.000,0.000,0.000,0.000,0.000
106,25.879,0.000,-1312.719,219.213,0.000,0.000,0.000,0.000,219.213,0.000,0.000,0.000,0.000,0.000
107,26.265,0.000,-1113.398,332.414,0.000,0.000,0.000,0.000,332.414,0.000,0.000,0.000,0.000,0.000
108,26.650,0.000,-1041.805,487.491,0.000,0.000,0.000,0.000,487.491,0.000,0.000,0.000,0.000,0.000
109,27.036,0.000,-1017.438,692.014,0.000,0.000,0.000,0.000,692.014,0.000,0.000,0.000,0.000,0.000
110,27.421,0.000,-1008.363,951.855,0.000,0.000,0.000,0.000,951.855,0.000,0.000,0.000,0.000,0.000
111,27.807,0.000,-991.555,1270.136,0.000,0.000,0.000,0.000,1270.136,0.000,0.000,0.000,0.000,0.000
112,28.192,0.000,-1049.298,1646.413,0.000,0.000,0.000,0.000,1646.413,0.000,0.000,0.000,0.000,0.000
113,28.578,0.000,-939.075,2076.300,0.000,0.000,0.000,0.000,2076.300,0.000,0.000,0.000,0.000,0.000
114,28.963,0.000,-1145.481,2551.643,0.000,0.000,0.000,0.000,2551.643,0.000,0.000,0.000,0.000,0.000
115,29.348,0.000,-906.309,3061.214,0.000,0.000,0.000,0.000,3061.214,0.000,0.000,0.000,0.000,0.000
116,29.733,0.000,-829.526,3591.745,0.000,0.001,0.000,0.000,3591.744,0.000,0.000,0.000,0.000,0.000
117,30.119,0.000,-816.603,4129.077,0.000,0.002,0.000,0.000,4129.075,0.000,0.000,0.000,0.000,0.000
118,30.504,0.000,-476.254,4659.142,0.000,0.004,0.000,0.000,4659.138,0.000,0.000,0.000,0.000,0.000
119,30.889,0.000,-294.216,5168.630,0.000,0.009,0.000,0.000,5168.620,0.000,0.000,0.000,0.000,0.000
120,31.274,0.000,-275.857,5645.298,0.000,0.021,0.000,0.000,5645.277,0.000,0.000,0.000,0.000,0.000
121,31.659,3.034,3.034,6078.031,0.000,0.048,0.000,0.000,6077.983,0.000,0.000,0.000,0.000,0.000
122,32.044,67.807,67.807,6456.836,0.000,0.104,0.000,0.000,6456.732,0.000,0.000,0.000,0.000,0.000
123,32.429,216.696,216.696,6772.966,0.000,0.222,0.000,0.000,6772.743,0.000,0.000,0.000,0.000,0.000
124,32.814,301.674,301.674,7019.279,0.000,0.463,0.000,0.000,7018.816,0.000,0.000,0.000,0.000,0.000
125,33.199,848.303,848.303,7190.828,0.000,0.938,0.000,0.000,7189.890,0.000,0.000,0.000,0.000,0.000
126,33.584,893.053,893.053,7285.553,0.000,1.851,0.000,0.000,7283.702,0.000,0.000,0.000,0.000,0.000
127,33.968,1267.492,1267.492,7456.802,151.927,57.737,37.183,31.218,7308.087,2.431,0.396,0.059,0.024,19.666
128,34.353,1352.872,1352.872,7557.835,303.853,115.044,74.403,62.467,7260.745,4.863,0.793,0.118,0.049,39.352
129,34.738,1740.499,1740.499,7597.422,455.780,174.699,111.658,93.746,7149.521,7.299,1.190,0.177,0.073,59.056
130,35.122,1706.873,1706.873,7587.233,607.706,238.114,148.948,125.054,6984.676,9.736,1.588,0.236,0.098,78.779
131,35.507,1934.788,1934.788,7540.724,759.633,307.344,186.272,156.390,6777.614,12.176,1.985,0.295,0.122,98.520
132,35.892,2416.148,2416.148,7471.789,911.559,385.226,223.628,187.754,6539.396,14.618,2.383,0.354,0.147,118.278
133,36.276,2534.454,2534.454,7393.412,1063.486,475.462,261.014,219.142,6279.307,17.062,2.782,0.413,0.171,138.052
134,36.661,3005.093,3005.093,7316.561,1215.412,582.588,298.429,250.554,6003.786,19.507,3.181,0.472,0.196,157.840
135,37.045,3264.332,3264.332,7249.500,1367.339,711.762,335.870,281.989,5715.942,21.955,3.580,0.532,0.220,177.643
136,37.430,3502.437,3502.437,7197.577,1519.265,868.314,373.336,313.445,5415.795,24.404,3.979,0.591,0.245,197.459
137,37.814,3619.769,3619.769,7163.456,1671.192,1057.032,410.826,344.920,5101.228,26.854,4.379,0.650,0.269,217.287
138,38.198,3743.749,3743.749,7147.681,1823.118,1281.207,448.339,376.415,4769.492,29.306,4.778,0.710,0.294,237.128
139,38.583,3821.573,3821.573,7149.390,1975.045,1541.577,485.874,407.929,4418.991,31.760,5.179,0.769,0.319,256.981
140,38.967,3818.557,3818.557,7167.031,2126.971,1835.424,523.431,439.461,4050.892,34.215,5.579,0.829,0.344,276.844
141,39.351,4057.047,4057.047,7198.951,2278.898,2156.191,561.008,471.010,3670.100,36.671,5.979,0.888,0.370,296.720
142,39.736,3952.096,3952.096,7243.793,2430.824,2493.938,598.607,502.577,3285.199,39.129,6.380,0.948,0.395,316.605
143,40.120,3799.846,3799.846,7300.684,2582.751,2836.693,636.225,534.161,2907.289,41.588,6.781,1.007,0.422,336.502
144,40.504,3551.352,3551.352,7369.243,2734.677,3172.398,673.864,565.762,2548.048,44.048,7.182,1.067,0.449,356.409
145,40.888,3630.415,3630.415,7449.470,2886.604,3490.847,711.523,597.379,2217.679,46.510,7.584,1.126,0.477,376.327
146,41.272,3310.747,3310.747,7541.562,3038.530,3785.020,749.201,629.013,1923.403,48.972,7.985,1.186,0.507,396.256
147,41.656,3142.010,3142.010,7645.720,3190.457,4051.493,786.900,660.664,1668.840,51.437,8.387,1.246,0.538,416.195
148,42.040,2946.720,2946.720,7761.981,3342.383,4290.025,824.619,692.332,1454.271,53.902,8.789,1.305,0.572,436.144
149,42.424,3332.288,3332.288,7890.093,3494.310,4502.634,862.359,724.017,1277.422,56.369,9.191,1.365,0.609,456.105
150,42.808,2795.902,2795.902,8029.447,3646.237,4692.572,900.120,755.719,1134.430,58.837,9.594,1.425,0.650,476.077
151,43.192,2942.995,2942.995,8179.061,3798.163,4863.442,937.904,787.440,1020.705,61.307,9.996,1.485,0.696,496.062
152,43.575,3026.753,3026.753,8337.601,3950.090,5018.600,975.711,819.180,931.555,63.778,10.399,1.544,0.749,516.059
153,43.959,3083.368,3083.368,8503.446,4102.016,5160.821,1013.543,850.939,862.578,66.251,10.802,1.604,0.811,536.071
154,44.343,3140.461,3140.461,8674.758,4253.943,5292.194,1051.403,882.718,809.840,68.725,11.206,1.664,0.884,556.098
155,44.727,3318.973,3318.973,8849.568,4405.869,5414.145,1089.293,914.517,769.936,71.200,11.609,1.724,0.970,576.146
156,45.110,3728.918,3728.918,9025.865,4557.796,5527.552,1127.220,946.338,739.962,73.678,12.013,1.784,1.072,596.217
157,45.494,3680.176,3680.176,9201.676,4709.722,5632.882,1165.190,978.181,717.459,76.157,12.418,1.844,1.194,616.322
158,45.878,3947.133,3947.133,9375.145,4861.649,5730.335,1203.216,1010.048,700.340,78.637,12.822,1.904,1.339,636.472
159,46.261,4450.820,4450.820,9544.603,5013.575,5819.968,1241.318,1041.941,686.836,81.119,13.227,1.964,1.510,656.688
160,46.645,4490.548,4490.548,9708.638,5165.502,5901.803,1279.525,1073.864,675.445,83.603,13.632,2.025,1.710,677.000
161,47.028,5143.988,5143.988,9866.152,5317.428,5975.905,1317.882,1105.821,664.905,86.088,14.037,2.085,1.941,697.455
162,47.412,5496.743,5496.743,10016.420,5469.355,6042.434,1356.454,1137.822,654.187,88.575,14.442,2.145,2.205,718.121
163,47.795,5880.886,5880.886,10159.131,5621.281,6101.675,1395.336,1169.882,642.487,91.064,14.848,2.205,2.501,739.097
164,48.178,6192.559,6192.559,10294.420,5773.208,6154.038,1434.663,1202.022,629.234,93.554,15.254,2.266,2.829,760.525
165,48.562,6437.436,6437.436,10422.886,5925.134,6200.046,1474.617,1234.274,614.097,96.045,15.660,2.326,3.186,782.597
166,48.945,7298.560,7298.560,10545.582,6077.061,6240.294,1515.446,1266.689,596.978,98.538,16.067,2.386,3.570,805.575
167,49.328,7741.641,7741.641,10663.990,6228.987,6275.405,1557.470,1299.337,578.004,101.032,16.473,2.447,3.976,829.805
168,49.711,7851.541,7851.541,10779.972,6380.914,6305.968,1601.097,1332.317,557.503,103.528,16.880,2.507,4.399,855.731
169,50.094,8457.990,8457.990,10895.703,6532.840,6332.469,1646.828,1365.766,535.969,106.026,17.287,2.568,4.836,883.911
170,50.478,8715.738,8715.738,11013.583,6684.767,6355.233,1695.261,1399.869,514.023,108.526,17.695,2.628,5.282,915.023
171,50.861,9332.608,9332.608,11136.147,6836.693,6374.367,1747.082,1434.864,492.368,111.028,18.102,2.689,5.733,949.871
172,51.244,9926.805,9926.805,11265.965,6988.620,6389.730,1803.046,1471.055,471.736,113.533,18.510,2.749,6.184,989.376
173,51.627,10303.127,10303.127,11405.537,7140.546,6400.929,1863.936,1508.814,452.848,116.043,18.918,2.810,6.635,1034.557
174,52.010,10743.895,10743.895,11557.193,7292.473,6407.356,1930.505,1548.581,436.366,118.558,19.326,2.870,7.082,1086.498
175,52.393,11299.714,11299.714,11723.000,7444.400,6408.268,2003.404,1590.852,422.853,121.081,19.734,2.931,7.528,1146.298
176,52.776,11436.225,11436.225,11904.672,7596.326,6402.904,2083.087,1636.163,412.738,123.615,20.143,2.992,7.972,1215.004
177,53.159,11932.590,11932.590,12103.483,7748.253,6390.634,2169.723,1685.055,406.286,126.163,20.552,3.052,8.422,1293.540
178,53.541,12568.731,12568.731,12320.205,7900.179,6371.098,2263.121,1738.034,403.583,128.731,20.962,3.113,8.884,1382.620
179,53.924,12740.275,12740.275,12555.049,8052.106,6344.334,2362.684,1795.528,404.530,131.325,21.372,3.174,9.373,1482.668
180,54.307,12955.323,12955.323,12807.628,8204.032,6310.835,2467.413,1857.841,408.855,133.952,21.783,3.235,9.905,1593.745
181,54.690,13469.191,13469.191,13076.953,8355.959,6271.553,2575.960,1925.119,416.144,136.622,22.195,3.296,10.503,1715.496
182,55.072,13892.829,13892.829,13361.454,8507.885,6227.822,2686.728,1997.327,425.881,139.345,22.608,3.357,11.194,1847.123
183,55.455,14537.975,14537.975,13659.035,8659.812,6181.234,2797.999,2074.249,437.499,142.133,23.022,3.418,12.009,1987.399
184,55.838,14705.541,14705.541,13967.178,8811.738,6133.495,2908.071,2155.500,450.423,145.000,23.439,3.479,12.984,2134.712
185,56.220,14612.969,14612.969,14283.072,8963.665,6086.277,3015.377,2240.549,464.118,147.961,23.858,3.540,14.155,2287.159
186,56.603,15237.036,15237.036,14603.775,9115.591,6041.104,3118.584,2328.753,478.113,151.032,24.281,3.601,15.557,2442.668
187,56.985,15844.496,15844.496,14926.399,9267.518,5999.277,3216.649,2419.395,492.021,154.229,24.708,3.663,17.226,2599.148
188,57.368,15949.013,15949.013,15248.303,9419.444,5961.838,3308.841,2511.714,505.543,157.572,25.142,3.724,19.194,2754.649
189,57.750,16648.771,16648.771,15567.271,9571.371,5929.567,3394.740,2604.940,518.468,161.078,25.583,3.786,21.484,2907.535
190,58.132,16327.654,16327.654,15778.000,9619.615,5866.443,3448.357,2676.589,526.775,163.071,25.759,3.807,24.100,3043.010
191,58.515,17093.359,17093.359,15983.278,9667.859,5809.355,3495.651,2747.676,534.281,165.261,25.947,3.827,27.064,3174.125
192,58.897,17809.720,17809.720,16183.029,9716.103,5758.453,3536.934,2817.553,540.970,167.664,26.151,3.848,30.368,3300.996
193,59.279,18337.189,18337.189,16378.067,9764.347,5713.742,3572.671,2885.660,546.867,170.292,26.376,3.869,33.991,3424.507
194,59.662,18401.833,18401.833,16570.119,9812.592,5675.113,3603.433,2951.531,552.024,173.154,26.626,3.890,37.894,3546.361
195,60.044,19061.670,19061.670,16761.849,9860.836,5642.362,3629.859,3014.812,556.514,176.255,26.908,3.911,42.017,3669.117
196,60.426,19463.773,19463.773,16956.873,9909.080,5615.210,3652.616,3075.273,560.417,179.593,27.229,3.932,46.283,3796.224
197,60.808,20064.542,20064.542,17159.796,9957.324,5593.316,3672.370,3132.819,563.823,183.161,27.597,3.953,50.594,3932.069
198,61.190,20286.434,20286.434,17376.283,10005.568,5576.284,3689.761,3187.496,566.815,186.943,28.021,3.974,54.834,4082.060
199,61.572,21173.784,21173.784,17613.168,10053.812,5563.683,3705.392,3239.499,569.477,190.915,28.509,3.995,58.874,4252.726
200,61.954,21587.872,21587.872,17878.619,10102.056,5555.051,3719.814,3289.185,571.884,195.047,29.074,4.016,62.578,4451.874
201,62.336,22886.481,22886.481,18182.338,10150.301,5549.911,3733.524,3337.076,574.105,199.299,29.724,4.038,65.804,4688.760
202,62.718,23549.834,23549.834,18535.780,10198.545,5547.789,3746.970,3383.868,576.200,203.628,30.470,4.059,68.420,4974.278
203,63.100,24534.242,24534.242,18952.379,10246.789,5548.225,3760.555,3430.445,578.224,207.983,31.321,4.080,70.306,5321.142
204,63.482,25568.764,25568.764,19447.720,10295.033,5550.787,3774.644,3477.887,580.224,212.313,32.285,4.102,71.366,5744.014
205,63.864,26729.606,26729.606,20039.631,10343.277,5555.092,3789.579,3527.480,582.241,216.564,33.369,4.124,71.533,6259.551
206,64.246,28017.618,28017.618,20748.141,10391.521,5560.812,3805.683,3580.732,584.313,220.688,34.575,4.146,70.779,6886.315
207,64.627,29195.839,29195.839,21595.248,10439.765,5567.686,3823.269,3639.382,586.473,224.639,35.905,4.168,69.112,7644.516
208,65.009,30622.620,30622.620,22604.465,10488.010,5575.522,3842.648,3705.404,588.753,228.380,37.356,4.191,66.581,8555.532
209,65.391,32738.031,32738.031,23800.100,10536.254,5584.206,3864.125,3781.005,591.179,231.881,38.922,4.213,63.273,9641.195
210,65.773,35145.037,35145.037,25206.256,10584.498,5593.691,3887.999,3868.620,593.775,235.125,40.596,4.237,59.305,10922.810
211,66.154,36916.970,36916.970,26845.561,10632.742,5603.997,3914.551,3970.879,596.562,238.103,42.364,4.260,54.818,12419.927
212,66.536,38699.918,38699.918,28737.634,10680.986,5615.202,3944.034,4090.568,599.555,240.819,44.214,4.284,49.966,14148.890
213,66.917,41564.103,41564.103,30897.377,10729.230,5627.428,3976.655,4230.567,602.765,243.285,46.129,4.309,44.911,16121.226
214,67.299,43222.774,43222.774,33333.148,10777.475,5640.831,4012.555,4393.761,606.194,245.525,48.093,4.334,39.806,18341.949
215,67.680,45884.496,45884.496,36044.958,10825.719,5655.586,4051.791,4582.934,609.838,247.567,50.089,4.361,34.793,20807.898
216,68.062,48542.131,48542.131,39022.802,10873.963,5671.875,4094.318,4800.649,613.682,249.446,52.103,4.388,29.995,23506.244
217,68.443,50527.487,50527.487,42245.303,10922.207,5689.878,4139.970,5049.100,617.705,251.202,54.122,4.416,25.509,26413.298
218,68.825,53517.374,53517.374,45678.792,10970.451,5709.757,4188.450,5329.969,621.874,252.875,56.138,4.445,21.406,29493.773
219,69.206,56170.621,56170.621,49276.994,11018.695,5731.652,4239.324,5644.276,626.152,254.507,58.147,4.476,17.734,32700.621
220,69.587,59343.495,59343.495,52981.410,11066.939,5755.674,4292.026,5992.242,630.491,256.141,60.151,4.507,14.511,35975.560
221,69.969,61714.845,61714.845,56722.475,11115.184,5781.896,4345.867,6373.170,634.843,257.815,62.158,4.540,11.739,39250.340
