спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
G1S24_Cs137_Petri            known        1.1649     1.1648   -0.009  chi2ndf, chi2ndf_pois, decay_s, decay_s, dt_decay_s, dt_decay_s
G1S24_Cs137_Petri_2          known        1.5626     1.5626   +0.000  chi2ndf_pois, dt_decay_s, dt_decay_s, mda_decay_s, mda_decay_s, measured_kev
G1S24_Eu152_P5               known       30.5093    30.1324   -1.235  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_K40_Denta120           known        1.1219     1.1219   +0.000  decay_s, measured_kev, shift_kev, sigma_kev
G1S24_K40_Denta120_2         known        1.2259     1.2258   -0.008  chi2ndf, decay_s, dt_decay_s, dt_decay_s, mda_decay_s, mda_decay_s
G1S24_K40_Mar                known        1.2903     1.2904   +0.008  chi2ndf, chi2ndf_pois, collinearity, dt_decay_s, dt_decay_s, gain
G1S24_K40_Mar_2              known        1.3481     1.3471   -0.074  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_K40_Petri              known        1.3001     1.2998   -0.023  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_K40_Petri_2            known        1.0510     1.0510   +0.000  measured_kev, peak_share, shift_kev, sigma_kev
G1S24_Na22_P25               known        6.4012     6.5902   +2.953  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Na22_P5                known       36.5433    36.3200   -0.611  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Ra226_Denta120         known        1.5192     1.5167   -0.165  ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Ra226_Denta120_2       known        3.4147     3.4170   +0.067  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Ra226_Mar              known        2.4692     2.4677   -0.061  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Ra226_Mar_2            known        5.0451     5.0414   -0.073  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Ra226_Petri            known        1.5082     1.5085   +0.020  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Ra226_Petri_2          known        2.9687     2.9690   +0.010  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Rn222Coal_Mar_20m      known        1.1142     1.0386   -6.785  <число строк 14→11>, <число строк 18→19>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois; Bi-212 0.92→0.77; Bi-214 48.54→50.76; Pb-210 1.47→0.00; Pb-212 5.02→4.31; Pb-214 36.67→39.63; Ra-226 1.93→0.00; Tl-208 5.03→4.15
G1S24_Rn222Coal_Mar_2h       known        1.3671     1.2242  -10.453  <число строк 14→11>, <число строк 18→19>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois; Bi-214 48.47→50.63; Pb-210 1.58→0.00; Pb-212 4.33→4.49; Pb-214 38.14→39.20; Ra-226 2.04→0.00; Tl-208 4.28→4.48
G1S24_Rn222Coal_Mar_3h       known        1.3121     1.1884   -9.428  <число строк 14→11>, <число строк 18→19>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois; Bi-212 0.76→0.61; Bi-214 49.24→51.59; Pb-210 1.47→0.00; Pb-212 4.21→3.48; Pb-214 37.80→40.66; Ra-226 1.98→0.00; Tl-208 4.17→3.34
G1S24_Rn222Coal_Mar_eq01     known        1.9104     1.4959  -21.697  <число строк 14→11>, <число строк 18→20>, anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois; Bi-214 48.27→49.90; Pb-210 1.53→0.00; Pb-212 4.73→4.66; Pb-214 37.57→39.78; Ra-226 2.00→0.00; Tl-208 4.66→4.43
G1S24_Th228_P25              known        4.3853     4.3943   +0.205  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Bi-212 7.99→7.94
G1S24_Th228_P5               known       20.9496    21.0577   +0.516  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Pb-212 50.86→50.63; Tl-208 37.42→37.67
G1S24_Th232_Denta120         known        1.1383     1.1384   +0.009  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S24_Th232_Denta120_2       known        2.0594     2.0612   +0.087  <число строк 18→17>, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Mar              known        2.6690     2.6666   -0.090  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Th232_Mar_2            known        6.3920     6.3958   +0.059  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Th232_Petri            known        1.9984     1.9999   +0.075  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Th232_Petri_2          known        4.6909     4.6876   -0.070  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, decay_s, decay_s
G1S24_Y88_P25                known        2.0768     2.1714   +4.555  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Y88_P5                 known        8.1510     8.2220   +0.871  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s; Ann-511 1.35→1.12; Y-88 98.64→98.88
G1S24_Zn65_P5                known        1.0752     1.0670   -0.763  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s; Ann-511 7.71→7.82; Zn-65 92.07→91.97
RC103_Cs137_0cm              known        2.2934     2.4218   +5.599  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
RC103_K40                    known        1.8962     1.8890   -0.380  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
RC103_Lu176                  known        0.9920     1.1365  +14.567  anchor_note, ch_hi, ch_lo, chi2ndf, chi2ndf_pois, collinearity; Lu-176 93.00→93.31; Xray-Lu 6.96→6.64

known: разобранных 89, Σχ²/ndf 465.9330 -> 464.2039 (-0.3711 %)
сдвинулось 69, побитово 20
побитово: AS80_Am241, AS80_Cs137_0cm, AS80_Lu176, AS80_Lu176_v2, AS80_Th232Medal, ASN16_Lu176, ASN16_Lu176_P0, G1S16_Cs137_Mar, G1S16_Cs137_Mar_2, G1S16_K40_Mar, G1S16_K40_Mar_2, G1S16_Mix_Denta100, G1S16_Mix_Mar, G1S16_Mix_Petri, G1S16_Ra226_Mar, G1S16_Ra226_Mar_2, G1S16_Th232_Denta100, G1S16_Th232_Mar_2, G1S16_Th232_Mar_3, G1S16_Th232_Petri
