geometry,nuclide,E_keV,eps,u_pct,distance_cm,volume_ml
Дента-120мл,Th-232,238.632,0.06482699,3.6131,0,120
Дента-120мл,Ra-226,241.995,0.08536038,4.5557,0,120
Дента-120мл,Ra-226,295.223,0.04754319,3.849,0,120
Дента-120мл,Th-232,338.32,0.06510581,4.2501,0,120
Дента-120мл,Ra-226,351.932,0.04406149,3.43,0,120
Дента-120мл,Th-232,583.187,0.02981183,3.4606,0,120
Дента-120мл,Ra-226,609.32,0.02575861,3.2314,0,120
Дента-120мл,Cs-137,661.657,0.02443609,2.5698,0,120
Дента-120мл,Th-232,911.204,0.02230087,4.3839,0,120
Дента-120мл,Ra-226,1120.294,0.01668434,3.7442,0,120
Дента-120мл,K-40,1460.822,0.01530646,3.7198,0,120
Дента-120мл,Ra-226,1764.491,0.009715169,3.8735,0,120
Дента-120мл,Th-232,2614.511,0.00694024,3.7126,0,120
Маринелли,Th-232,238.632,0.04344207,3.3692,0,1000
Маринелли,Ra-226,241.995,0.05053376,3.5656,0,1000
Маринелли,Ra-226,295.223,0.03246181,3.9733,0,1000
Маринелли,Th-232,338.32,0.03325384,3.7757,0,1000
Маринелли,Ra-226,351.932,0.03228445,3.4362,0,1000
Маринелли,Th-232,463.004,0.02750433,5.2862,0,1000
Маринелли,Th-232,583.187,0.02171222,3.2502,0,1000
Маринелли,Ra-226,609.32,0.01982829,3.0868,0,1000
Маринелли,Cs-137,661.657,0.018713,2.5549,0,1000
Маринелли,Ra-226,768.36,0.01633088,4.3307,0,1000
Маринелли,Th-232,911.204,0.01346059,5.3194,0,1000
Маринелли,Ra-226,1120.294,0.01374746,3.341,0,1000
Маринелли,K-40,1460.822,0.009742536,3.5411,0,1000
Маринелли,Ra-226,1764.491,0.008106329,3.5062,0,1000
Маринелли,Th-232,2614.511,0.004713864,3.2719,0,1000
Петри-60,Ti-44,67.868,0.05899764,10.6201,0,60
Петри-60,Ti-44,78.36,0.07238008,9.0542,0,60
Петри-60,Eu-152,121.782,0.1080348,5.3785,0,60
Петри-60,Th-232,238.632,0.09062932,3.5445,0,60
Петри-60,Ra-226,241.995,0.1231789,4.0677,0,60
