file	side	api	kind	line	receiver	args
BecquerelMonitor/AboutForm.cs	print	string.Format	UNK	19		Resources.AboutVersionFormat
BecquerelMonitor/AboutForm.cs	print	string.Format	UNK	66		Resources.ERROpenLinkFailure
BecquerelMonitor/AppLog.cs	print	ToString	UNK	351	.GetName().Version	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	42	comPortsBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	43	baudratesBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	48	Guid.NewGuid()	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	199	comPortsBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	200	baudratesBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	230	comPortsBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	231	baudratesBox.SelectedItem	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	236	Guid.NewGuid()	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	ToString	UNK	285	Guid.NewGuid()	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	concat	NUM	361	status	
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	string.Format	UNK	337		Resources.VCPDeviceStatusReason
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	string.Format	UNK	347		Resources.LabelVCPSpectraInfo
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	string.Format	UNK	366		Resources.LabelVCPSpectraInfo
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	string.Format	UNK	375		Resources.LabelVCPSpectraInfo
BecquerelMonitor/AtomSpectraVCPDeviceForm.cs	print	string.Format	UNK	381		Resources.LabelVCPSpectraInfo
BecquerelMonitor/AudioInputDeviceController.cs	print	concat	NUM	76	deviceId	
BecquerelMonitor/AudioInputDeviceController.cs	print	concat	NUM	76	deviceId	
BecquerelMonitor/AudioVolumeController.cs	print	ToString	UNK	41	stringBuilder	
BecquerelMonitor/AudioVolumeController.cs	print	ToString	UNK	64	properties[guid].Value	
BecquerelMonitor/ChanNumberChangeDialog.cs	parse	int.TryParse	NUM	38	int	textBox1.Text, out int newChan
BecquerelMonitor/DCControlPanel.cs	print	ToString	UNK	31	value	
BecquerelMonitor/DCControlPanel.cs	print	ToString	UNK	316	resultDataStatus.PresetTime	
BecquerelMonitor/DCControlPanel.cs	print	ToString	UNK	362	activeResultData.EnergySpectrum.TotalPulseCount	
BecquerelMonitor/DCControlPanel.cs	print	ToString	UNK	363	activeResultData.EnergySpectrum.ValidPulseCount	
BecquerelMonitor/DCControlPanel.cs	print	ToString	NUM	365	invalidPulseCount	
BecquerelMonitor/DCControlPanel.cs	print	ToString	UNK	366	activeResultData.EnergySpectrum.LiveTime	" "
BecquerelMonitor/DCControlPanel.cs	print	ToString	NUM	380	cps	" "
BecquerelMonitor/DCControlPanel.cs	print	ToString	NUM	392	deadTime	" "
BecquerelMonitor/DCControlPanel.cs	print	ToString	UNK	412	((int)totalSeconds)	
BecquerelMonitor/DCControlPanel.cs	print	string.Format	UNK	663		Resources.EfficiencyFromFile
BecquerelMonitor/DCControlPanel.cs	parse	int.TryParse	NUM	23	int	this.realTimeLimitTextBox.Text, out result
BecquerelMonitor/DCControlPanel.cs	parse	int.TryParse	NUM	981	int	this.realTimeLimitTextBox.Text, out presetTime
BecquerelMonitor/DCCountRateView.cs	print	ToString	NUM	24	sEffRatio	
BecquerelMonitor/DCCountRateView.cs	print	ToString	NUM	25	Cps	" "
BecquerelMonitor/DCCountRateView.cs	print	ToString	NUM	39	deadTime	" "
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	78	this.energyCalibration.Coefficients[0]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	79	this.energyCalibration.Coefficients[1]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	84	this.energyCalibration.Coefficients[2]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	88	this.energyCalibration.Coefficients[3]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	92	this.energyCalibration.Coefficients[4]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	125	this.energyCalibration.Coefficients[0]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	126	this.energyCalibration.Coefficients[1]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	131	this.energyCalibration.Coefficients[2]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	135	this.energyCalibration.Coefficients[3]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	139	this.energyCalibration.Coefficients[4]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	NUM	668	num	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	863	this.energyCalibration.Coefficients[1]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	864	this.energyCalibration.Coefficients[0]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	867	this.energyCalibration.Coefficients[2]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	871	this.energyCalibration.Coefficients[3]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	ToString	UNK	875	this.energyCalibration.Coefficients[4]	
BecquerelMonitor/DCEnergyCalibrationView.cs	print	string.Format	UNK	101		Resources.ResetCalibrationToDeviceSettin
BecquerelMonitor/DCEnergyCalibrationView.cs	print	string.Format	UNK	728		Resources.ERRAddCalibrationPoints
BecquerelMonitor/DCEnergyCalibrationView.cs	print	string.Format	UNK	890		" "
BecquerelMonitor/DCEnergyCalibrationView.cs	parse	decimal.Parse	NUM	695	decimal	text
BecquerelMonitor/DCEnergyCalibrationView.cs	parse	decimal.Parse	NUM	712	decimal	text2
BecquerelMonitor/DCEnergyCalibrationView.cs	parse	int.Parse	NUM	720	int	text3
BecquerelMonitor/DCFwhmCalibrationView.cs	print	ToString	NUM	129	position	
BecquerelMonitor/DCFwhmCalibrationView.cs	print	ToString	UNK	190	fwhmCalibration.ExpGaussExpLeftTail	" "
BecquerelMonitor/DCFwhmCalibrationView.cs	print	ToString	UNK	191	fwhmCalibration.ExpGaussExpRightTail	" "
BecquerelMonitor/DCFwhmCalibrationView.cs	print	ToString	UNK	197	fwhmCalibration.VoigtSigma	" "
BecquerelMonitor/DCFwhmCalibrationView.cs	print	ToString	UNK	198	fwhmCalibration.VoigtGamma	" "
BecquerelMonitor/DCFwhmCalibrationView.cs	print	ToString	UNK	734	messageBuilder	
BecquerelMonitor/DCFwhmCalibrationView.cs	print	ToString	UNK	760	(chi2 / ndp)	" "
BecquerelMonitor/DCFwhmCalibrationView.cs	print	ToString	NUM	767	score	" "
BecquerelMonitor/DCFwhmCalibrationView.cs	print	string.Format	UNK	163		Resources.MinPeaksRequirement
BecquerelMonitor/DCFwhmCalibrationView.cs	print	string.Format	UNK	419		Resources.ERRPeakExist
BecquerelMonitor/DCFwhmCalibrationView.cs	print	string.Format	UNK	739		" "
BecquerelMonitor/DCFwhmCalibrationView.cs	print	string.Format	UNK	749		" "
BecquerelMonitor/DCFwhmCalibrationView.cs	parse	int.Parse	NUM	870	int	textvalue
BecquerelMonitor/DCFwhmCalibrationView.cs	parse	double.Parse	NUM	874	double	textvalue
BecquerelMonitor/DCFwhmCalibrationView.cs	parse	double.Parse	NUM	878	double	textvalue
BecquerelMonitor/DCPeakDetectionView.cs	print	ToString	NUM	343	num	" "
BecquerelMonitor/DCPeakDetectionView.cs	print	ToString	NUM	343	num2	" "
BecquerelMonitor/DCPeakDetectionView.cs	print	ToString	UNK	348	peak.Energy	" "
BecquerelMonitor/DCPeakDetectionView.cs	print	ToString	UNK	350	peak.Channel	
BecquerelMonitor/DCPeakDetectionView.cs	print	ToString	NUM	351	snr	
BecquerelMonitor/DCPeakDetectionView.cs	print	ToString	UNK	357	peak.FWHM	" "
BecquerelMonitor/DCPeakDetectionView.cs	print	ToString	NUM	357	resolution	" "
BecquerelMonitor/DCPeakDetectionView.cs	print	ToString	UNK	357	peak.FWHM_DELTA	" "
BecquerelMonitor/DCPeakDetectionView.cs	print	ToString	NUM	545	channel	
BecquerelMonitor/DCPeakDetectionView.cs	print	concat	NUM	343	num2	
BecquerelMonitor/DCPeakDetectionView.cs	print	concat	NUM	357	resolution	
BecquerelMonitor/DCPeakDetectionView.cs	print	string.Format	UNK	545		Resources.ERRAddCalibrationPoints
BecquerelMonitor/DCPeakDetectionView.cs	parse	Convert.ToInt32	NUM	526		row.Cells[3].Text
BecquerelMonitor/DCPeakDetectionView.cs	parse	Convert.ToDecimal	NUM	529		row.Cells[2].Text.Split(new string[] { " " }, Stri
BecquerelMonitor/DCPeakDetectionView.cs	parse	Convert.ToDecimal	NUM	534		row.Cells[1].Text
BecquerelMonitor/DCPeakDetectionView.cs	parse	Convert.ToDecimal	NUM	552		this.table1.SelectedItems[0].Cells[1].Text
BecquerelMonitor/DCResultView.cs	print	ToString	UNK	58	base.GetType()	
