ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb
33,-2.382,0.000,-7434.886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,-1.994,0.000,-7562.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,-1.605,0.000,-7699.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,-1.217,0.000,-7779.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,-0.828,0.000,-7907.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,-0.439,0.000,-8026.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,-0.051,0.000,-8194.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0.337,0.000,-8301.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,0.726,0.000,-8431.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,1.114,0.000,-8522.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,1.502,0.000,-8711.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,1.891,0.000,-8792.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,2.279,0.000,-8931.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,2.667,0.000,-8988.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,3.055,0.000,-9188.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,3.443,0.000,-9263.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,3.831,0.000,-9375.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,4.219,0.000,-9556.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,4.607,0.000,-9623.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,4.995,0.000,-9768.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,5.383,0.000,-9897.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,5.771,0.000,-9783.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,6.159,0.000,-9381.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,6.546,0.000,-8840.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,6.934,0.000,-7982.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,7.322,0.000,-7051.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,7.709,0.000,-6128.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,8.097,0.000,-5303.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,8.484,0.000,-4212.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,8.872,0.000,-3945.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,9.259,0.000,-3331.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,9.647,0.000,-2788.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,10.034,0.000,-2723.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,10.421,0.000,-2510.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,10.809,0.000,-2411.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,11.196,0.000,-2454.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,11.583,0.000,-2501.915,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,11.970,0.000,-2287.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71,12.357,0.000,-2422.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
72,12.744,0.000,-2487.695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73,13.131,0.000,-2324.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
74,13.518,0.000,-2295.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75,13.905,0.000,-2427.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
76,14.292,0.000,-2181.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
77,14.679,0.000,-2401.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
78,15.066,0.000,-2347.918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
79,15.453,0.000,-1907.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80,15.839,0.000,-2159.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
81,16.226,0.000,-2056.899,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
82,16.613,0.000,-2223.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
83,16.999,0.000,-2058.834,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
84,17.386,0.000,-2085.201,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
85,17.772,0.000,-2172.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
86,18.159,0.000,-1922.923,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
87,18.545,0.000,-1798.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
88,18.931,0.000,-1798.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
89,19.318,0.000,-1885.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
90,19.704,0.000,-1909.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
91,20.090,0.000,-1824.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
92,20.477,0.000,-1953.322,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
93,20.863,0.000,-1932.204,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
94,21.249,0.000,-1644.467,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
95,21.635,0.000,-1552.693,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
96,22.021,0.000,-1501.456,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
97,22.407,0.000,-1753.683,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
98,22.793,0.000,-1416.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
99,23.179,0.000,-1227.449,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
100,23.565,0.000,-1316.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
101,23.951,0.000,-1261.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
102,24.336,0.000,-1091.989,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
103,24.722,0.000,-1319.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
104,25.108,0.000,-1158.756,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
105,25.494,0.000,-1080.561,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
106,25.879,0.000,-1312.719,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
107,26.265,0.000,-1113.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
108,26.650,0.000,-1041.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
109,27.036,0.000,-1017.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
110,27.421,0.000,-1008.363,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111,27.807,0.000,-991.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
112,28.192,0.000,-1049.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
113,28.578,0.000,-939.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
114,28.963,0.000,-1145.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
115,29.348,0.000,-906.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
116,29.733,0.000,-829.526,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
117,30.119,0.000,-816.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
118,30.504,0.000,-476.254,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
119,30.889,0.000,-294.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
120,31.274,0.000,-275.857,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
121,31.659,3.034,3.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
122,32.044,67.807,67.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
123,32.429,216.696,216.696,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
124,32.814,301.674,301.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
125,33.199,848.303,848.303,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
126,33.584,893.053,893.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
127,33.968,1267.492,1267.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
128,34.353,1352.872,1352.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
129,34.738,1740.499,1740.499,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
130,35.122,1706.873,1706.873,4117.092,0.000,433.220,0.000,0.000,3683.872,0.000,0.000,0.000,0.000,0.000
131,35.507,1934.788,1934.788,4214.112,136.434,660.101,34.215,28.828,3473.049,2.245,0.367,0.055,0.023,15.230
132,35.892,2416.148,2416.148,4322.249,272.868,931.169,68.449,57.671,3229.111,4.490,0.734,0.109,0.046,30.469
133,36.276,2534.454,2534.454,4441.299,409.303,1243.118,102.702,86.531,2955.159,6.737,1.101,0.164,0.069,45.716
134,36.661,3005.093,3005.093,4570.815,545.737,1586.379,136.973,115.406,2660.316,8.986,1.468,0.218,0.093,60.971
135,37.045,3264.332,3264.332,4710.111,682.171,1946.433,171.264,144.298,2358.418,11.235,1.835,0.273,0.116,76.235
136,37.430,3502.437,3502.437,4858.290,818.605,2306.965,205.573,173.205,2064.877,13.486,2.203,0.328,0.141,91.508
137,37.814,3619.769,3619.769,5014.276,955.039,2653.471,239.902,202.128,1793.123,15.738,2.571,0.382,0.166,106.788
138,38.198,3743.749,3743.749,5176.853,1091.473,2975.715,274.249,231.068,1552.175,17.991,2.939,0.437,0.193,122.078
139,38.583,3821.573,3821.573,5344.702,1227.908,3268.362,308.617,260.024,1346.049,20.246,3.307,0.492,0.221,137.376
140,38.967,3818.557,3818.557,5516.427,1364.342,3530.165,343.005,288.997,1174.593,22.502,3.676,0.547,0.252,152.683
141,39.351,4057.047,4057.047,5690.567,1500.776,3762.529,377.412,317.988,1034.940,24.759,4.044,0.602,0.285,167.999
142,39.736,3952.096,3952.096,5865.614,1637.210,3968.159,411.841,346.995,922.874,27.017,4.413,0.656,0.323,183.324
143,40.120,3799.846,3799.846,6040.024,1773.644,4150.090,446.291,376.020,833.815,29.277,4.783,0.711,0.366,198.659
144,40.504,3551.352,3551.352,6212.233,1910.078,4311.123,480.763,405.064,763.394,31.539,5.152,0.766,0.417,214.003
145,40.888,3630.415,3630.415,6380.686,2046.513,4453.600,515.257,434.125,707.713,33.801,5.522,0.821,0.477,229.358
146,41.272,3310.747,3310.747,6543.886,2182.947,4579.373,549.773,463.204,663.418,36.066,5.891,0.876,0.549,244.722
147,41.656,3142.010,3142.010,6700.451,2319.381,4689.886,584.314,492.302,627.676,38.331,6.262,0.931,0.637,260.097
148,42.040,2946.720,2946.720,6849.188,2455.815,4786.315,618.881,521.418,598.115,40.598,6.632,0.986,0.744,275.483
149,42.424,3332.288,3332.288,6989.179,2592.249,4869.706,653.478,550.553,572.761,42.866,7.002,1.042,0.873,290.881
150,42.808,2795.902,2795.902,7119.851,2728.683,4941.099,688.109,579.706,549.989,45.136,7.373,1.097,1.029,306.294
151,43.192,2942.995,2942.995,7241.048,2865.118,5001.622,722.783,608.878,528.501,47.407,7.744,1.152,1.216,321.725
152,43.575,3026.753,3026.753,7353.067,3001.552,5052.534,757.516,638.070,507.309,49.680,8.115,1.207,1.436,337.179
153,43.959,3083.368,3083.368,7456.668,3137.986,5095.243,792.330,667.283,485.730,51.953,8.487,1.262,1.692,352.667
154,44.343,3140.461,3140.461,7553.048,3274.420,5131.273,827.261,696.520,463.382,54.228,8.858,1.318,1.984,368.203
155,44.727,3318.973,3318.973,7643.787,3410.854,5162.218,862.365,725.786,440.167,56.505,9.230,1.373,2.312,383.809
156,45.110,3728.918,3728.918,7730.752,3547.288,5189.670,897.721,755.090,416.241,58.782,9.602,1.428,2.675,399.519
157,45.494,3680.176,3680.176,7816.000,3683.723,5215.146,933.448,784.445,391.964,61.060,9.974,1.484,3.069,415.385
158,45.878,3947.133,3947.133,7901.660,3820.157,5240.009,969.711,813.874,367.845,63.340,10.347,1.539,3.491,431.478
159,46.261,4450.820,4450.820,7989.822,3956.591,5265.400,1006.739,843.411,344.474,65.621,10.719,1.594,3.936,447.902
160,46.645,4490.548,4490.548,8082.439,4093.025,5292.169,1044.840,873.106,322.461,67.902,11.092,1.650,4.398,464.794
161,47.028,5143.988,5143.988,8181.250,4229.459,5320.815,1084.415,903.033,302.386,70.186,11.465,1.705,4.872,482.345
162,47.412,5496.743,5496.743,8287.727,4365.893,5351.448,1125.977,933.298,284.756,72.470,11.838,1.761,5.353,500.797
163,47.795,5880.886,5880.886,8403.049,4502.328,5383.750,1170.154,964.049,269.981,74.756,12.211,1.816,5.835,520.465
164,48.178,6192.559,6192.559,8528.101,4638.762,5416.979,1217.689,995.484,258.365,77.044,12.585,1.872,6.314,541.738
165,48.562,6437.436,6437.436,8663.495,4775.196,5449.993,1269.419,1027.864,250.099,79.334,12.958,1.927,6.783,565.084
166,48.945,7298.560,7298.560,8809.605,4911.630,5481.313,1326.232,1061.518,245.270,81.628,13.332,1.983,7.239,591.056
167,49.328,7741.641,7741.641,8966.612,5048.064,5509.228,1389.004,1096.846,243.867,83.926,13.706,2.039,7.678,620.283
168,49.711,7851.541,7851.541,9134.545,5184.498,5531.944,1458.501,1134.316,245.785,86.229,14.081,2.094,8.097,653.460
169,50.094,8457.990,8457.990,9313.323,5320.933,5547.755,1535.276,1174.444,250.840,88.542,14.455,2.150,8.498,691.324
170,50.478,8715.738,8715.738,9502.778,5457.367,5555.230,1619.559,1217.768,258.767,90.865,14.830,2.206,8.882,734.629
171,50.861,9332.608,9332.608,9702.673,5593.801,5553.378,1711.163,1264.815,269.235,93.205,15.205,2.262,9.259,784.106
172,51.244,9926.805,9926.805,9912.701,5730.235,5541.777,1809.441,1316.051,281.856,95.565,15.581,2.317,9.642,840.425
173,51.627,10303.127,10303.127,10132.474,5866.669,5520.627,1913.283,1371.841,296.196,97.953,15.957,2.373,10.048,904.147
174,52.010,10743.895,10743.895,10361.506,6003.103,5490.725,2021.187,1432.415,311.799,100.377,16.334,2.429,10.504,975.684
175,52.393,11299.714,11299.714,10599.190,6139.538,5453.376,2131.373,1497.835,328.205,102.847,16.711,2.485,11.039,1055.264
176,52.776,11436.225,11436.225,10844.793,6275.972,5410.244,2241.930,1567.992,344.974,105.374,17.090,2.541,11.687,1142.902
177,53.159,11932.590,11932.590,11097.445,6412.406,5363.183,2350.971,1642.608,361.704,107.972,17.470,2.597,12.488,1238.390
178,53.541,12568.731,12568.731,11356.155,6548.840,5314.077,2456.771,1721.250,378.045,110.656,17.852,2.653,13.482,1341.306
179,53.924,12740.275,12740.275,11619.843,6685.274,5264.706,2557.869,1803.361,393.714,113.441,18.236,2.709,14.710,1451.031
180,54.307,12955.323,12955.323,11887.383,6821.708,5216.652,2653.133,1888.286,408.496,116.347,18.624,2.766,16.211,1566.799
181,54.690,13469.191,13469.191,12157.665,6958.143,5171.254,2741.792,1975.301,422.245,119.391,19.017,2.822,18.023,1687.750
182,55.072,13892.829,13892.829,12429.667,7094.577,5129.582,2823.423,2063.648,434.876,122.594,19.415,2.878,20.177,1813.001
183,55.455,14537.975,14537.975,12702.528,7231.011,5092.451,2897.926,2152.558,446.362,125.974,19.821,2.935,22.696,1941.729
184,55.838,14705.541,14705.541,12975.628,7367.445,5060.443,2965.477,2241.280,456.724,129.551,20.238,2.991,25.594,2073.253
185,56.220,14612.969,14612.969,13248.661,7503.879,5033.934,3026.473,2329.104,466.021,133.339,20.669,3.048,28.870,2207.123
186,56.603,15237.036,15237.036,13521.710,7640.313,5013.130,3081.484,2415.383,474.339,137.355,21.117,3.105,32.508,2343.210
187,56.985,15844.496,15844.496,13795.318,7776.748,4998.088,3131.189,2499.552,481.786,141.605,21.589,3.161,36.473,2481.794
188,57.368,15949.013,15949.013,14070.568,7913.182,4988.747,3176.336,2581.152,488.480,146.094,22.088,3.218,40.708,2623.662
189,57.750,16648.771,16648.771,14349.168,8049.616,4984.946,3217.694,2659.840,494.547,150.818,22.624,3.275,45.134,2770.206
190,58.132,16327.654,16327.654,14633.560,8186.050,4986.444,3256.023,2735.411,500.111,155.767,23.203,3.332,49.650,2923.535
191,58.515,17093.359,17093.359,14927.044,8322.484,4992.937,3292.043,2807.807,505.289,160.920,23.835,3.389,54.136,3086.603
192,58.897,17809.720,17809.720,15233.936,8458.918,5004.078,3326.420,2877.133,510.193,166.248,24.531,3.446,58.451,3263.350
193,59.279,18337.189,18337.189,15555.170,8590.776,5017.840,3358.589,2942.685,514.747,171.637,25.289,3.502,62.446,3458.349
194,59.662,18401.833,18401.833,15902.230,8722.633,5035.486,3390.246,3005.906,519.215,177.120,26.134,3.557,65.965,3678.513
195,60.044,19061.670,19061.670,16283.629,8854.491,5056.632,3421.858,3067.451,523.675,182.645,27.076,3.613,68.860,3931.729
196,60.426,19463.773,19463.773,16709.687,8986.348,5080.918,3453.836,3128.173,528.192,188.160,28.127,3.668,70.995,4227.527
197,60.808,20064.542,20064.542,17192.694,9118.206,5108.015,3486.544,3189.134,532.821,193.610,29.297,3.724,72.259,4577.199
198,61.190,20286.434,20286.434,17747.015,9250.063,5137.640,3520.315,3251.607,537.609,198.943,30.593,3.780,72.576,4993.861
199,61.572,21173.784,21173.784,18389.084,9381.921,5169.557,3555.458,3317.084,542.593,204.114,32.022,3.836,71.908,5492.419
200,61.954,21587.872,21587.872,19137.272,9513.778,5203.588,3592.274,3387.280,547.803,209.086,33.585,3.893,70.262,6089.408
201,62.336,22886.481,22886.481,20011.572,9645.636,5239.605,3631.057,3464.126,553.266,213.832,35.281,3.949,67.689,6802.672
202,62.718,23549.834,23549.834,21033.087,9777.493,5277.530,3672.104,3549.774,559.000,218.337,37.105,4.006,64.281,7650.856
203,63.100,24534.242,24534.242,22223.288,9909.351,5317.325,3715.706,3646.572,565.020,222.599,39.049,4.063,60.166,8652.693
204,63.482,25568.764,25568.764,23603.036,10041.208,5358.988,3762.147,3757.052,571.334,226.626,41.099,4.121,55.499,9826.074
205,63.864,26729.606,26729.606,25191.382,10173.066,5402.541,3811.688,3883.885,577.948,230.439,43.241,4.179,50.448,11186.916
206,64.246,28017.618,28017.618,27004.178,10304.923,5448.020,3864.554,4029.833,584.857,234.064,45.455,4.238,45.190,12747.869
207,64.627,29195.839,29195.839,29052.557,10436.781,5495.470,3920.916,4197.677,592.052,237.537,47.723,4.297,39.891,14516.895
208,65.009,30622.620,30622.620,31341.354,10568.638,5544.932,3980.866,4390.128,599.515,240.895,50.025,4.357,34.704,16495.832
209,65.391,32738.031,32738.031,33867.592,10700.495,5596.443,4044.401,4609.724,607.219,244.175,52.343,4.418,29.760,18679.008
210,65.773,35145.037,35145.037,36619.134,10832.353,5650.027,4111.403,4858.704,615.129,247.418,54.658,4.480,25.161,21052.052
211,66.154,36916.970,36916.970,39573.654,10964.210,5705.695,4181.622,5138.884,623.200,250.659,56.960,4.542,20.981,23591.007
212,66.536,38699.918,38699.918,42698.026,11096.068,5763.444,4254.673,5451.518,631.380,253.930,59.237,4.606,17.264,26261.869
213,66.917,41564.103,41564.103,45948.275,11227.925,5823.255,4330.025,5797.172,639.611,257.261,61.488,4.672,14.028,29020.658
214,67.299,43222.774,43222.774,49270.157,11359.783,5885.092,4407.017,6175.607,647.832,260.678,63.714,4.738,11.268,31814.103
215,67.680,45884.496,45884.496,52600.415,11491.640,5948.905,4484.868,6585.689,655.978,264.202,65.926,4.806,8.960,34580.972
216,68.062,48542.131,48542.131,55868.718,11623.498,6014.629,4562.703,7025.319,663.987,267.855,68.141,4.876,7.067,37254.030
217,68.443,50527.487,50527.487,59000.209,11755.355,6082.183,4639.584,7491.408,671.803,271.653,70.387,4.947,5.545,39762.588
218,68.825,53517.374,53517.374,61918.560,11887.213,6151.467,4714.551,7979.884,679.377,275.616,72.699,5.019,4.344,42035.491
219,69.206,56170.621,56170.621,64549.360,12019.070,6222.364,4786.661,8485.745,686.669,279.763,75.123,5.093,3.415,44004.413
220,69.587,59343.495,59343.495,66823.633,12150.928,6294.738,4855.039,9003.142,693.654,284.113,77.719,5.169,2.708,45607.235
221,69.969,61714.845,61714.845,68681.251,12282.785,6368.433,4918.914,9525.497,700.319,288.691,80.558,5.246,2.182,46791.294
222,70.350,63870.489,63870.489,70074.017,12414.643,6443.276,4977.664,10045.651,706.667,293.521,83.724,5.324,1.798,47516.273
