ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,DE-2615,SE-2615,Xray-W,SE-1631,Backscatter,Xray-NaI,Esc-NaI,continuum
0,-6.507,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-6.138,0.000,0.000,0.002,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-5.769,0.000,0.000,0.004,0.004,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-5.401,0.000,0.000,0.005,0.005,0.001,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
4,-5.032,0.000,0.000,0.007,0.007,0.002,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
5,-4.664,0.000,0.000,0.009,0.009,0.002,0.001,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
6,-4.295,0.000,0.000,0.011,0.011,0.003,0.001,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
7,-3.926,0.000,0.000,0.012,0.012,0.003,0.002,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
8,-3.558,0.000,0.000,0.014,0.014,0.003,0.002,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000
9,-3.189,0.000,0.000,0.016,0.016,0.004,0.002,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000
10,-2.820,0.000,0.000,0.018,0.018,0.004,0.002,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000
11,-2.452,0.000,0.000,0.019,0.019,0.005,0.002,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.001,0.001,0.000,0.000
12,-2.083,0.000,0.000,0.021,0.021,0.005,0.003,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.001,0.001,0.000,0.000
13,-1.714,0.000,0.000,0.023,0.023,0.006,0.003,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.001,0.001,0.000,0.000
14,-1.346,0.000,0.000,0.025,0.025,0.006,0.003,0.008,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.001,0.001,0.001,0.000
15,-0.977,0.000,0.000,0.026,0.026,0.006,0.003,0.009,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.001,0.001,0.001,0.000
16,-0.609,0.000,0.000,0.028,0.028,0.007,0.003,0.009,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.004,0.000,0.001,0.001,0.001,0.000
17,-0.240,0.000,0.000,0.030,0.030,0.007,0.004,0.010,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.004,0.000,0.001,0.001,0.001,0.000
18,0.129,0.000,0.000,0.032,0.032,0.008,0.004,0.011,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.004,0.000,0.001,0.001,0.001,0.000
19,0.497,0.000,0.000,0.033,0.033,0.008,0.004,0.011,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.004,0.000,0.001,0.001,0.001,0.000
20,0.866,0.000,0.000,0.035,0.035,0.008,0.004,0.012,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.005,0.000,0.001,0.001,0.001,0.000
21,1.235,0.000,0.000,0.037,0.037,0.009,0.005,0.012,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.005,0.000,0.001,0.001,0.001,0.000
22,1.604,0.000,0.000,0.039,0.039,0.009,0.005,0.013,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.005,0.000,0.002,0.001,0.001,0.000
23,1.972,0.000,0.000,0.041,0.041,0.010,0.005,0.013,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.005,0.000,0.002,0.001,0.001,0.000
24,2.341,0.000,0.000,0.042,0.042,0.010,0.005,0.014,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.006,0.000,0.002,0.001,0.001,0.000
25,2.710,0.000,0.000,0.044,0.044,0.011,0.005,0.015,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.006,0.000,0.002,0.001,0.001,0.000
26,3.078,0.000,0.000,0.046,0.046,0.011,0.006,0.015,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.006,0.000,0.002,0.001,0.001,0.000
27,3.447,0.000,0.000,0.048,0.048,0.011,0.006,0.016,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.006,0.000,0.002,0.001,0.001,0.000
28,3.816,0.000,0.000,0.049,0.049,0.012,0.006,0.016,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.006,0.000,0.002,0.001,0.001,0.000
29,4.184,0.000,0.000,0.051,0.051,0.012,0.006,0.017,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.007,0.000,0.002,0.001,0.001,0.000
30,4.553,0.000,0.000,0.053,0.053,0.013,0.007,0.018,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.007,0.000,0.002,0.001,0.001,0.000
31,4.922,0.000,0.000,0.055,0.055,0.013,0.007,0.018,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.007,0.000,0.002,0.001,0.001,0.000
32,5.291,0.000,0.000,0.056,0.056,0.014,0.007,0.019,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.007,0.000,0.002,0.002,0.001,0.000
33,5.659,0.000,0.000,0.058,0.058,0.014,0.007,0.019,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.008,0.000,0.002,0.002,0.001,0.000
34,6.028,0.000,0.000,0.060,0.060,0.014,0.007,0.020,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.008,0.000,0.002,0.002,0.001,0.000
35,6.397,0.000,0.000,0.062,0.062,0.015,0.008,0.021,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.008,0.000,0.002,0.002,0.001,0.000
36,6.766,0.000,0.000,0.063,0.063,0.015,0.008,0.021,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.008,0.000,0.002,0.002,0.001,0.000
37,7.134,0.000,0.000,0.065,0.065,0.016,0.008,0.022,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.009,0.000,0.003,0.002,0.001,0.000
38,7.503,0.000,0.000,0.067,0.067,0.016,0.008,0.022,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.009,0.000,0.003,0.002,0.001,0.000
39,7.872,0.000,0.000,0.069,0.069,0.017,0.008,0.023,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.009,0.000,0.003,0.002,0.001,0.000
40,8.241,0.000,0.000,0.070,0.070,0.017,0.009,0.023,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.009,0.000,0.003,0.002,0.002,0.000
41,8.609,0.000,0.000,0.072,0.072,0.017,0.009,0.024,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.009,0.000,0.003,0.002,0.002,0.000
42,8.978,0.000,0.000,0.074,0.074,0.018,0.009,0.025,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.010,0.000,0.003,0.002,0.002,0.000
43,9.347,0.000,0.000,0.076,0.076,0.018,0.009,0.025,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.010,0.000,0.003,0.002,0.002,0.000
44,9.716,0.000,-0.385,0.078,0.078,0.019,0.010,0.026,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.010,0.000,0.003,0.002,0.002,0.000
45,10.084,0.000,0.000,0.079,0.079,0.019,0.010,0.026,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.010,0.000,0.003,0.002,0.002,0.000
46,10.453,0.000,0.000,0.081,0.081,0.019,0.010,0.027,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.011,0.000,0.003,0.002,0.002,0.000
47,10.822,1.615,1.615,0.083,0.083,0.020,0.010,0.028,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.011,0.000,0.003,0.002,0.002,0.000
48,11.191,0.000,-1.924,0.085,0.085,0.020,0.010,0.028,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.011,0.000,0.003,0.002,0.002,0.000
49,11.560,2.615,2.615,0.086,0.086,0.021,0.011,0.029,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.011,0.000,0.003,0.002,0.002,0.000
50,11.928,1.846,1.846,0.088,0.088,0.021,0.011,0.029,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.012,0.000,0.003,0.002,0.002,0.000
51,12.297,0.306,0.306,0.090,0.090,0.022,0.011,0.030,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.012,0.000,0.004,0.002,0.002,0.000
