правило порога: доля уровня 0.70, окно уровня 3.0 кэВ (не меньше 4 каналов), рампа от подошвы 0.03 уровня не шире 5 кэВ, уровень держится не ниже 0.50 в окне 9 кэВ, хвост рампы 0.333 ширины подъёма, искать до 20 кэВ

== положительные контроли ==
  OK  S-кривая → порог у верха рампы: порог 14.40 кэВ, доля рампы в нём 0.977, через окно 1.000; рампа 7.60→14.40 кэВ (каналы 44→61; подошва 10.00, середина в канале 57 при уровне 8854, хвост 4)
  OK  жёсткий рез → первый канал: порог 27.20 кэВ; жёсткий рез 27.20 кэВ (канал 93 уже на уровне 5000)
  OK  пик на пороге → отступить к первому каналу: порог 8.00 кэВ; подъём от 8.00 кэВ кончается падением (пик на пороге) — порог по первому каналу
  OK  подъём на десятки кэВ → первый канал: порог 12.00 кэВ (первый ненулевой 12.00); подъём 15.20→21.20 кэВ (от подошвы к уровню 1662) шире рампы (5 кэВ) — порог по первому каналу 12.00
  OK  рампа со структурой над ней → порог у верха рампы: порог 14.80 кэВ, доля рампы в нём 0.990; рампа 8.00→14.80 кэВ (каналы 45→62; подошва 10.00, середина в канале 58 при уровне 1390, хвост 4)
  OK  пара: рез фона выше реза пробы → пол по фону: пол 44.00 кэВ; проба: жёсткий рез 27.20 кэВ (канал 93 уже на уровне 5000); фон: жёсткий рез 44.00 кэВ (канал 135 уже на уровне 100)
контроли: ВСЕ СОШЛИСЬ

спектр                     кто   1-й кан  1-й кэВ    порог чем взят                                                                пол пары чей
AS1Pro_Ra226               проба     61    14.24    23.60 рампа 14.24→23.60 кэВ (каналы 61→85; подошва 18.14, середина в канале 79 при уровне 9006, хвост 6)     23.60 проба
AS1Pro_Ra226               фон       66    16.19    22.82 рампа 16.19→22.82 кэВ (каналы 66→83; подошва 18.14, середина в канале 79 при уровне 1128, хвост 4)     23.60 проба
AS80_Am241                 проба     52     4.38    10.24 рампа 4.38→10.24 кэВ (каналы 52→69; подошва 5.75, середина в канале 65 при уровне 1405, хвост 4)     10.58 ФОН
AS80_Am241                 фон       46     2.31    10.58 рампа 2.31→10.58 кэВ (каналы 46→70; подошва 6.10, середина в канале 64 при уровне 2272, хвост 6)     10.58 ФОН
AS80_Charoite              проба     60     8.29    14.47 рампа 8.29→14.47 кэВ (каналы 60→77; подошва 9.74, середина в канале 73 при уровне 106, хвост 4)     14.47 проба
AS80_Charoite              фон       45     3.38    12.39 рампа 3.38→12.39 кэВ (каналы 45→69; подошва 7.14, середина в канале 63 при уровне 9442, хвост 6)     14.47 проба
AS80_Cs137_0cm             проба     47    12.97    20.21 рампа 12.97→20.21 кэВ (каналы 47→66; подошва 15.64, середина в канале 61 при уровне 3054, хвост 5)     20.21 проба
AS80_Cs137_0cm             фон      179     0.28     0.28 жёсткий рез 0.28 кэВ (канал 179 уже на уровне 33412)                       20.21 проба
AS80_K40                   проба     45    16.10    24.92 рампа 16.10→24.92 кэВ (каналы 45→69; подошва 20.15, середина в канале 63 при уровне 18218, хвост 6)     24.92 равны
AS80_K40                   фон       45    16.10    24.92 рампа 16.10→24.92 кэВ (каналы 45→69; подошва 19.78, середина в канале 63 при уровне 9539, хвост 6)     24.92 равны
AS80_Lu176                 проба     52    11.30    15.67 рампа 11.30→15.67 кэВ (каналы 52→64; подошва 12.03, середина в канале 61 при уровне 558, хвост 3)     15.67 проба
AS80_Lu176                 фон      179     0.28     0.28 жёсткий рез 0.28 кэВ (канал 179 уже на уровне 33412)                       15.67 проба
AS80_Lu176_v2              проба     46     6.36     6.36 подъём от 6.36 кэВ кончается падением (пик на пороге) — порог по первому каналу     14.57 ФОН
AS80_Lu176_v2              фон       46     6.36    14.57 рампа 6.36→14.57 кэВ (каналы 46→70; подошва 10.12, середина в канале 64 при уровне 2272, хвост 6)     14.57 ФОН
AS80_Onyx                  проба     46     2.59    12.01 рампа 2.59→12.01 кэВ (каналы 46→71; подошва 6.74, середина в канале 65 при уровне 17967, хвост 6)     12.01 проба
AS80_Onyx                  фон       45     2.22    11.26 рампа 2.22→11.26 кэВ (каналы 45→69; подошва 5.99, середина в канале 63 при уровне 9442, хвост 6)     12.01 проба
AS80_Th232Medal            проба     46     2.67    10.42 рампа 2.67→10.42 кэВ (каналы 46→66; подошва 5.77, середина в канале 61 при уровне 8673, хвост 5)     10.42 проба
AS80_Th232Medal            фон      179     0.28     0.28 жёсткий рез 0.28 кэВ (канал 179 уже на уровне 33412)                       10.42 проба
AS80_Th232WT20             проба     47    10.82    18.57 рампа 10.82→18.57 кэВ (каналы 47→68; подошва 14.14, середина в канале 63 при уровне 16166, хвост 5)     18.94 ФОН
