spectrum,components
ASN16_Th232,Th-232;Ra-226;U-238;U-235;K-40
ASN16_Charoite,Th-232;Ra-226;U-238;U-235;K-40
ASN16_UGlass,Th-232;Ra-226;U-238;U-235;K-40
ASN16_Granite,Th-232;Ra-226;U-238;U-235;K-40
AS80_Th232WT20,Th-232;Ra-226;U-238;U-235;K-40
AS80_Th232_v2,Th-232;Ra-226;U-238;U-235;K-40
AS80_UGlass,Th-232;Ra-226;U-238;U-235;K-40
AS80_Charoite,Th-232;Ra-226;U-238;U-235;K-40
RC103_Th232WT20,Th-232;Ra-226;U-238;U-235;K-40
HPGE_Uranium,Th-232;Ra-226;U-238;U-235;K-40
LaBr3_Ore,Th-232;Ra-226;U-238;U-235;K-40
CZT_Th232,Th-232;Ra-226;U-238;U-235;K-40
CZT_Cs137,Th-232;Ra-226;U-238;U-235;K-40;Cs-137
SrI2_Th232,Th-232;Ra-226;U-238;U-235;K-40
GS4000_Ra226,Th-232;Ra-226;U-238;U-235;K-40
GS4000_Th232,Th-232;Ra-226;U-238;U-235;K-40
GS4000_U,Th-232;Ra-226;U-238;U-235;K-40
GS4000_Lu176,Th-232;Ra-226;U-238;U-235;K-40;Lu-176
ASN3_Tile,Th-232;Ra-226;U-238;U-235;K-40
ASN8_Th232_1024,Th-232;Ra-226;U-238;U-235;K-40
ASN8_Th232_2048,Th-232;Ra-226;U-238;U-235;K-40
ASN8_Th232_3000,Th-232;Ra-226;U-238;U-235;K-40
ASN8_Th232_4096,Th-232;Ra-226;U-238;U-235;K-40
ASN8_Th232_8192,Th-232;Ra-226;U-238;U-235;K-40
ASN8_UGlass,Th-232;Ra-226;U-238;U-235;K-40
ASN8_Am241,Th-232;Ra-226;U-238;U-235;K-40;Am-241
ASN8_Background,Th-232;Ra-226;U-238;U-235;K-40
OBS_Th232WT20,Th-232;Ra-226;U-238;U-235;K-40
OBS_UGlass,Th-232;Ra-226;U-238;U-235;K-40
OBS_Background,Th-232;Ra-226;U-238;U-235;K-40
RC103_K40,Th-232;Ra-226;U-238;U-235;K-40
RC103_Background,Th-232;Ra-226;U-238;U-235;K-40
RC103_Co60,Th-232;Ra-226;U-238;U-235;K-40;Co-60
RC101_Th232,Th-232;Ra-226;U-238;U-235;K-40
RC101_I131,Th-232;Ra-226;U-238;U-235;K-40;I-131
AS1Pro_Ra226,Th-232;Ra-226;U-238;U-235;K-40
ASN16_Charoite_v2,Th-232;Ra-226;U-238;U-235;K-40
ASN16_Th232_Am241,Th-232;Ra-226;U-238;U-235;K-40;Am-241
ASN16_Am241,Th-232;Ra-226;U-238;U-235;K-40;Am-241
ASN16_Cs137,Th-232;Ra-226;U-238;U-235;K-40;Cs-137
ASN16_Background,Th-232;Ra-226;U-238;U-235;K-40
ASN16_BrazilNuts,Th-232;Ra-226;U-238;U-235;K-40
AS80_Th232Medal,Th-232;Ra-226;U-238;U-235;K-40
AS80_Onyx,Th-232;Ra-226;U-238;U-235;K-40
AS80_K40,Th-232;Ra-226;U-238;U-235;K-40
AS80_Background,Th-232;Ra-226;U-238;U-235;K-40
G1S_Th232_Denta,Th-232;Ra-226;U-238;U-235;K-40
G1S_Th232_Marinelli,Th-232;Ra-226;U-238;U-235;K-40
G1S_Th232_Petri,Th-232;Ra-226;U-238;U-235;K-40
G1S_Ra226_Denta,Th-232;Ra-226;U-238;U-235;K-40
G1S_Ra226_Petri,Th-232;Ra-226;U-238;U-235;K-40
G1S_K40_Denta,Th-232;Ra-226;U-238;U-235;K-40
G1S_Th228_25cm,Th-232;Ra-226;U-238;U-235;K-40
G1S_Th228_5cm,Th-232;Ra-226;U-238;U-235;K-40
G1S_Eu152_25cm,Th-232;Ra-226;U-238;U-235;K-40;Eu-152
G1S_Eu152_5cm,Th-232;Ra-226;U-238;U-235;K-40;Eu-152
G1S_Co60_25cm,Th-232;Ra-226;U-238;U-235;K-40;Co-60
G1S_Ba133_25cm,Th-232;Ra-226;U-238;U-235;K-40;Ba-133
HPGeGMX_Th232,Th-232;Ra-226;U-238;U-235;K-40
HPGeGMX_Th228,Th-232;Ra-226;U-238;U-235;K-40
HPGeGMX_Eu152,Th-232;Ra-226;U-238;U-235;K-40;Eu-152
HPGeGMX_Background,Th-232;Ra-226;U-238;U-235;K-40
HPGeGEM_Th232,Th-232;Ra-226;U-238;U-235;K-40
HPGeGEM_Ra226,Th-232;Ra-226;U-238;U-235;K-40
HPGeGEM_K40,Th-232;Ra-226;U-238;U-235;K-40
LaBrBril_Th228,Th-232;Ra-226;U-238;U-235;K-40
LaBrBril_Eu152,Th-232;Ra-226;U-238;U-235;K-40;Eu-152
LaBrBril_Background,Th-232;Ra-226;U-238;U-235;K-40
CZTTeCd_Mix,Th-232;Ra-226;U-238;U-235;K-40;Am-241;Cs-137;Co-60
