spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
AS80_Th232Medal,AS80x80,known,Th-232,single,0.010,188.94,3.5666,8.5398E+002,2261.8,3.5331E+000,7.0907E+000,,,0,0.018
AS80_Th232Medal,AS80x80,known,Ac-228,single,35.521,188.94,3.5666,8.5398E+002,5178067.9,,,,,0,40.228
AS80_Th232Medal,AS80x80,known,Th-228,single,0.174,188.94,3.5666,8.5398E+002,37310.7,,,,,0,0.290
AS80_Th232Medal,AS80x80,known,Ra-224,single,1.256,188.94,3.5666,8.5398E+002,200720.8,,,,,0,1.559
AS80_Th232Medal,AS80x80,known,Rn-220,single,0.039,188.94,3.5666,8.5398E+002,3045.0,,,,,0,0.024
AS80_Th232Medal,AS80x80,known,Po-216,single,0.001,188.94,3.5666,8.5398E+002,41.4,,,,,0,0.000
AS80_Th232Medal,AS80x80,known,Pb-212,single,15.721,188.94,3.5666,8.5398E+002,2687010.1,,,,,0,20.875
AS80_Th232Medal,AS80x80,known,Bi-212,single,4.822,188.94,3.5666,8.5398E+002,612935.0,,,,,0,4.762
AS80_Th232Medal,AS80x80,known,Tl-208,single,28.672,188.94,3.5666,8.5398E+002,2310336.1,,,,,0,17.949
AS80_Th232Medal,AS80x80,known,Xray-Th,nuisance,1.528,10.81,3.5666,1.7651E+002,377177.3,,,,,0,2.930
AS80_Th232Medal,AS80x80,known,Xray-Pb,nuisance,5.901,64.21,3.5666,1.2503E+003,1462905.3,,,,,0,11.365
AS80_Th232WT20,AS80x80,unknown,Th-232,single,0.040,134.55,4.5433,8.4022E+002,16520.9,5.6942E+000,1.1415E+001,,,0,0.124
AS80_Th232WT20,AS80x80,unknown,Ac-228,single,33.979,134.55,4.5433,8.4022E+002,3495735.7,,,,,0,26.253
AS80_Th232WT20,AS80x80,unknown,Th-228,single,0.292,134.55,4.5433,8.4022E+002,107113.5,,,,,0,0.804
AS80_Th232WT20,AS80x80,unknown,Ra-224,single,1.118,134.55,4.5433,8.4022E+002,260726.8,,,,,0,1.958
AS80_Th232WT20,AS80x80,unknown,Rn-220,single,0.036,134.55,4.5433,8.4022E+002,3415.0,,,,,0,0.026
AS80_Th232WT20,AS80x80,unknown,Po-216,single,0.001,134.55,4.5433,8.4022E+002,41.9,,,,,0,0.000
AS80_Th232WT20,AS80x80,unknown,Pb-212,single,17.296,134.55,4.5433,8.4022E+002,4840628.4,,,,,0,36.353
AS80_Th232WT20,AS80x80,unknown,Bi-212,single,3.816,134.55,4.5433,8.4022E+002,302424.1,,,,,0,2.271
AS80_Th232WT20,AS80x80,unknown,Tl-208,single,25.406,134.55,4.5433,8.4022E+002,1793237.4,,,,,0,13.467
AS80_Th232WT20,AS80x80,unknown,Xray-NaI,nuisance,0.226,15.52,4.5433,5.4715E+001,100946.9,,,,,0,0.758
AS80_Th232WT20,AS80x80,unknown,Xray-W,nuisance,2.508,60.62,4.5433,1.5983E+002,1063021.0,,,,,0,7.983
AS80_Th232WT20,AS80x80,unknown,Esc-NaI,nuisance,0.559,18.60,4.5433,1.6792E+003,228618.7,,,,,0,1.717
AS80_Th232WT20,AS80x80,unknown,SE-2615,nuisance,4.222,38.65,4.5433,1.2549E+002,142013.5,,,,,0,1.067
AS80_Th232WT20,AS80x80,unknown,DE-2615,nuisance,5.496,50.69,4.5433,1.5083E+002,217815.4,,,,,0,1.636
AS80_Th232WT20,AS80x80,unknown,DE-1588,nuisance,2.691,14.47,4.5433,7.1228E+001,247359.3,,,,,0,1.858
AS80_Th232WT20,AS80x80,unknown,SE-1631,nuisance,0.875,6.65,4.5433,2.0648E+001,40436.2,,,,,0,0.304
AS80_Th232WT20,AS80x80,unknown,Backscatter,nuisance,1.400,7.73,4.5433,6.2125E-001,455648.0,,,,,0,3.422
AS80_Cs137_0cm,AS80x80,known,Cs-137,single,94.804,537.98,1.9926,5.2382E+003,3293131.5,3.0033E+000,6.0373E+000,,,0,100.000
AS80_Lu176,AS80x80,known,Lu-176,single,94.667,333.81,1.3960,8.5058E+002,567641.0,2.1392E+000,4.2929E+000,,,0,100.000
﻿spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
ASN16_Cs137,ASN16,unknown,Cs-137,single,89.619,829.55,5.3380,6.7287E+003,88220802.0,2.2799E+000,4.5751E+000,,,0,86.083
ASN16_Cs137,ASN16,unknown,Xray-Pb,nuisance,0.679,29.13,5.3380,1.4529E+001,1299594.8,,,,,0,1.268
ASN16_Cs137,ASN16,unknown,pile-up,nuisance,0.658,22.60,5.3380,1.5323E+000,0.0,,,,,0,0.000
ASN16_Cs137,ASN16,unknown,Backscatter,nuisance,9.044,91.29,5.3380,3.1679E+000,12962532.0,,,,,0,12.648
ASN16_Lu176,ASN16,known,Lu-176,single,90.993,506.82,1.9374,9.0590E+002,3721449.2,1.0699E+000,2.1455E+000,,,0,97.619
ASN16_Lu176,ASN16,known,Xray-Lu,nuisance,2.112,24.93,1.9374,1.5700E+002,90761.5,,,,,0,2.381
ASN16_Lu176,ASN16,known,pile-up,nuisance,0.305,3.31,1.9374,2.4337E-001,0.0,,,,,0,0.000
ASN16_Lu176_P0,ASN16,known,Lu-176,single,93.320,140.64,1.0000,3.9597E+002,31876.4,1.5698E+000,3.1869E+000,,,0,100.000
﻿spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
G1S16_Am241_P25,G1S16,known,Am-241,single,96.481,142.00,1.2570,1.1608E+005,88805.9,3.7554E+002,7.5780E+002,,,0,100.000
G1S16_Ba133_P25,G1S16,known,Ba-133,single,97.403,176.18,1.6356,2.4864E+004,309803.5,6.4707E+001,1.3085E+002,,,0,100.000
G1S16_Cd109_P25,G1S16,known,Cd-109,single,92.652,62.81,1.1601,6.8186E+003,14556.1,2.4757E+001,5.2438E+001,,,0,100.000
G1S16_Ce139_P25,G1S16,known,Ce-139,single,93.720,65.31,1.0910,1.8547E+003,15381.0,2.7962E+001,5.6481E+001,,,0,100.000
G1S16_Co60_P25,G1S16,known,Co-60,single,94.993,251.69,1.3254,3.6633E+004,112476.8,3.4213E+001,6.9949E+001,,,0,100.000
G1S16_Cs137_P25,G1S16,known,Cs-137,single,94.972,280.93,1.3995,7.4359E+004,186773.7,5.5679E+001,1.1380E+002,,,0,100.000
G1S16_Eu152_P25,G1S16,known,Eu-152,single,92.377,189.90,1.8517,2.8679E+004,626563.8,9.9612E+001,2.0046E+002,,,0,100.000
G1S16_Mn54_P25,G1S16,known,Mn-54,single,92.633,190.76,1.2568,2.8246E+004,55795.6,6.0538E+001,1.2302E+002,,,0,100.000
G1S16_Na22_P25,G1S16,known,Na-22,single,27.816,154.17,2.0905,6.5489E+004,88231.3,1.2998E+002,2.6693E+002,,,0,16.880
G1S16_Na22_P25,G1S16,known,Ann-511,nuisance,64.813,233.46,2.0905,1.3825E+005,434474.5,,,,,0,83.120
G1S16_Th228_P25,G1S16,known,Th-228,single,0.821,90.60,1.0887,2.3080E+003,474.3,2.9139E+001,5.8655E+001,,,0,1.198
G1S16_Th228_P25,G1S16,known,Ra-224,single,2.546,90.60,1.0887,2.3080E+003,1229.1,,,,,0,3.105
G1S16_Th228_P25,G1S16,known,Rn-220,single,0.056,90.60,1.0887,2.3080E+003,15.4,,,,,0,0.039
G1S16_Th228_P25,G1S16,known,Po-216,single,0.001,90.60,1.0887,2.3080E+003,0.2,,,,,0,0.001
G1S16_Th228_P25,G1S16,known,Pb-212,single,43.302,90.60,1.0887,2.3080E+003,22687.2,,,,,0,57.308
G1S16_Th228_P25,G1S16,known,Bi-212,single,7.761,90.60,1.0887,2.3080E+003,3284.7,,,,,0,8.297
G1S16_Th228_P25,G1S16,known,Tl-208,single,39.359,90.60,1.0887,2.3080E+003,11897.5,,,,,0,30.053
G1S16_Y88_P25,G1S16,known,Y-88,single,100.000,47.68,1.0346,6.0145E+002,3642.9,1.3533E+001,2.7477E+001,,,0,100.000
G1S16_Am241_P5,G1S16,known,Am-241,single,97.900,226.15,1.6422,9.1375E+004,620595.7,7.2012E+001,1.4547E+002,,,0,100.000
G1S16_Ba133_P5,G1S16,known,Ba-133,single,98.176,172.48,3.3929,2.0876E+004,4031420.8,4.4034E+001,8.8780E+001,,,0,100.000
G1S16_Cd109_P5,G1S16,known,Cd-109,single,95.908,80.15,1.8928,6.0111E+003,213679.0,8.7909E+000,1.8067E+001,,,0,100.000
G1S16_Ce139_P5,G1S16,known,Ce-139,single,93.120,116.92,1.8095,1.5380E+003,210734.1,3.9906E+000,8.1393E+000,,,0,100.000
G1S16_Co57_P5,G1S16,known,Co-57,single,85.608,61.16,1.0038,6.3017E+001,6473.5,6.2012E-001,1.2706E+000,,,0,100.000
G1S16_Co60_P5,G1S16,known,Co-60,single,94.598,293.19,3.0995,3.1883E+004,798512.8,2.1356E+001,4.3564E+001,,,0,100.000
G1S16_Cs137_P5,G1S16,known,Cs-137,single,94.561,391.01,2.8735,6.3928E+004,2177953.7,1.7808E+001,3.6468E+001,,,0,100.000
G1S16_Cs137_P5,G1S16,known,pile-up,nuisance,0.102,6.18,2.8735,2.2865E+000,0.0,,,,,0,0.000
G1S16_Eu152_P5,G1S16,known,Eu-152,single,93.435,179.97,3.7389,2.2921E+004,3740648.2,5.5111E+001,1.1095E+002,,,0,100.000
G1S16_Mn54_P5,G1S16,known,Mn-54,single,92.805,248.79,1.6923,2.4713E+004,207921.7,1.2096E+001,2.5065E+001,,,0,100.000
G1S16_Na22_P5,G1S16,known,Na-22,single,25.777,117.75,3.7059,5.5701E+004,305746.0,1.3975E+002,2.8793E+002,,,0,14.756
G1S16_Na22_P5,G1S16,known,Ann-511,nuisance,67.671,188.65,3.7059,1.2783E+005,1766207.2,,,,,0,85.244
G1S16_Th228_P5,G1S16,known,Th-228,single,0.966,119.03,2.1143,1.8958E+003,3320.8,8.0632E+000,1.6369E+001,,,0,1.356
G1S16_Th228_P5,G1S16,known,Ra-224,single,2.651,119.03,2.1143,1.8958E+003,7630.3,,,,,0,3.116
G1S16_Th228_P5,G1S16,known,Rn-220,single,0.050,119.03,2.1143,1.8958E+003,83.0,,,,,0,0.034
G1S16_Th228_P5,G1S16,known,Po-216,single,0.001,119.03,2.1143,1.8958E+003,1.1,,,,,0,0.000
G1S16_Th228_P5,G1S16,known,Pb-212,single,47.447,119.03,2.1143,1.8958E+003,149180.5,,,,,0,60.923
G1S16_Th228_P5,G1S16,known,Bi-212,single,7.492,119.03,2.1143,1.8958E+003,20387.1,,,,,0,8.326
G1S16_Th228_P5,G1S16,known,Tl-208,single,35.557,119.03,2.1143,1.8958E+003,64264.2,,,,,0,26.245
G1S16_Y88_P5,G1S16,known,Y-88,single,92.833,94.92,1.1571,5.5876E+002,14160.1,2.4322E+000,5.0216E+000,,,0,97.273
G1S16_Y88_P5,G1S16,known,Ann-511,nuisance,1.511,5.95,1.1571,1.4382E+001,397.0,,,,,0,2.727
﻿spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
G1S24_Cs137_P25,G1S24,known,Cs-137,single,94.823,270.42,1.7810,8.0016E+004,386585.5,1.0965E+002,2.2163E+002,,,0,100.000
G1S24_Na22_P25,G1S24,known,Na-22,single,28.086,228.34,2.5090,1.2485E+005,298886.7,2.1547E+002,4.3665E+002,,,0,17.192
G1S24_Na22_P25,G1S24,known,Ann-511,nuisance,64.334,295.00,2.5090,2.5800E+005,1439652.3,,,,,0,82.808
G1S24_Th228_P25,G1S24,known,Th-228,single,0.789,240.30,2.0932,2.7282E+004,11895.3,7.9658E+001,1.6011E+002,,,0,1.182
G1S24_Th228_P25,G1S24,known,Ra-224,single,2.520,240.30,2.0932,2.7282E+004,31029.5,,,,,0,3.083
G1S24_Th228_P25,G1S24,known,Rn-220,single,0.056,240.30,2.0932,2.7282E+004,386.6,,,,,0,0.038
G1S24_Th228_P25,G1S24,known,Po-216,single,0.001,240.30,2.0932,2.7282E+004,5.3,,,,,0,0.001
G1S24_Th228_P25,G1S24,known,Pb-212,single,42.285,240.30,2.0932,2.7282E+004,572682.1,,,,,0,56.907
G1S24_Th228_P25,G1S24,known,Bi-212,single,7.526,240.30,2.0932,2.7282E+004,81105.2,,,,,0,8.059
G1S24_Th228_P25,G1S24,known,Tl-208,single,39.630,240.30,2.0932,2.7282E+004,309235.6,,,,,0,30.729
G1S24_Y88_P25,G1S24,known,Y-88,single,93.083,215.60,1.4427,2.6741E+004,132805.1,4.9033E+001,9.9527E+001,,,0,97.188
